"package","version","role"
"arrow","24.0.0","direct"
"assertthat","0.2.1","dependency"
"bit","4.6.0","dependency"
"bit64","4.8.0","dependency"
"cellranger","1.1.0","dependency"
"cli","3.6.6","dependency"
"clipr","0.8.0","dependency"
"cpp11","0.5.5","dependency"
"crayon","1.5.3","dependency"
"data.table","1.18.4","direct"
"digest","0.6.39","direct"
"farver","2.1.2","dependency"
"forcats","1.0.1","dependency"
"ggplot2","4.0.3","direct"
"glue","1.8.1","dependency"
"graphics","4.6.1","dependency"
"grDevices","4.6.1","dependency"
"grid","4.6.1","dependency"
"gtable","0.3.6","dependency"
"haven","2.5.5","direct"
"hms","1.1.4","dependency"
"isoband","0.3.0","dependency"
"jsonlite","2.0.0","direct"
"labeling","0.4.3","dependency"
"lifecycle","1.0.5","dependency"
"magrittr","2.0.5","dependency"
"methods","4.6.1","dependency"
"pillar","1.11.1","dependency"
"pkgconfig","2.0.3","dependency"
"prettyunits","1.2.0","dependency"
"progress","1.2.3","dependency"
"purrr","1.2.2","dependency"
"R6","2.6.1","dependency"
"RColorBrewer","1.1-3","dependency"
"Rcpp","1.1.1-1.1","direct"
"readr","2.2.0","dependency"
"readxl","1.4.5","direct"
"rematch","2.0.0","dependency"
"rlang","1.2.0","dependency"
"S7","0.2.2","dependency"
"scales","1.4.0","dependency"
"stats","4.6.1","dependency"
"tibble","3.3.1","dependency"
"tidyselect","1.2.1","direct"
"tools","4.6.1","dependency"
"tzdb","0.5.0","dependency"
"utf8","1.2.6","dependency"
"utils","4.6.1","dependency"
"vctrs","0.7.3","dependency"
"viridisLite","0.4.3","dependency"
"vroom","1.7.1","dependency"
"withr","3.0.2","dependency"
