cnt,gdp_pc_ppp_2022
AUS,60029.1329190733
AUT,65694.4591501468
BEL,62602.9270469765
CAN,58583.1299860138
CHE,85762.2829174304
CHL,29560.4513805785
COL,18458.7209460704
CZE,48390.661678675
DEU,63777.9291029299
DNK,69089.4692492289
ESP,46733.4809780536
EST,43124.6196563775
FIN,57068.3056478074
FRA,53673.8137406422
GBR,53979.7679116234
GRC,35828.1756641776
HUN,40610.9711368238
IRL,123007.47648651
ISL,66581.2441801002
ISR,48132.3637205177
ITA,52333.3274270604
JPN,46819.360613609
KOR,53228.6035655365
LTU,46642.5947251086
LVA,37718.7097958367
MEX,21391.8573698845
NLD,71324.0360229425
NOR,95109.8201605729
NZL,49842.9845334162
POL,43405.0215797441
PRT,41070.8611529744
SVK,38648.9855746919
SVN,47058.8865960028
SWE,62544.5002248644
TUR,33520.8111384208
USA,72828.7430907189
