domain,group,se_2022,se_2025,se_change,source_table
math,Q1,0.56889,0.58416,1.46741,Table I.B1.2b.24
math,Q2,0.58721,0.60349,1.48237,Table I.B1.2b.24
math,Q3,0.60994,0.6893,1.52825,Table I.B1.2b.24
math,Q4,0.66022,0.80973,1.60622,Table I.B1.2b.24
math,Q4-Q1,0.83837,0.95371,1.26982,Table I.B1.2b.24
read,Q1,0.65954,0.63744,1.42764,Table I.B1.2b.23
read,Q2,0.67971,0.64942,1.44242,Table I.B1.2b.23
read,Q3,0.68636,0.73049,1.48376,Table I.B1.2b.23
read,Q4,0.71186,0.80098,1.53139,Table I.B1.2b.23
read,Q4-Q1,0.91319,0.97428,1.33534,Table I.B1.2b.23
scie,Q1,0.64177,0.61405,3.24012,Table I.B1.2b.22
scie,Q2,0.6545,0.63003,3.24573,Table I.B1.2b.22
scie,Q3,0.65591,0.71708,3.26403,Table I.B1.2b.22
scie,Q4,0.69473,0.79642,3.29035,Table I.B1.2b.22
scie,Q4-Q1,0.89847,0.9637,1.31756,Table I.B1.2b.22
