cnt,wave,n_raw,included,status,source
ARG,2015,0,False,not_comparable_sampling,https://www.oecd.org/en/publications/pisa-2018-results-volume-i_5f07c754-en/full-report/component-9.html
BRA,2015,23141,True,available,
CHL,2015,7053,True,available,
COL,2015,11795,True,available,
MEX,2015,7568,True,available,
PER,2015,6971,True,available,
URY,2015,6062,True,available,
ARG,2018,11975,True,available,
BRA,2018,10691,True,available,
CHL,2018,7621,True,available,
COL,2018,7522,True,available,
MEX,2018,7299,True,available,
PER,2018,6086,True,available,
URY,2018,5263,True,available,
ARG,2022,12111,True,available,
BRA,2022,10798,True,available,
CHL,2022,6488,True,available,
COL,2022,7804,True,available,
MEX,2022,6288,True,available,
PER,2022,6968,True,available,
URY,2022,6618,True,available,
ARG,2025,11092,True,available,
BRA,2025,30140,True,available,
CHL,2025,6573,True,available,
COL,2025,7268,True,available,
MEX,2025,7843,True,available,
PER,2025,6991,True,available,
URY,2025,6572,True,available,
