cnt,wave,index,n_total,n_valid,valid_weight_pct
BRA,2015,escs,23141,21604,93.93764099810501
BRA,2015,escs_h4,23141,21313,92.79543569195351
BRA,2015,homepos,23141,21776,94.78481374476715
BRA,2015,homepos_h4,23141,20951,91.61711979884205
CHL,2015,escs,7053,6949,98.23442270299363
CHL,2015,escs_h4,7053,6944,98.16034998912562
CHL,2015,homepos,7053,6994,99.01808385598396
CHL,2015,homepos_h4,7053,6984,98.91140800334632
COL,2015,escs,11795,11561,98.35597661909647
COL,2015,escs_h4,11795,11545,98.20195536842365
COL,2015,homepos,11795,11567,98.39341964059422
COL,2015,homepos_h4,11795,11487,97.403395867955
MEX,2015,escs,7568,7507,99.1014849857306
MEX,2015,escs_h4,7568,7500,98.92443500342071
MEX,2015,homepos,7568,7512,99.17950049849452
MEX,2015,homepos_h4,7568,7472,98.44590051902291
PER,2015,escs,6971,6944,99.63289193712548
PER,2015,escs_h4,6971,6932,99.44568154743088
PER,2015,homepos,6971,6943,99.61520373821789
PER,2015,homepos_h4,6971,6865,98.40173545162199
URY,2015,escs,6062,5959,98.29137025695282
URY,2015,escs_h4,6062,5925,97.74442102912998
URY,2015,homepos,6062,5966,98.40413928560483
URY,2015,homepos_h4,6062,5807,95.64305792409506
ARG,2018,escs,11975,11845,98.71819301878661
ARG,2018,escs_h4,11975,11780,98.05815505463106
ARG,2018,homepos,11975,11908,99.35724443218155
ARG,2018,homepos_h4,11975,11687,97.25889541510658
BRA,2018,escs,10691,10453,97.72076126910282
BRA,2018,escs_h4,10691,10360,96.79137313552545
BRA,2018,homepos,10691,10530,98.46545057855298
BRA,2018,homepos_h4,10691,10338,96.48960325962436
CHL,2018,escs,7621,7411,97.1550911506033
CHL,2018,escs_h4,7621,7404,97.0456081546238
CHL,2018,homepos,7621,7471,98.05658570782643
CHL,2018,homepos_h4,7621,7455,97.81165709028545
COL,2018,escs,7522,7201,95.55826800159195
COL,2018,escs_h4,7522,7195,95.49526945598411
COL,2018,homepos,7522,7203,95.58109567935533
COL,2018,homepos_h4,7522,7162,94.93883679457316
MEX,2018,escs,7299,6475,89.06366372020221
MEX,2018,escs_h4,7299,6472,89.04219831847354
MEX,2018,homepos,7299,6475,89.06366372020221
MEX,2018,homepos_h4,7299,6454,88.72240053272178
PER,2018,escs,6086,6042,99.28694200469045
PER,2018,escs_h4,6086,6039,99.24054041286915
PER,2018,homepos,6086,6041,99.25600067947771
PER,2018,homepos_h4,6086,6004,98.51928948806511
URY,2018,escs,5263,5058,95.82379307365265
URY,2018,escs_h4,5263,5025,95.24410542339596
URY,2018,homepos,5263,5076,96.18278104245033
URY,2018,homepos_h4,5263,4985,94.43494363857933
ARG,2022,escs,12111,11719,96.23669223669053
ARG,2022,escs_h4,12111,11657,95.35009026171596
ARG,2022,homepos,12111,11784,96.85239306107073
ARG,2022,homepos_h4,12111,11539,94.05356112909732
BRA,2022,escs,10798,10334,95.76204149307972
BRA,2022,escs_h4,10798,10215,94.52143921635589
BRA,2022,homepos,10798,10505,97.32415841615779
BRA,2022,homepos_h4,10798,10169,93.96826790393403
CHL,2022,escs,6488,6181,94.59527252254107
CHL,2022,escs_h4,6488,6176,94.50563182262016
CHL,2022,homepos,6488,6226,95.55789750458256
CHL,2022,homepos_h4,6488,6207,95.14318791126858
COL,2022,escs,7804,7459,94.89448859339656
COL,2022,escs_h4,7804,7445,94.67498584342283
COL,2022,homepos,7804,7478,95.27651605116111
COL,2022,homepos_h4,7804,7399,93.97781571594432
MEX,2022,escs,6288,6270,99.74350358184931
MEX,2022,escs_h4,6288,6262,99.61236413631987
MEX,2022,homepos,6288,6270,99.72709675235974
MEX,2022,homepos_h4,6288,6221,98.94849081347384
PER,2022,escs,6968,6923,99.2986904602845
PER,2022,escs_h4,6968,6915,99.17141379660397
PER,2022,homepos,6968,6927,99.39560026417263
PER,2022,homepos_h4,6968,6831,97.73616540005045
URY,2022,escs,6618,6508,98.32470051816372
URY,2022,escs_h4,6618,6480,97.88756711713299
URY,2022,homepos,6618,6561,99.14853321410693
URY,2022,homepos_h4,6618,6447,97.41138616712917
ARG,2025,escs,11092,9808,85.0836548898742
ARG,2025,escs_h4,11092,9734,83.99047995781058
ARG,2025,homepos,11092,10409,91.13253822438217
ARG,2025,homepos_h4,11092,10215,88.52586724892896
BRA,2025,escs,30140,27442,92.24767036174538
BRA,2025,escs_h4,30140,27233,91.65526806419126
BRA,2025,homepos,30140,29332,97.7663319512315
BRA,2025,homepos_h4,30140,28735,96.07024436068829
CHL,2025,escs,6573,5977,90.31349067228216
CHL,2025,escs_h4,6573,5966,90.06716092703212
CHL,2025,homepos,6573,6167,93.4942651299123
CHL,2025,homepos_h4,6573,6123,92.68412959217567
COL,2025,escs,7268,6829,93.63040144509336
COL,2025,escs_h4,7268,6805,93.32956081771513
COL,2025,homepos,7268,7078,97.32106361624102
COL,2025,homepos_h4,7268,7003,96.14919822311684
MEX,2025,escs,7843,7669,97.43790313888408
MEX,2025,escs_h4,7843,7659,97.27902569238952
MEX,2025,homepos,7843,7818,99.65426739945083
MEX,2025,homepos_h4,7843,7796,99.24448493721965
PER,2025,escs,6991,6650,95.32569429230051
PER,2025,escs_h4,6991,6631,94.98926249167627
PER,2025,homepos,6991,6911,98.93084962074614
PER,2025,homepos_h4,6991,6852,97.9976135078038
URY,2025,escs,6572,6235,94.99666524372354
URY,2025,escs_h4,6572,6204,94.55347102112523
URY,2025,homepos,6572,6465,98.36867802581875
URY,2025,homepos_h4,6572,6374,96.99030546081298
