cnt,index,2015,2018,2022,2025
ARG,escs,,97.42646266823763,74.78018739335903,79.17714773801694
ARG,escs_h4,,91.88046105051389,70.78510772220127,77.7574619871738
ARG,homepos,,99.430480243181,75.57010694671911,67.17386578287785
ARG,homepos_h4,,90.18245810308716,61.919514755589674,71.7303242475542
BRA,escs,88.29100608914965,90.80031231741937,77.29750248709433,90.42012988839463
BRA,escs_h4,89.22726076547826,91.3059651103924,74.30348226968367,90.09028356008363
BRA,homepos,87.61482053842694,89.02457374467267,85.56463867753271,79.36329522872084
BRA,homepos_h4,87.00476111788888,87.17805189582165,79.0514585812125,85.61629710768725
CHL,escs,95.28224350161133,89.1833374301523,69.10990925973617,69.69662376818329
CHL,escs_h4,90.50616205669857,87.31415182472406,64.13944019505104,70.78335965104691
CHL,homepos,80.47052627876408,69.87500597631707,71.31483086525652,51.24431703866494
CHL,homepos_h4,76.99337284258857,64.62128420397448,57.00124978022357,55.35752702663952
COL,escs,70.10076701302657,75.53287233818732,78.5552143369812,78.08673701382163
COL,escs_h4,68.55437348093815,74.46166446083551,73.60570973112723,77.39960116538585
COL,homepos,76.5676607510173,77.90089064504862,86.60111783718469,74.70566419168932
COL,homepos_h4,73.67095891380295,76.9690613966973,74.98247309992776,73.0833439342569
MEX,escs,55.95449178222498,67.32529580421053,58.45077533690228,57.16757314214802
MEX,escs_h4,56.77883684178905,68.0522888451802,56.52234554865017,57.95280302258273
MEX,homepos,50.53897754784522,63.528393837721055,65.11710717923793,45.18490123143295
MEX,homepos_h4,50.28028678684961,61.89685828145116,54.793170779708205,51.32751001736905
PER,escs,93.68865043295612,98.08878597113863,85.99058299306132,74.47789577536783
PER,escs_h4,93.03313320019863,97.1365351240675,82.43787437815077,77.124244672187
PER,homepos,90.86682991818716,96.93618384500607,79.62816718553654,64.58520414665338
PER,homepos_h4,81.88954451263703,88.74341547903123,70.42486225770267,68.76170499050514
URY,escs,90.24137307630083,90.66912687324123,90.6244138456794,93.42243712255473
URY,escs_h4,87.68770517298913,88.8904782835501,87.21670029641514,95.12011221519134
URY,homepos,79.72403124541927,83.86049502714488,94.36027266017709,63.9969214608209
URY,homepos_h4,75.1114595747143,74.65626746374063,81.4779399213667,64.59136532898218
