cnt,wave,index,n,estimate,se,ci_low,ci_high
BRA,2015,escs,21604,88.29100608914965,6.327052096589432,75.88998397983437,100.69202819846493
BRA,2015,escs_h4,21313,89.22726076547826,6.478547121175213,76.52930840797485,101.92521312298167
BRA,2015,homepos,21776,87.61482053842694,6.123549036115699,75.61266442764017,99.61697664921371
BRA,2015,homepos_h4,20951,87.00476111788888,5.833847849321484,75.57041933321877,98.43910290255899
CHL,2015,escs,6949,95.28224350161133,4.937904268328572,85.60395113568734,104.96053586753533
CHL,2015,escs_h4,6944,90.50616205669857,4.7683817958697885,81.16013373679378,99.85219037660336
CHL,2015,homepos,6994,80.47052627876408,4.862814347080731,70.93941015848586,90.00164239904231
CHL,2015,homepos_h4,6984,76.99337284258857,5.079958217533688,67.03665473622254,86.9500909489546
COL,2015,escs,11561,70.10076701302657,6.376668027431279,57.60249767926126,82.59903634679188
COL,2015,escs_h4,11545,68.55437348093815,6.331991585014793,56.14366997430916,80.96507698756714
COL,2015,homepos,11567,76.5676607510173,6.228451700957288,64.35989541714102,88.77542608489358
COL,2015,homepos_h4,11487,73.67095891380295,6.0719196220128975,61.76999645465767,85.57192137294822
MEX,2015,escs,7507,55.95449178222498,4.564342700643608,47.008380088963506,64.90060347548645
MEX,2015,escs_h4,7500,56.77883684178905,4.7010376018762035,47.56480314211169,65.9928705414664
MEX,2015,homepos,7512,50.53897754784522,4.922578335086447,40.89072401107578,60.18723108461466
MEX,2015,homepos_h4,7472,50.28028678684961,4.994325778982407,40.49140826004409,60.06916531365513
PER,2015,escs,6944,93.68865043295612,5.2470539339760185,83.40442472236313,103.97287614354912
PER,2015,escs_h4,6932,93.03313320019863,5.587258031563554,82.08210745833406,103.9841589420632
PER,2015,homepos,6943,90.86682991818716,5.874308249518669,79.35318574913057,102.38047408724375
PER,2015,homepos_h4,6865,81.88954451263703,5.673647722167869,70.76919497718801,93.00989404808605
URY,2015,escs,5959,90.24137307630083,6.027503021837267,78.42746715349979,102.05527899910187
URY,2015,escs_h4,5925,87.68770517298913,6.284418394982855,75.37024511882274,100.00516522715552
URY,2015,homepos,5966,79.72403124541927,6.18479556356126,67.6018319408392,91.84623054999933
URY,2015,homepos_h4,5807,75.1114595747143,5.948675353755562,63.4520558813534,86.7708632680752
ARG,2018,escs,11845,97.42646266823763,5.551976018819219,86.54458967135196,108.30833566512331
ARG,2018,escs_h4,11780,91.88046105051389,5.147150543348949,81.79204598554995,101.96887611547783
ARG,2018,homepos,11908,99.430480243181,5.449318615749565,88.74981575631185,110.11114473005014
ARG,2018,homepos_h4,11687,90.18245810308716,5.1340251468427835,80.11976881527531,100.245147390899
BRA,2018,escs,10453,90.80031231741937,5.420545275722394,80.17604357700347,101.42458105783527
BRA,2018,escs_h4,10360,91.3059651103924,5.411823422295408,80.69879120269341,101.9131390180914
BRA,2018,homepos,10530,89.02457374467267,5.165050421856886,78.90107491783317,99.14807257151216
BRA,2018,homepos_h4,10338,87.17805189582165,4.542704126029666,78.2743518088035,96.0817519828398
CHL,2018,escs,7411,89.1833374301523,5.163904607099906,79.06208440023649,99.30459046006813
CHL,2018,escs_h4,7404,87.31415182472406,5.39146965824951,76.74687129455502,97.88143235489311
CHL,2018,homepos,7471,69.87500597631707,4.603445203874265,60.85225337672351,78.89775857591063
CHL,2018,homepos_h4,7455,64.62128420397448,4.381809181167563,56.03293820888606,73.2096301990629
COL,2018,escs,7201,75.53287233818732,7.874951144185591,60.09796809558356,90.96777658079108
COL,2018,escs_h4,7195,74.46166446083551,7.640636405943251,59.48601710518673,89.43731181648428
COL,2018,homepos,7203,77.90089064504862,7.6539620173974585,62.8991250909496,92.90265619914764
COL,2018,homepos_h4,7162,76.9690613966973,7.283562052665998,62.69327977347194,91.24484301992266
MEX,2018,escs,6475,67.32529580421053,6.2163350189687145,55.14127916703185,79.50931244138921
MEX,2018,escs_h4,6472,68.0522888451802,6.182659879981215,55.93427548041702,80.17030220994339
MEX,2018,homepos,6475,63.528393837721055,6.294119313347764,51.19191998355944,75.86486769188267
MEX,2018,homepos_h4,6454,61.89685828145116,6.058099016372967,50.022984209360146,73.77073235354217
PER,2018,escs,6042,98.08878597113863,5.139388289320776,88.01558492406991,108.16198701820736
PER,2018,escs_h4,6039,97.1365351240675,5.4098263034369705,86.53327556933104,107.73979467880397
PER,2018,homepos,6041,96.93618384500607,5.000901111053692,87.13441766734084,106.7379500226713
PER,2018,homepos_h4,6004,88.74341547903123,5.3796248248774114,78.1993508222715,99.28748013579096
URY,2018,escs,5058,90.66912687324123,6.058867322085632,78.79374692195339,102.54450682452907
URY,2018,escs_h4,5025,88.8904782835501,6.226110757547725,76.68730119875656,101.09365536834363
URY,2018,homepos,5076,83.86049502714488,5.610270737549851,72.86436438154718,94.85662567274258
URY,2018,homepos_h4,4985,74.65626746374063,5.797779619291791,63.29261940992872,86.01991551755255
ARG,2022,escs,11719,74.78018739335903,4.272236011734626,66.40660481035916,83.1537699763589
ARG,2022,escs_h4,11657,70.78510772220127,4.41012761046699,62.14125760568597,79.42895783871657
ARG,2022,homepos,11784,75.57010694671911,4.381193687757244,66.98296731871491,84.1572465747233
ARG,2022,homepos_h4,11539,61.919514755589674,4.325947908609676,53.44065685471471,70.39837265646463
BRA,2022,escs,10334,77.29750248709433,4.255080678727643,68.95754435678815,85.63746061740052
BRA,2022,escs_h4,10215,74.30348226968367,4.229448070156436,66.01376405217705,82.59320048719029
BRA,2022,homepos,10505,85.56463867753271,3.8979655445034145,77.92462621030602,93.20465114475941
BRA,2022,homepos_h4,10169,79.0514585812125,3.954385402939113,71.30086319145184,86.80205397097316
CHL,2022,escs,6181,69.10990925973617,4.207909104554228,60.86240741480988,77.35741110466246
CHL,2022,escs_h4,6176,64.13944019505104,4.0659062003189845,56.17026404242583,72.10861634767625
CHL,2022,homepos,6226,71.31483086525652,4.173735477753955,63.13430932885878,79.49535240165427
