item,a,steps
room,0.5842668866899733,[-1.4809315124325588]
computer_school,3.6875224480428397,[-0.47303938243379695]
software,1.149836249494577,[0.2747486569617731]
internet,1.7128692956310179,[-1.1578736046698197]
art,0.780265909314274,[0.09460864114016826]
instruments,0.5854884351309398,"[1.1250055430519608, 1.7396105717306056, 0.816241679194266]"
cars,0.8038035972084139,"[0.04152000481761218, 1.5566618940955954, 2.1573201397974167]"
bathrooms,0.8625109825361603,"[-2.5867820308968765, 1.3230902081234457, 1.9839306514587307]"
televisions,1.200653868815711,"[-3.069420982651398, 0.5923077930958269]"
tablets,0.9760021090536986,"[0.5387775255597257, 2.648271259307599]"
ereaders,0.5431314099998059,"[3.970081110346446, 3.3678231914993595]"
computers,6.233950482016085,[-0.5364479238900335]
books,0.415422822454558,"[1.3573321889182581, 0.7052112807888232, 3.3690923954005223, 2.742955867645303, 2.6053313982615327]"
