cnt,wave,index,quartile,n,estimate,se,ci_low,ci_high
BRA,2015,escs,Q1,5680,341.2117106915965,3.5864704485162013,334.1822286125048,348.24119277068826
BRA,2015,escs,Q2,5243,364.24015205449035,2.7823561250586004,358.78673404937547,369.69357005960524
BRA,2015,escs,Q3,5214,378.0049318559561,3.4777493532341164,371.18854312361725,384.82132058829495
BRA,2015,escs,Q4,5467,429.50271678074614,5.649168612104814,418.4303463010207,440.5750872604716
BRA,2015,escs_h4,Q1,5583,341.2191704631901,3.6699859927523346,334.0259979173955,348.4123430089847
BRA,2015,escs_h4,Q2,5203,365.5599452628719,2.8242434213487018,360.02442815702847,371.09546236871535
BRA,2015,escs_h4,Q3,5169,379.49352681027284,3.2607983336170574,373.10236207638343,385.88469154416225
BRA,2015,escs_h4,Q4,5358,430.44643122866836,5.9047234380415325,418.87317329010693,442.0196891672298
BRA,2015,homepos,Q1,6189,337.34311336962645,3.2924361711205847,330.8899384742301,343.7962882650228
BRA,2015,homepos,Q2,5562,363.9724670283434,2.801943012155578,358.48065872451843,369.4642753321683
BRA,2015,homepos,Q3,5066,385.3559331252319,3.2022979706187185,379.07942910281923,391.63243714764457
BRA,2015,homepos,Q4,4959,424.9579339080534,5.607857961215185,413.9665323040716,435.9493355120352
BRA,2015,homepos_h4,Q1,6038,338.1793173170677,3.1386312564673897,332.02760005439166,344.3310345797438
BRA,2015,homepos_h4,Q2,5280,368.10257985667465,3.425471466943785,361.3886557814648,374.8165039318845
BRA,2015,homepos_h4,Q3,4833,391.45849228105016,3.040624484649234,385.4988682911377,397.4181162709626
BRA,2015,homepos_h4,Q4,4800,425.18407843495663,5.462628206653298,414.47732714991616,435.8908297199971
CHL,2015,escs,Q1,1361,378.721975447249,3.7034242473906334,371.46326392236335,385.98068697213466
CHL,2015,escs,Q2,1376,414.6890787209562,4.480424198414112,405.90744729206455,423.4707101498479
CHL,2015,escs,Q3,1515,426.25102746674264,3.6717767170692315,419.05434510128697,433.4477098321983
CHL,2015,escs,Q4,2697,474.0042189488604,3.4278932953159407,467.2855480900412,480.7228898076796
CHL,2015,escs_h4,Q1,1358,380.84364250804026,3.5342166673491477,373.9165778400359,387.7707071760446
CHL,2015,escs_h4,Q2,1381,411.34886559217546,4.256862174488788,403.00541573017745,419.69231545417347
CHL,2015,escs_h4,Q3,1489,430.4669995047364,3.5841975295452078,423.4419723468278,437.492026662645
CHL,2015,escs_h4,Q4,2716,471.34980456473886,3.4682323018307692,464.55206925315053,478.1475398763272
CHL,2015,homepos,Q1,1391,383.4214504539513,3.7680281622031635,376.0361152560331,390.8067856518695
CHL,2015,homepos,Q2,1443,415.85706787786376,3.726566556685386,408.5529974267604,423.1611383289671
CHL,2015,homepos,Q3,1616,429.7983412513792,4.142561520096076,421.6789206719909,437.9177618307675
CHL,2015,homepos,Q4,2544,463.89197673271536,3.078183719975485,457.85873664156344,469.9252168238673
CHL,2015,homepos_h4,Q1,1390,384.75386382338365,3.9950600674813863,376.92354609112016,392.58418155564715
CHL,2015,homepos_h4,Q2,1470,416.1432610752453,3.4845082300720125,409.31362494430414,422.9728972061864
CHL,2015,homepos_h4,Q3,1585,430.76779485705754,3.991986782929098,422.9435007625165,438.59208895159856
CHL,2015,homepos_h4,Q4,2539,461.7472366659723,3.107206687694175,455.65711155809174,467.8373617738529
COL,2015,escs,Q1,2169,361.06392550630596,3.2946778706016713,354.6063568799267,367.52149413268523
COL,2015,escs,Q2,2867,374.50552906788295,3.142402146570951,368.34642086060387,380.664637275162
COL,2015,escs,Q3,3187,392.06164762220607,3.097722598262832,385.9901113296109,398.13318391480124
COL,2015,escs,Q4,3338,431.16469251933256,5.1366282679852935,421.0969011140814,441.23248392458373
COL,2015,escs_h4,Q1,2099,361.1798827318954,3.4326244382072018,354.4519388330093,367.9078266307815
COL,2015,escs_h4,Q2,2958,375.40385462666853,3.139180638114512,369.25106057596406,381.556648677373
COL,2015,escs_h4,Q3,3191,393.17894209979397,2.8350315615980985,387.6222802390617,398.73560396052625
COL,2015,escs_h4,Q4,3297,429.73425621283366,5.177263938771401,419.58681889284173,439.8816935328256
COL,2015,homepos,Q1,2019,356.14884941945843,3.5347370524547372,349.22076479664713,363.0769340422697
COL,2015,homepos,Q2,2661,376.6097798549396,3.424148631520974,369.89844853715846,383.3211111727207
COL,2015,homepos,Q3,3346,393.24458512699175,2.892935864040894,387.5744308334716,398.9147394205119
COL,2015,homepos,Q4,3541,432.7165101704757,4.763813588508505,423.37943553699904,442.0535848039524
COL,2015,homepos_h4,Q1,1970,358.75888022123206,3.458058103537118,351.9810863382993,365.53667410416483
COL,2015,homepos_h4,Q2,2680,374.9173126396501,3.7222978733642043,367.62160880785626,382.21301647144395
COL,2015,homepos_h4,Q3,3376,396.524643824598,2.8158595782207136,391.0055590512854,402.0437285979106
COL,2015,homepos_h4,Q4,3461,432.429839135035,4.593004006087263,423.427551283104,441.43212698696607
MEX,2015,escs,Q1,1658,380.6577082783705,3.6293334489042497,373.54421471851816,387.7712018382228
MEX,2015,escs,Q2,1911,401.81202698970685,2.857936501677916,396.2104714464181,407.4135825329956
MEX,2015,escs,Q3,1941,414.8336430920739,3.259145070716301,408.4457187534699,421.22156743067785
MEX,2015,escs,Q4,1997,436.61220006059546,3.393624838667504,429.96069537680717,443.26370474438374
MEX,2015,escs_h4,Q1,1657,379.1015773643058,3.374960826400349,372.4866541445611,385.7165005840505
MEX,2015,escs_h4,Q2,1907,403.12473679691414,3.342547008494928,396.57334466026407,409.6761289335642
MEX,2015,escs_h4,Q3,1942,416.72555368650654,3.083864137576502,410.6811799768566,422.7699273961565
MEX,2015,escs_h4,Q4,1994,435.8804142060949,3.8439927308770137,428.34618845357596,443.4146399586138
MEX,2015,homepos,Q1,1700,383.4402351948119,3.4229878950197765,376.73117892057314,390.1492914690507
MEX,2015,homepos,Q2,1865,400.06905012176077,3.357885279594634,393.4875949737553,406.65050526976626
MEX,2015,homepos,Q3,1988,416.3636159497258,3.2300040585712027,410.0328079949262,422.69442390452537
MEX,2015,homepos,Q4,1959,433.97921274265707,3.732292251087591,426.66391993052537,441.29450555478877
MEX,2015,homepos_h4,Q1,1713,383.26955415824216,3.54535207227066,376.32066409659166,390.21844421989266
MEX,2015,homepos_h4,Q2,1816,397.30174038575814,3.4446483730559456,390.5502295745685,404.05325119694777
MEX,2015,homepos_h4,Q3,1988,422.70400160937425,3.005137865106155,416.81393139376615,428.59407182498234
MEX,2015,homepos_h4,Q4,1955,433.54984094509183,3.7584389943330403,426.1833005161991,440.91638137398456
PER,2015,escs,Q1,1686,341.1987984170835,3.2083198490468416,334.9104915129517,347.48710532121527
PER,2015,escs,Q2,1750,375.01024884418314,3.5224703129416763,368.1062070308175,381.9142906575488
PER,2015,escs,Q3,1755,394.93102568678245,3.8715101867827335,387.3428657206883,402.5191856528766
PER,2015,escs,Q4,1753,434.8874488500396,4.7895372313138695,425.49995587666444,444.2749418234148
PER,2015,escs_h4,Q1,1680,342.1713284443862,3.2637422300348264,335.7743936735179,348.56826321525443
PER,2015,escs_h4,Q2,1751,371.9644556776319,3.4839231699858644,365.1359662644596,378.7929450908042
PER,2015,escs_h4,Q3,1748,397.61107124354123,3.908286408700298,389.9508298824887,405.2713126045938
PER,2015,escs_h4,Q4,1753,435.2044616445848,5.0163080102918105,425.3724979444128,445.03642534475676
PER,2015,homepos,Q1,1686,342.49568566118074,3.145925167084548,336.32967233369504,348.66169898866644
PER,2015,homepos,Q2,1749,369.8567172435463,4.0351147608240785,361.94789231233113,377.7655421747615
PER,2015,homepos,Q3,1751,400.39948824800655,3.641150828869724,393.2628326234219,407.5361438725912
PER,2015,homepos,Q4,1757,433.36251557936794,5.215526664855393,423.1400833162514,443.5849478424845
PER,2015,homepos_h4,Q1,1673,348.55009440423333,3.561462075278722,341.56962873668704,355.53056007177963
PER,2015,homepos_h4,Q2,1727,362.9015046136034,3.3508629955567466,356.3338131423122,369.4691960848946
PER,2015,homepos_h4,Q3,1727,409.9397839561325,3.701386019077917,402.6850673587398,417.1945005535252
PER,2015,homepos_h4,Q4,1738,430.43963891687036,4.92671986884815,420.783267973928,440.09600985981274
URY,2015,escs,Q1,1460,379.60857383026405,3.5007432772158107,372.7471170069211,386.470030653607
URY,2015,escs,Q2,1447,401.55060847232687,3.4898226131627488,394.7105561505279,408.39066079412584
URY,2015,escs,Q3,1487,422.7470318319065,3.376944379402501,416.1282208482776,429.3658428155354
URY,2015,escs,Q4,1565,469.84994690656487,5.249258611943605,459.5614000271554,480.13849378597433
URY,2015,escs_h4,Q1,1453,381.4994890767615,3.564880013578353,374.5123242501479,388.4866539033751
URY,2015,escs_h4,Q2,1440,402.8093234569577,3.3227052446973984,396.2968211773508,409.3218257365646
URY,2015,escs_h4,Q3,1472,422.9356497674138,3.4435486035153016,416.1862945045238,429.6850050303038
URY,2015,escs_h4,Q4,1560,469.1871942497507,5.355945732662276,458.6895406137326,479.68484788576876
URY,2015,homepos,Q1,1462,381.88050566837103,3.688740712831267,374.65057387122175,389.1104374655203
URY,2015,homepos,Q2,1454,403.9247467278127,3.2492356426267786,397.55624486826423,410.2932485873612
URY,2015,homepos,Q3,1487,426.3093077115251,3.5195943761926687,419.41090273418746,433.2077126888627
URY,2015,homepos,Q4,1563,461.60453691379035,5.156341583886246,451.4981074093733,471.7109664182074
URY,2015,homepos_h4,Q1,1421,385.30528306592214,3.7641298478643717,377.92758856410796,392.6829775677363
URY,2015,homepos_h4,Q2,1407,411.29859656324015,3.0402236297157743,405.3397582489972,417.2574348774831
URY,2015,homepos_h4,Q3,1460,429.51751665822457,3.4318666765861403,422.7910579721157,436.2439753443334
URY,2015,homepos_h4,Q4,1519,460.4167426406364,4.914242596579144,450.7848271513413,470.04865812993154
ARG,2018,escs,Q1,2605,332.2770662382733,3.861718257177652,324.70809845420507,339.8460340223415
ARG,2018,escs,Q2,2730,367.1248406063409,4.250218230748792,358.79441287407326,375.45526833860856
ARG,2018,escs,Q3,3009,392.0256902988739,3.7168135972174574,384.74073564832764,399.3106449494201
ARG,2018,escs,Q4,3501,429.7035289065108,4.232424105967127,421.40797765881524,437.9990801542064
ARG,2018,escs_h4,Q1,2599,335.9334979455977,3.703289296120557,328.6750509252014,343.191944965994
