cnt,index,quartile,2015,2018,2022,2025
ARG,escs,Q1,,332.2770662382733,344.8112058827247,342.32284633804386
ARG,escs,Q2,,367.1248406063409,362.50217556307496,354.23701215302816
ARG,escs,Q3,,392.0256902988739,384.5663480395166,372.074340791864
ARG,escs,Q4,,429.7035289065108,419.59139327608364,421.49999407606094
ARG,escs_h4,Q1,,335.9334979455977,346.313913303835,344.48743565979794
ARG,escs_h4,Q2,,366.4039602162885,366.0042096042863,354.4040317027616
ARG,escs_h4,Q3,,393.7416039737296,385.1166142575279,373.9743635415871
ARG,escs_h4,Q4,,427.81395899611164,417.09902102603627,422.2448976469717
ARG,homepos,Q1,,328.07694524440666,338.7818480512122,337.8517730990177
ARG,homepos,Q2,,366.95675686494394,367.1932396149292,355.88316870702533
ARG,homepos,Q3,,396.4964324183744,390.21397266835044,377.09964295241855
ARG,homepos,Q4,,427.5074254875876,414.3519549979313,405.02563888189553
ARG,homepos_h4,Q1,,334.4146672000631,348.5346525367706,338.8003539519156
ARG,homepos_h4,Q2,,371.12111815869133,368.6416152368888,354.82625019163305
ARG,homepos_h4,Q3,,396.64289292015144,392.0215065945276,381.6865931633923
ARG,homepos_h4,Q4,,424.59712530315016,410.45416729236024,410.5306781994699
BRA,escs,Q1,341.2117106915965,347.7864343720654,348.10894502960826,341.57667593558637
BRA,escs,Q2,364.24015205449035,365.38505562508715,365.0199885644702,367.19414714120273
BRA,escs,Q3,378.0049318559561,387.57467836043395,379.4974949460746,387.8101194453932
BRA,escs,Q4,429.50271678074614,438.5867466894847,425.4064475167026,431.99680582398094
BRA,escs_h4,Q1,341.2191704631901,348.0816501632455,349.91951824415554,342.18669100934795
BRA,escs_h4,Q2,365.5599452628719,367.4080003032501,366.4179485762169,368.5599947292252
BRA,escs_h4,Q3,379.49352681027284,388.6472008606405,381.9600320892847,388.31736546546483
BRA,escs_h4,Q4,430.44643122866836,439.38761527363795,424.22300051383917,432.2769745694315
BRA,homepos,Q1,337.34311336962645,346.6585015749188,341.7167759405264,343.4995455111046
BRA,homepos,Q2,363.9724670283434,362.90391243845073,361.19966786747045,359.86946190445985
BRA,homepos,Q3,385.3559331252319,392.8211773717794,385.83945422885483,386.3058156126557
BRA,homepos,Q4,424.9579339080534,435.68307531959147,427.2814146180591,422.86284073982534
BRA,homepos_h4,Q1,338.1793173170677,349.63246708295094,349.13254277480405,343.4525238795182
BRA,homepos_h4,Q2,368.10257985667465,362.71101593659716,359.55466995002973,356.13995478291514
BRA,homepos_h4,Q3,391.45849228105016,398.01745143270875,389.6300272591551,390.45443177213406
BRA,homepos_h4,Q4,425.18407843495663,436.8105189787726,428.1840013560166,429.0688209872054
CHL,escs,Q1,378.721975447249,377.5231274216619,383.74230080287316,377.5920471563294
CHL,escs,Q2,414.6890787209562,406.82707661141586,403.4320295756664,392.04530464802474
CHL,escs,Q3,426.25102746674264,422.3623468550335,415.17643839549316,408.3447237308966
CHL,escs,Q4,474.0042189488604,466.70646485181413,452.85221006260934,447.28867092451276
CHL,escs_h4,Q1,380.84364250804026,378.4437478941103,385.4327250414064,376.992377641508
CHL,escs_h4,Q2,411.34886559217546,406.2747588393343,404.15338014451925,392.02918112180606
CHL,escs_h4,Q3,430.4669995047364,423.1040138795797,416.28557894001824,409.5957108597047
CHL,escs_h4,Q4,471.34980456473886,465.7578997188342,449.57216523645747,447.77573729255494
CHL,homepos,Q1,383.4214504539513,385.09334869249113,378.34203966360235,380.638444230853
CHL,homepos,Q2,415.85706787786376,407.9146636864331,404.04455492773525,396.49255140035416
CHL,homepos,Q3,429.7983412513792,424.05293966831294,421.03888494988206,407.5954674959838
CHL,homepos,Q4,463.89197673271536,454.9683546688082,449.656870528859,431.88276126951797
CHL,homepos_h4,Q1,384.75386382338365,388.7865382368814,384.86009868727234,379.72224309870353
CHL,homepos_h4,Q2,416.1432610752453,404.7939602104734,406.9109334023948,394.9026374899935
CHL,homepos_h4,Q3,430.76779485705754,425.4047925440291,421.22672225535763,409.77098149493077
CHL,homepos_h4,Q4,461.7472366659723,453.40782244085597,441.8613484674958,435.0797701253431
COL,escs,Q1,361.06392550630596,358.9804247442221,351.657763356477,350.4688905562199
COL,escs,Q2,374.50552906788295,377.4503186360695,369.6691864423028,373.1685363601852
COL,escs,Q3,392.06164762220607,395.8803760562758,384.2044345673045,388.05745567716866
COL,escs,Q4,431.16469251933256,434.5132970824094,430.21297769345813,428.55562757004145
COL,escs_h4,Q1,361.1798827318954,359.600470588559,353.6030983794724,351.03169956081126
COL,escs_h4,Q2,375.40385462666853,377.68756808900247,370.920563182482,373.39875926226546
COL,escs_h4,Q3,393.17894209979397,395.65844896269886,384.99998004392666,388.5118258441722
COL,escs_h4,Q4,429.73425621283366,434.0621350493945,427.2088081105996,428.43130072619704
COL,homepos,Q1,356.14884941945843,354.34276428225905,345.054323691981,348.11236911872385
COL,homepos,Q2,376.6097798549396,380.8563618685786,366.4046636703896,368.14295221569745
COL,homepos,Q3,393.24458512699175,399.34975491414787,391.7630618812412,390.7331957846096
COL,homepos,Q4,432.7165101704757,432.24365492730766,431.6554415291657,422.81803331041317
COL,homepos_h4,Q1,358.75888022123206,356.7969943980364,354.31008359010286,352.6735312910454
COL,homepos_h4,Q2,374.9173126396501,377.2261399149049,361.67983543494006,362.5284939402854
COL,homepos_h4,Q3,396.524643824598,401.6160245205406,394.706738508799,392.75655169641044
COL,homepos_h4,Q4,432.429839135035,433.7660557947337,429.2925566900306,425.75687522530234
MEX,escs,Q1,380.6577082783705,377.6634569285093,369.1964651437033,362.65924264442464
MEX,escs,Q2,401.81202698970685,400.0416474517542,385.84056690470385,381.73170253905545
MEX,escs,Q3,414.8336430920739,412.8948648812707,397.7417315451392,392.3017928341875
MEX,escs,Q4,436.61220006059546,444.9887527327198,427.6472404806056,419.82681578657264
MEX,escs_h4,Q1,379.1015773643058,376.9058639161543,369.8588329715738,362.50345395642427
MEX,escs_h4,Q2,403.12473679691414,400.04647741664036,387.14281444200464,381.3329417639425
