cnt,wave,index,quartile,statistic,computed,official,difference,source_table
ARG,2018,escs,Q1,estimate,332.2770662382733,332.27311000000003,0.003956238273246981,Table I.B1.2b.24
ARG,2018,escs,Q1,se,3.861718257177652,3.8601500000000004,0.001568257177651411,Table I.B1.2b.24
ARG,2018,escs,Q2,estimate,367.1248406063409,367.12396,0.0008806063408997034,Table I.B1.2b.24
ARG,2018,escs,Q2,se,4.250218230748792,4.24922,0.0009982307487916842,Table I.B1.2b.24
ARG,2018,escs,Q3,estimate,392.0256902988739,392.016,0.009690298873863412,Table I.B1.2b.24
ARG,2018,escs,Q3,se,3.7168135972174574,3.7122800000000002,0.004533597217457164,Table I.B1.2b.24
ARG,2018,escs,Q4,estimate,429.7035289065108,429.70021,0.0033189065107990245,Table I.B1.2b.24
ARG,2018,escs,Q4,se,4.232424105967127,4.24209,-0.009665894032873545,Table I.B1.2b.24
ARG,2022,escs,Q1,estimate,344.8112058827247,344.79485000000005,0.01635588272466748,Table I.B1.2b.24
ARG,2022,escs,Q1,se,2.9980480927337183,2.99555,0.002498092733718149,Table I.B1.2b.24
ARG,2022,escs,Q2,estimate,362.50217556307496,362.51652,-0.01434443692505738,Table I.B1.2b.24
ARG,2022,escs,Q2,se,2.6026698021935077,2.59458,0.008089802193507634,Table I.B1.2b.24
ARG,2022,escs,Q3,estimate,384.5663480395166,384.56635000000006,-1.960483473339991e-06,Table I.B1.2b.24
ARG,2022,escs,Q3,se,3.414349789494026,3.4223600000000003,-0.008010210505974502,Table I.B1.2b.24
ARG,2022,escs,Q4,estimate,419.59139327608364,419.59139000000005,3.2760835892986506e-06,Table I.B1.2b.24
ARG,2022,escs,Q4,se,3.623160794943941,3.61593,0.007230794943940744,Table I.B1.2b.24
ARG,2025,escs,Q1,estimate,342.32284633804386,342.23942000000005,0.08342633804380739,Table I.B1.2b.24
ARG,2025,escs,Q1,se,3.03753114404319,3.0368000000000004,0.0007311440431894134,Table I.B1.2b.24
ARG,2025,escs,Q2,estimate,354.23701215302816,354.30944000000005,-0.07242784697189109,Table I.B1.2b.24
ARG,2025,escs,Q2,se,3.275236204771795,3.3125600000000004,-0.03732379522820528,Table I.B1.2b.24
ARG,2025,escs,Q3,estimate,372.074340791864,372.07434,7.918640108073305e-07,Table I.B1.2b.24
ARG,2025,escs,Q3,se,4.045850150885494,4.073840000000001,-0.027989849114506526,Table I.B1.2b.24
ARG,2025,escs,Q4,estimate,421.49999407606094,421.49999,4.076060918123403e-06,Table I.B1.2b.24
ARG,2025,escs,Q4,se,5.841166422311667,5.85749,-0.01632357768833348,Table I.B1.2b.24
BRA,2015,escs,Q1,estimate,341.2117106915965,341.21171000000004,6.915964831932797e-07,Table I.B1.2b.24
BRA,2015,escs,Q1,se,3.5864704485162013,3.5846400000000003,0.0018304485162010664,Table I.B1.2b.24
BRA,2015,escs,Q2,estimate,364.24015205449035,364.24015,2.0544903236441314e-06,Table I.B1.2b.24
BRA,2015,escs,Q2,se,2.7823561250586004,2.7868700000000004,-0.004513874941399987,Table I.B1.2b.24
BRA,2015,escs,Q3,estimate,378.0049318559561,378.00493000000006,1.8559560430730926e-06,Table I.B1.2b.24
BRA,2015,escs,Q3,se,3.4777493532341164,3.47379,0.003959353234116225,Table I.B1.2b.24
BRA,2015,escs,Q4,estimate,429.50271678074614,429.50272,-3.219253869701788e-06,Table I.B1.2b.24
BRA,2015,escs,Q4,se,5.649168612104814,5.648490000000001,0.0006786121048136806,Table I.B1.2b.24
BRA,2018,escs,Q1,estimate,347.7864343720654,347.73544000000004,0.05099437206536095,Table I.B1.2b.24
BRA,2018,escs,Q1,se,2.74841119564619,2.73726,0.011151195646189827,Table I.B1.2b.24
BRA,2018,escs,Q2,estimate,365.38505562508715,365.42876,-0.043704374912863386,Table I.B1.2b.24
BRA,2018,escs,Q2,se,2.7287602553785897,2.7189,0.009860255378589589,Table I.B1.2b.24
BRA,2018,escs,Q3,estimate,387.57467836043395,387.57468000000006,-1.6395661077694967e-06,Table I.B1.2b.24
