cnt,wave,n,estimate,se,ci_low,ci_high
BRA,2015,23141,377.0695234703998,2.8633599287450373,371.4573380100595,382.6817089307401
CHL,2015,7053,422.6713579729065,2.5394627952502375,417.69401089421604,427.64870505159695
COL,2015,11795,389.6438278835297,2.286127405809864,385.16301816814234,394.12463759891705
MEX,2015,7568,408.02347775191186,2.240859323820297,403.6313934772241,412.4155620265996
PER,2015,6971,386.56058797028055,2.714195218167404,381.24076534267243,391.88041059788867
URY,2015,6062,417.9918828787398,2.4959680176297994,413.09978556418537,422.8839801932942
ARG,2018,11975,379.4538166029323,2.7711141512771036,374.0224328664292,384.8852003394354
BRA,2018,10691,383.5691241061826,2.0323689114639367,379.5856810397133,387.5525671726519
CHL,2018,7621,417.406556233566,2.415887564710243,412.67141660673394,422.14169586039804
COL,2018,7522,390.93227374034694,2.9895591266256547,385.0727378521607,396.7918096285332
MEX,2018,7299,408.80147375475707,2.493225614657441,403.9147515500285,413.68819595948565
PER,2018,6086,399.8376748128221,2.60669296317345,394.72855660500215,404.9467930206421
URY,2018,5263,417.6616172796877,2.6323876667483006,412.502137452861,422.82109710651434
ARG,2022,12111,377.5290286484542,2.2516554776095394,373.1157839123395,381.94227338456886
BRA,2022,10798,378.6913669469825,1.5814188662381508,375.5917859691557,381.7909479248093
CHL,2022,6488,411.696570708097,2.077902006708995,407.6238827749474,415.7692586412466
COL,2022,7804,382.69683512956686,3.0310134881947484,376.7560486927052,388.63762156642855
MEX,2022,6288,395.0299192187098,2.270588839498001,390.5795650932937,399.48027334412586
PER,2022,6968,391.2357846402254,2.341027646474934,386.64737045313456,395.82419882731625
URY,2022,6618,408.71206639216757,2.023864988804209,404.74529101411133,412.6788417702238
ARG,2025,11092,366.8142032742934,2.6634611729485287,361.5938193753143,372.0345871732725
BRA,2025,30140,376.7679361057087,1.7480119329687798,373.3418327170899,380.1940394943275
CHL,2025,6573,402.6452234322068,2.176101691252115,398.3800641173527,406.91038274706096
COL,2025,7268,380.52867387062145,2.7814103541208213,375.0771095765446,385.9802381646983
MEX,2025,7843,387.58717074062304,1.8581686621996276,383.9451601627118,391.2291813185343
PER,2025,6991,382.43937522599595,2.4482908663413876,377.64072512796685,387.23802532402505
URY,2025,6572,404.8788462671822,1.945176322513209,401.0663006750563,408.6913918593081
