cnt,wave,index,quartile,n,weight_pct
BRA,2015,escs,Q1,5680,25.005439144362633
BRA,2015,escs,Q2,5243,24.99826272151212
BRA,2015,escs,Q3,5214,24.99776786614409
BRA,2015,escs,Q4,5467,24.99853026798114
BRA,2015,escs_h4,Q1,5583,25.0061713395765
BRA,2015,escs_h4,Q2,5203,24.99524465273736
BRA,2015,escs_h4,Q3,5169,24.999458702370664
BRA,2015,escs_h4,Q4,5358,24.999125305315463
BRA,2015,homepos,Q1,6189,25.00269049078878
BRA,2015,homepos,Q2,5562,25.00919375846877
BRA,2015,homepos,Q3,5066,24.98824404229193
BRA,2015,homepos,Q4,4959,24.999871708450517
BRA,2015,homepos_h4,Q1,6038,25.001939831892038
BRA,2015,homepos_h4,Q2,5280,25.00149409754871
BRA,2015,homepos_h4,Q3,4833,25.00197717427495
BRA,2015,homepos_h4,Q4,4800,24.994588896284288
CHL,2015,escs,Q1,1361,25.018354230453426
CHL,2015,escs,Q2,1376,24.99316255107955
CHL,2015,escs,Q3,1515,24.991803120637492
CHL,2015,escs,Q4,2697,24.996680097829547
CHL,2015,escs_h4,Q1,1358,25.015081031262632
CHL,2015,escs_h4,Q2,1381,24.98921476981801
CHL,2015,escs_h4,Q3,1489,25.00829693186809
CHL,2015,escs_h4,Q4,2716,24.987407267051264
CHL,2015,homepos,Q1,1391,25.007414412295354
CHL,2015,homepos,Q2,1443,24.999687928673726
CHL,2015,homepos,Q3,1616,25.001398810037394
CHL,2015,homepos,Q4,2544,24.991498848993533
CHL,2015,homepos_h4,Q1,1390,25.015191553265147
CHL,2015,homepos_h4,Q2,1470,25.008032520711488
CHL,2015,homepos_h4,Q3,1585,24.98265519628054
CHL,2015,homepos_h4,Q4,2539,24.994120729742832
COL,2015,escs,Q1,2169,25.00122442963198
COL,2015,escs,Q2,2867,24.9994561713244
COL,2015,escs,Q3,3187,25.003981690344744
COL,2015,escs,Q4,3338,24.995337708698884
COL,2015,escs_h4,Q1,2099,25.00087814321504
COL,2015,escs_h4,Q2,2958,25.001396104980355
COL,2015,escs_h4,Q3,3191,24.99947087462405
COL,2015,escs_h4,Q4,3297,24.998254877180557
COL,2015,homepos,Q1,2019,25.01578064459299
COL,2015,homepos,Q2,2661,25.015528241313383
COL,2015,homepos,Q3,3346,24.971488456253375
COL,2015,homepos,Q4,3541,24.997202657840248
COL,2015,homepos_h4,Q1,1970,25.000449902120987
COL,2015,homepos_h4,Q2,2680,25.008560910974296
COL,2015,homepos_h4,Q3,3376,25.004339298270743
COL,2015,homepos_h4,Q4,3461,24.98664988863398
MEX,2015,escs,Q1,1658,25.003928643442425
MEX,2015,escs,Q2,1911,25.003861997740557
MEX,2015,escs,Q3,1941,24.992572836063456
MEX,2015,escs,Q4,1997,24.999636522753583
