cnt,wave,index,n_total,n_valid,valid_weight_pct,status
ARG,2022,escs,12111,11719,96.23669223669053,estimated
ARG,2022,escs_h,12111,11655,95.34933467482686,estimated
ARG,2022,homepos,12111,11784,96.85239306107073,estimated
ARG,2022,homepos_h,12111,11527,93.92424073178921,estimated
ARG,2022,hisei_h,12111,10611,85.99628166129082,estimated
ARG,2022,pared_h,12111,11705,96.0952239903972,estimated
ARG,2022,books_h,12111,11675,95.77873167506044,estimated
ARG,2022,escs_pca,12111,11655,95.34933467482686,estimated
ARG,2022,escs_cc,12111,10416,83.94200716152098,estimated
ARG,2022,escs_h_cc,12111,10416,83.94200716152098,estimated
ARG,2025,escs,11092,9808,85.0836548898742,estimated
ARG,2025,escs_h,11092,9728,83.90783480130146,estimated
ARG,2025,homepos,11092,10409,91.13253822438217,estimated
ARG,2025,homepos_h,11092,10204,88.37130705716066,estimated
ARG,2025,hisei_h,11092,8380,69.98478798756399,estimated
ARG,2025,pared_h,11092,9087,78.30775247305212,estimated
ARG,2025,books_h,11092,10288,89.79187677479511,estimated
ARG,2025,escs_pca,11092,9728,83.90783480130146,estimated
ARG,2025,escs_cc,11092,7595,62.46153934733696,estimated
ARG,2025,escs_h_cc,11092,7595,62.46153934733696,estimated
BRA,2022,escs,10798,10334,95.76204149307972,estimated
BRA,2022,escs_h,10798,10215,94.52092890508825,estimated
BRA,2022,homepos,10798,10505,97.32415841615779,estimated
BRA,2022,homepos_h,10798,10163,93.9114463602978,estimated
BRA,2022,hisei_h,10798,9217,85.02838686447187,estimated
BRA,2022,pared_h,10798,10257,95.08816477510565,estimated
BRA,2022,books_h,10798,10345,95.90134684242635,estimated
BRA,2022,escs_pca,10798,10215,94.52092890508825,estimated
BRA,2022,escs_cc,10798,8949,82.45056995310695,estimated
BRA,2022,escs_h_cc,10798,8949,82.45056995310695,estimated
BRA,2025,escs,30140,27442,92.24767036174538,estimated
BRA,2025,escs_h,30140,27218,91.62087774028552,estimated
BRA,2025,homepos,30140,29332,97.7663319512315,estimated
BRA,2025,homepos_h,30140,28700,95.98319504327839,estimated
BRA,2025,hisei_h,30140,22027,75.61899016005859,estimated
BRA,2025,pared_h,30140,26592,89.48763986383028,estimated
BRA,2025,books_h,30140,28990,96.74732662402097,estimated
BRA,2025,escs_pca,30140,27218,91.62087774028552,estimated
BRA,2025,escs_cc,30140,20970,72.24608905322356,estimated
BRA,2025,escs_h_cc,30140,20970,72.24608905322356,estimated
CHL,2022,escs,6488,6181,94.59527252254107,estimated
CHL,2022,escs_h,6488,6176,94.50563182262016,estimated
CHL,2022,homepos,6488,6226,95.55789750458256,estimated
CHL,2022,homepos_h,6488,6207,95.14318791126858,estimated
CHL,2022,hisei_h,6488,5756,86.53732466086824,estimated
CHL,2022,pared_h,6488,6105,93.13631868950702,estimated
CHL,2022,books_h,6488,6217,95.4332798644016,estimated
CHL,2022,escs_pca,6488,6176,94.50563182262016,estimated
CHL,2022,escs_cc,6488,5667,84.78180878696786,estimated
CHL,2022,escs_h_cc,6488,5667,84.78180878696786,estimated
CHL,2025,escs,6573,5977,90.31349067228216,estimated
CHL,2025,escs_h,6573,5965,90.04738553621208,estimated
CHL,2025,homepos,6573,6167,93.4942651299123,estimated
CHL,2025,homepos_h,6573,6121,92.6492783859559,estimated
CHL,2025,hisei_h,6573,5159,76.50919555265497,estimated
CHL,2025,pared_h,6573,5841,88.27116420589505,estimated
CHL,2025,books_h,6573,6134,93.01188518239101,estimated
CHL,2025,escs_pca,6573,5965,90.04738553621208,estimated
CHL,2025,escs_cc,6573,4994,73.98927038884932,estimated
CHL,2025,escs_h_cc,6573,4994,73.98927038884932,estimated
COL,2022,escs,7804,7459,94.89448859339656,estimated
COL,2022,escs_h,7804,7445,94.67498584342283,estimated
COL,2022,homepos,7804,7478,95.27651605116111,estimated
COL,2022,homepos_h,7804,7397,93.93370128852087,estimated
COL,2022,hisei_h,7804,7193,91.2989120692384,estimated
COL,2022,pared_h,7804,7447,94.76492700186877,estimated
COL,2022,books_h,7804,7435,94.59525411913256,estimated
COL,2022,escs_pca,7804,7445,94.67498584342283,estimated
COL,2022,escs_cc,7804,7117,90.12903341459547,estimated
COL,2022,escs_h_cc,7804,7117,90.12903341459547,estimated
COL,2025,escs,7268,6829,93.63040144509336,estimated
COL,2025,escs_h,7268,6805,93.3146884663748,estimated
COL,2025,homepos,7268,7078,97.32106361624102,estimated
COL,2025,homepos_h,7268,7002,96.12200152276806,estimated
COL,2025,hisei_h,7268,6084,82.52505611027664,estimated
COL,2025,pared_h,7268,6585,90.21047717613762,estimated
COL,2025,books_h,7268,7016,96.51592886864294,estimated
COL,2025,escs_pca,7268,6805,93.3146884663748,estimated
COL,2025,escs_cc,7268,5802,78.50231355852634,estimated
COL,2025,escs_h_cc,7268,5802,78.50231355852634,estimated
MEX,2022,escs,6288,6270,99.74350358184931,estimated
MEX,2022,escs_h,6288,6262,99.61236413631987,estimated
MEX,2022,homepos,6288,6270,99.72709675235974,estimated
MEX,2022,homepos_h,6288,6219,98.89907328791047,estimated
MEX,2022,hisei_h,6288,6053,96.1594767637067,estimated
MEX,2022,pared_h,6288,6263,99.6245496252874,estimated
MEX,2022,books_h,6288,6258,99.48827335892808,estimated
MEX,2022,escs_pca,6288,6262,99.61236413631987,estimated
MEX,2022,escs_cc,6288,6001,95.3106732100124,estimated
MEX,2022,escs_h_cc,6288,6001,95.3106732100124,estimated
MEX,2025,escs,7843,7669,97.43790313888408,estimated
MEX,2025,escs_h,7843,7659,97.27902569238952,estimated
MEX,2025,homepos,7843,7818,99.65426739945083,estimated
MEX,2025,homepos_h,7843,7796,99.24448493721965,estimated
MEX,2025,hisei_h,7843,7005,88.95605099198401,estimated
MEX,2025,pared_h,7843,7466,94.71111412013538,estimated
MEX,2025,books_h,7843,7753,98.82383658628056,estimated
MEX,2025,escs_pca,7843,7659,97.27902569238952,estimated
MEX,2025,escs_cc,7843,6796,86.13602764313245,estimated
MEX,2025,escs_h_cc,7843,6796,86.13602764313245,estimated
PER,2022,escs,6968,6923,99.2986904602845,estimated
PER,2022,escs_h,6968,6915,99.17141379660397,estimated
PER,2022,homepos,6968,6927,99.39560026417263,estimated
PER,2022,homepos_h,6968,6828,97.68589372024074,estimated
PER,2022,hisei_h,6968,6800,97.53458560667148,estimated
