cnt,index,n_systems,countries,status,group,mean_2022,mean_2025,link_se,estimate,se,ci_low,ci_high
ARG,escs,1,ARG,both cycles,Q4-Q1,74.78018739335891,79.17714773801708,0.0,4.396960344658169,7.604710578632418,-10.508272389461371,19.30219307877771
BRA,escs,1,BRA,both cycles,Q4-Q1,77.29750248709433,90.42012988839457,0.0,13.122627401300235,5.765127240079077,1.8229780107452438,24.422276791855225
CHL,escs,1,CHL,both cycles,Q4-Q1,69.10990925973618,69.69662376818337,0.0,0.5867145084471872,6.4273897375088715,-12.0109693770702,13.184398393964575
COL,escs,1,COL,both cycles,Q4-Q1,78.55521433698112,78.08673701382156,0.0,-0.46847732315956137,9.249389483545936,-18.597280710909597,17.660326064590475
MEX,escs,1,MEX,both cycles,Q4-Q1,58.450775336902325,57.167573142148,0.0,-1.283202194754324,5.950169576735552,-12.945534565156004,10.379130175647356
PER,escs,1,PER,both cycles,Q4-Q1,85.99058299306131,74.47789577536781,0.0,-11.512687217693497,6.662850253882559,-24.57187371530331,1.5464992799163184
URY,escs,1,URY,both cycles,Q4-Q1,90.62441384567933,93.42243712255475,0.0,2.7980232768754263,6.19053878618582,-9.33543274404878,14.931479297799633
LATAM7,escs,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q1,76.4012265218305,77.49264920692684,0.0,1.0914226850963473,2.618816221494108,-4.0414571090321045,6.224302479224799
ARG,escs_h,1,ARG,both cycles,Q4-Q1,72.43288502950548,81.56215254078671,0.0,9.129267511281228,7.371567497676196,-5.319004784164116,23.57753980672657
BRA,escs_h,1,BRA,both cycles,Q4-Q1,75.2900489189451,91.16948995983677,0.0,15.879441040891663,5.9129052685413805,4.290146714550557,27.468735367232767
CHL,escs_h,1,CHL,both cycles,Q4-Q1,64.73739905019642,73.32182385982509,0.0,8.584424809628672,6.584629316778962,-4.321448651258093,21.49029827051544
COL,escs_h,1,COL,both cycles,Q4-Q1,75.21531630631199,79.23997361396789,0.0,4.0246573076559,9.78001742219118,-15.144176839838813,23.193491455150614
MEX,escs_h,1,MEX,both cycles,Q4-Q1,56.688096823653154,58.373068933732554,0.0,1.6849721100794,5.958319841930492,-9.993334780104364,13.363279000263164
PER,escs_h,1,PER,both cycles,Q4-Q1,84.01823559818604,76.45377777912728,0.0,-7.5644578190587595,6.387461858294974,-20.083883061316907,4.954967423199388
URY,escs_h,1,URY,both cycles,Q4-Q1,88.40182464952738,96.62675166108824,0.0,8.224927011560851,6.24777719958485,-4.020716299625455,20.470570322747157
LATAM7,escs_h,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q1,73.82625805376091,79.53529119262356,0.0,5.709033138862651,2.6482358562684034,0.5184908605765806,10.899575417148721
ARG,homepos,1,ARG,both cycles,Q4-Q1,75.57010694671908,67.17386578287784,0.0,-8.396241163841239,7.064042749276201,-22.241764952422592,5.449282624740114
BRA,homepos,1,BRA,both cycles,Q4-Q1,85.56463867753268,79.36329522872074,0.0,-6.20134344881194,5.264091802698651,-16.518963382101298,4.116276484477416
CHL,homepos,1,CHL,both cycles,Q4-Q1,71.31483086525662,51.244317038664974,0.0,-20.07051382659165,5.9384519633691255,-31.709879674795136,-8.431147978388164
COL,homepos,1,COL,both cycles,Q4-Q1,86.60111783718474,74.70566419168932,0.0,-11.895453645495422,8.216373432980857,-27.9995455741379,4.208638283147057
MEX,homepos,1,MEX,both cycles,Q4-Q1,65.11710717923802,45.184901231432946,0.0,-19.932205947805073,6.279646131728561,-32.24031236599305,-7.624099529617094
PER,homepos,1,PER,both cycles,Q4-Q1,79.6281671855366,64.58520414665333,0.0,-15.042963038883272,6.273681033814584,-27.339377865159854,-2.7465482126066885
URY,homepos,1,URY,both cycles,Q4-Q1,94.36027266017709,63.99692146082094,0.0,-30.363351199356146,6.246076769578324,-42.60566166772966,-18.121040730982628
LATAM7,homepos,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q1,79.7366059073779,63.75059558297994,0.0,-15.986010324397967,2.4668904281794304,-20.82111556362965,-11.150905085166283
ARG,homepos_h,1,ARG,both cycles,Q4-Q1,66.24379764494489,74.61521829230787,0.0,8.371420647362982,7.138722808583052,-5.620476057459799,22.36331735218576
BRA,homepos_h,1,BRA,both cycles,Q4-Q1,81.2849295344534,84.92606245609522,0.0,3.6411329216418267,5.318249596810432,-6.78263628810662,14.064902131390273
CHL,homepos_h,1,CHL,both cycles,Q4-Q1,61.000442630721466,62.56998574893066,0.0,1.5695431182091966,5.977737799921606,-10.146822969637151,13.285909206055544
