cnt,published,harmonised,n_systems,countries,estimate,se,ci_low,ci_high
ARG,escs,escs_h,1,ARG,4.73230716662344,2.185266127666768,0.4491855563965741,9.015428776850307
BRA,escs,escs_h,1,BRA,2.7568136395913085,2.026716623234049,-1.215550941947428,6.729178221130045
CHL,escs,escs_h,1,CHL,7.997710301181559,2.3723802775399667,3.3478449572032245,12.647575645159893
COL,escs,escs_h,1,COL,4.493134630815399,2.3143265676446165,-0.042945441768049264,9.029214703398848
MEX,escs,escs_h,1,MEX,2.9681743048335933,1.5831526086456258,-0.13480480811183293,6.071153417779019
PER,escs,escs_h,1,PER,3.9482293986348624,2.0561289879256237,-0.08178341769936015,7.978242214969085
URY,escs,escs_h,1,URY,5.426903734685448,2.1015211337512607,1.3079223125329769,9.545885156837919
LATAM7,escs,escs_h,7,"ARG,BRA,CHL,COL,MEX,PER,URY",4.617610453766515,0.7956218673624457,3.0581915937361215,6.177029313796909
ARG,homepos,homepos_h,1,ARG,16.767661811204185,2.84003295299895,11.201197223326243,22.334126399082127
BRA,homepos,homepos_h,1,BRA,9.842476370453744,1.8703793794467976,6.17653278673802,13.508419954169467
CHL,homepos,homepos_h,1,CHL,21.640056944800808,3.044374064658555,15.67308377807004,27.607030111531575
COL,homepos,homepos_h,1,COL,8.614699535398051,2.822839454671979,3.081934204240973,14.14746486655513
MEX,homepos,homepos_h,1,MEX,16.921340775858635,2.8236660801504008,11.38695525876385,22.455726292953422
PER,homepos,homepos_h,1,PER,9.199347348441524,2.6385319158376284,4.027824793399772,14.370869903483275
URY,homepos,homepos_h,1,URY,17.27256461468371,3.2718374251565394,10.85976326137689,23.685365967990528
LATAM7,homepos,homepos_h,7,"ARG,BRA,CHL,COL,MEX,PER,URY",14.322592485834381,1.0540553674933824,12.256643965547351,16.38854100612141
ARG,escs_cc,escs_h_cc,1,ARG,4.6129645061502345,2.110097778728134,0.4771728598430913,8.748756152457378
BRA,escs_cc,escs_h_cc,1,BRA,0.6568475074280572,1.3893885734537463,-2.0663540965412857,3.3800491113974003
CHL,escs_cc,escs_h_cc,1,CHL,6.686813296034785,2.3884882258836075,2.005376373302914,11.368250218766656
COL,escs_cc,escs_h_cc,1,COL,3.9237879214667997,1.886260343536005,0.22671764813622985,7.6208581947973695
MEX,escs_cc,escs_h_cc,1,MEX,3.521222805339943,1.4392054106374395,0.7003802004905619,6.342065410189324
PER,escs_cc,escs_h_cc,1,PER,2.653479567677505,1.8948081389250804,-1.0603443846156524,6.367303519970662
URY,escs_cc,escs_h_cc,1,URY,3.7251507554837247,1.989961515415263,-0.1751738147301909,7.62547532569764
LATAM7,escs_cc,escs_h_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",3.682895194225864,0.7180944776508121,2.2754300180302724,5.090360370421456
