item,a,steps
ST250Q01JA,0.6100637952475803,[-1.5384929217221635]
ST250Q02JA,2.1613555327975793,[-0.5207307000057316]
ST250Q03JA,1.2318661488512472,[-0.18855787378264996]
ST250Q04JA,1.2698643146693493,[-2.1902451189808874]
ST250Q05JA,1.5173073147703449,[-1.5540792222011979]
ST251Q01JA,0.8584131827592295,"[-0.12707736655367052, 1.4332136887463673, 1.9921883236274736]"
ST251Q03JA,1.1559304071166705,"[-2.4004401366177155, 1.0195890492689015, 1.8126955925153794]"
ST251Q04JA,0.9824325160241496,"[-2.4225302570619087, 1.0119919014569667, 1.5834831267871439]"
ST251Q06JA,0.6301102444813874,"[1.2885656520384277, 1.707984053037378, 0.8021230637193177]"
ST251Q07JA,0.45595811918132373,"[2.4432132975665177, 1.1399514408046967, -1.4737537615295075]"
ST254Q01JA,1.2556080116163608,"[-2.752866825431328, 0.764734427372604, 2.68338263062587]"
ST254Q02JA,1.21500774139818,"[0.4391851181545927, 2.868496779491041, 3.029129217095629]"
ST254Q03JA,2.0284518755360277,"[-0.32838194250474445, 1.5663119666395198, 2.7343446253870476]"
ST254Q04JA,0.8931942429613056,"[0.7594740648479615, 2.7853439062888037, 2.615523499535594]"
ST254Q05JA,0.4351457696197585,"[4.734093433120094, 4.854307018752072, 1.7606737075476597]"
ST255Q01JA,0.4241258558796813,"[-2.3121947581432774, 1.21272870212713, 0.817337193898119, 3.467663138562255, 2.751565697927417, 2.5363262399339908]"
