cnt,index,wave,group,statistic,computed,official,difference,source_table
ARG,escs,2022,Q1,estimate,344.8112058827247,344.79485000000005,0.01635588272466748,Table I.B1.2b.24
ARG,escs,2022,Q1,se,2.9980480927337188,2.99555,0.002498092733718593,Table I.B1.2b.24
ARG,escs,2025,Q1,estimate,342.32284633804386,342.23942000000005,0.08342633804380739,Table I.B1.2b.24
ARG,escs,2025,Q1,se,3.03753114404319,3.0368000000000004,0.0007311440431894134,Table I.B1.2b.24
ARG,escs,change,Q1,estimate,-2.4883595446808613,-2.5554300000000003,0.06707045531913902,Table I.B1.2b.24
ARG,escs,change,Q1,se,4.438838566266701,4.43665,0.002188566266700498,Table I.B1.2b.24
ARG,escs,2022,Q2,estimate,362.50217556307496,362.51652,-0.01434443692505738,Table I.B1.2b.24
ARG,escs,2022,Q2,se,2.6026698021935073,2.59458,0.00808980219350719,Table I.B1.2b.24
ARG,escs,2025,Q2,estimate,354.23701215302816,354.30944000000005,-0.07242784697189109,Table I.B1.2b.24
ARG,escs,2025,Q2,se,3.2752362047717956,3.3125600000000004,-0.03732379522820484,Table I.B1.2b.24
ARG,escs,change,Q2,estimate,-8.265163410046796,-8.207080000000001,-0.058083410046794626,Table I.B1.2b.24
ARG,escs,change,Q2,se,4.357690018381063,4.381010000000001,-0.023319981618938,Table I.B1.2b.24
ARG,escs,2022,Q3,estimate,384.5663480395166,384.56635000000006,-1.960483473339991e-06,Table I.B1.2b.24
ARG,escs,2022,Q3,se,3.4143497894940253,3.4223600000000003,-0.008010210505974946,Table I.B1.2b.24
ARG,escs,2025,Q3,estimate,372.074340791864,372.07434,7.918640108073305e-07,Table I.B1.2b.24
ARG,escs,2025,Q3,se,4.045850150885494,4.073840000000001,-0.027989849114506526,Table I.B1.2b.24
ARG,escs,change,Q3,estimate,-12.492007247652566,-12.49201,2.75234743440933e-06,Table I.B1.2b.24
ARG,escs,change,Q3,se,5.432779024443942,5.458670000000001,-0.02589097555605857,Table I.B1.2b.24
ARG,escs,2022,Q4,estimate,419.59139327608364,419.59139000000005,3.2760835892986506e-06,Table I.B1.2b.24
ARG,escs,2022,Q4,se,3.62316079494394,3.61593,0.0072307949439398556,Table I.B1.2b.24
ARG,escs,2025,Q4,estimate,421.49999407606094,421.49999,4.076060918123403e-06,Table I.B1.2b.24
ARG,escs,2025,Q4,se,5.841166422311669,5.85749,-0.016323577688331703,Table I.B1.2b.24
ARG,escs,change,Q4,estimate,1.9086007999773074,1.9086,7.999773072864258e-07,Table I.B1.2b.24
