cnt,index,n_systems,countries,status,group,mean_2022,mean_2025,link_se,estimate,se,ci_low,ci_high
ARG,escs,1,ARG,both cycles,Q1,344.8112058827247,342.32284633804386,1.22,-2.4883595446808613,4.438838566266701,-11.188483134563594,6.211764045201871
ARG,escs,1,ARG,both cycles,Q2,362.50217556307496,354.23701215302816,1.22,-8.265163410046796,4.357690018381063,-16.806235846073676,0.27590902598008604
ARG,escs,1,ARG,both cycles,Q3,384.5663480395166,372.074340791864,1.22,-12.492007247652566,5.432779024443942,-23.140254135562692,-1.84376035974244
ARG,escs,1,ARG,both cycles,Q4,419.59139327608364,421.49999407606094,1.22,1.9086007999773074,6.981039988365637,-11.774237577219342,15.591439177173957
ARG,escs,1,ARG,both cycles,Q2-Q1,17.690969680350236,11.914165814984301,0.0,-5.776803865365935,4.427980254402159,-14.455645163994166,2.902037433262297
ARG,escs,1,ARG,both cycles,Q3-Q1,39.75514215679186,29.751494453820158,0.0,-10.003647702971705,5.60805560337272,-20.995436685582234,0.9881412796388265
ARG,escs,1,ARG,both cycles,Q4-Q1,74.78018739335891,79.17714773801708,0.0,4.396960344658169,7.604710578632418,-10.508272389461371,19.30219307877771
ARG,escs,1,ARG,both cycles,Q3-Q2,22.064172476441627,17.837328638835857,0.0,-4.22684383760577,5.505064779680252,-15.016770805779064,6.563083130567524
ARG,escs,1,ARG,both cycles,Q4-Q2,57.08921771300868,67.26298192303278,0.0,10.173764210024103,7.268303777282557,-4.072111193449707,24.419639613497914
ARG,escs,1,ARG,both cycles,Q4-Q3,35.02504523656705,49.425653284196926,0.0,14.400608047629873,6.4729294506795805,1.7136663242978951,27.08754977096185
BRA,escs,1,BRA,both cycles,Q1,348.10894502960826,341.57667593558637,1.22,-6.532269094021899,2.7072495010493065,-11.83847811607854,-1.2260600719652581
BRA,escs,1,BRA,both cycles,Q2,365.0199885644702,367.19414714120273,1.22,2.174158576732509,2.8733345305883815,-3.4575771032207188,7.805894256685737
BRA,escs,1,BRA,both cycles,Q3,379.4974949460746,387.8101194453932,1.22,8.312624499318588,3.8764805352551015,0.7147226502185893,15.910526348418585
BRA,escs,1,BRA,both cycles,Q4,425.4064475167026,431.99680582398094,1.22,6.590358307278336,5.578059245555288,-4.342637814010027,17.523354428566698
BRA,escs,1,BRA,both cycles,Q2-Q1,16.91104353486196,25.61747120561637,0.0,8.706427670754408,2.893191891663862,3.0357715630932383,14.377083778415578
BRA,escs,1,BRA,both cycles,Q3-Q1,31.38854991646633,46.23344350980682,0.0,14.844893593340487,3.88133674622454,7.237473570740389,22.452313615940586
BRA,escs,1,BRA,both cycles,Q4-Q1,77.29750248709433,90.42012988839457,0.0,13.122627401300235,5.765127240079077,1.8229780107452438,24.422276791855225
BRA,escs,1,BRA,both cycles,Q3-Q2,14.477506381604371,20.61597230419045,0.0,6.138465922586079,3.7922103944958647,-1.2942664506258161,13.571198295797974
