cnt,wave,index,n,weight_Q1,n_Q1,weight_Q2,n_Q2,weight_Q3,n_Q3,weight_Q4,n_Q4
ARG,2022,escs,11719,25.002648128089238,2628,25.0020157526863,2733,25.00884189572909,2933,24.986494223495363,3425
ARG,2022,escs_h,11655,25.00372368241612,2586,25.012170222789386,2756,24.99960884854214,2904,24.984497246252356,3409
ARG,2022,homepos,11784,25.00794041524094,2458,24.993040956321813,2952,25.002968482189907,3051,24.996050146247338,3323
ARG,2022,homepos_h,11527,25.016150461462836,2481,24.99009448252241,2784,25.000451804838704,2985,24.993303251176037,3277
ARG,2022,hisei_h,10611,25.02365533485834,2474,24.978690672068375,2484,25.008781095478895,2645,24.98887289759439,3008
ARG,2022,pared_h,11705,25.000110455806173,2713,25.0002239900577,2766,25.020485781647142,3116,24.97917977248899,3110
ARG,2022,books_h,11675,25.004717815113803,2669,25.007941789321073,2911,25.004443397374683,2928,24.982896998190437,3167
ARG,2022,escs_pca,11655,25.0123913798569,2600,24.999126435475308,2755,24.99981923470486,2902,24.988662949962933,3398
ARG,2022,escs_cc,10416,25.001343988750378,2370,25.007609924493106,2401,24.992777211145864,2615,24.99826887561065,3030
ARG,2022,escs_h_cc,10416,25.01435382354813,2340,24.994824286519798,2454,25.000874819820787,2574,24.98994707011129,3048
ARG,2025,escs,9808,25.019557120844077,2098,24.995597409132785,2310,25.010492157411868,2433,24.974353312611274,2967
ARG,2025,escs_h,9728,25.022086373444,2063,24.991701356325265,2296,24.990182391046822,2419,24.996029879183915,2950
ARG,2025,homepos,10409,25.001243733409922,2126,25.009631672091377,2523,25.019377254699922,2847,24.96974733979878,2913
ARG,2025,homepos_h,10204,25.003246795073785,2082,25.01302176408433,2452,24.995661995668538,2736,24.988069445173345,2934
ARG,2025,hisei_h,8380,25.002442941375534,1825,24.999685300548773,2006,24.99949459826299,2118,24.998377159812698,2431
ARG,2025,pared_h,9087,25.00277357599315,2015,25.00899140529546,2145,24.988400562564372,2423,24.999834456147035,2504
