cnt,index,n_systems,countries,status,wave,group,estimate,se,ci_low,ci_high
ARG,escs,1,ARG,both cycles,2022,Q1,344.8112058827247,2.9980480927337188,338.93503162096664,350.6873801444828
ARG,escs,1,ARG,both cycles,2025,Q1,342.32284633804386,3.03753114404319,336.3692852957192,348.27640738036854
ARG,escs,1,ARG,both cycles,2022,Q2,362.50217556307496,2.6026698021935073,357.4009427507757,367.6034083753742
ARG,escs,1,ARG,both cycles,2025,Q2,354.23701215302816,3.2752362047717956,347.8175491916754,360.6564751143809
ARG,escs,1,ARG,both cycles,2022,Q3,384.5663480395166,3.4143497894940253,377.8742224521083,391.25847362692485
ARG,escs,1,ARG,both cycles,2025,Q3,372.074340791864,4.045850150885494,364.14447449612845,380.0042070875996
ARG,escs,1,ARG,both cycles,2022,Q4,419.59139327608364,3.62316079494394,412.48999811799354,426.69278843417374
ARG,escs,1,ARG,both cycles,2025,Q4,421.49999407606094,5.841166422311669,410.0513078883301,432.9486802637918
ARG,escs,1,ARG,both cycles,2022,Q2-Q1,17.690969680350236,3.04077157497665,11.731057393396002,23.65088196730447
ARG,escs,1,ARG,both cycles,2025,Q2-Q1,11.914165814984301,3.218806822751162,5.605304442392024,18.223027187576577
ARG,escs,1,ARG,both cycles,2022,Q3-Q1,39.75514215679186,3.7177707769001658,32.46831143406754,47.04197287951619
ARG,escs,1,ARG,both cycles,2025,Q3-Q1,29.751494453820158,4.198626930431817,21.522185670173798,37.98080323746652
ARG,escs,1,ARG,both cycles,2022,Q4-Q1,74.78018739335891,4.272236011734626,66.40660481035904,83.15376997635879
ARG,escs,1,ARG,both cycles,2025,Q4-Q1,79.17714773801708,6.291233777630714,66.84632953386088,91.50796594217329
ARG,escs,1,ARG,both cycles,2022,Q3-Q2,22.064172476441627,3.299653761026957,15.59685110482879,28.531493848054463
ARG,escs,1,ARG,both cycles,2025,Q3-Q2,17.837328638835857,4.406588622258338,9.200414939209514,26.474242338462197
ARG,escs,1,ARG,both cycles,2022,Q4-Q2,57.08921771300868,3.8028548976112897,49.63562211369055,64.54281331232681
ARG,escs,1,ARG,both cycles,2025,Q4-Q2,67.26298192303278,6.194072523515826,55.12259977694177,79.4033640691238
ARG,escs,1,ARG,both cycles,2022,Q4-Q3,35.02504523656705,3.565305381490018,28.037046688846615,42.01304378428749
ARG,escs,1,ARG,both cycles,2025,Q4-Q3,49.425653284196926,5.402537663931032,38.83667946289211,60.014627105501745
BRA,escs,1,BRA,both cycles,2022,Q1,348.10894502960826,1.7966819977896482,344.58744831394057,351.63044174527596
BRA,escs,1,BRA,both cycles,2025,Q1,341.57667593558637,1.6163952671764155,338.4085412119206,344.74481065925215
BRA,escs,1,BRA,both cycles,2022,Q2,365.0199885644702,2.007004456255008,361.0862598302104,368.95371729873006
BRA,escs,1,BRA,both cycles,2025,Q2,367.19414714120273,1.6551690056438633,363.9500158901408,370.4382783922647
BRA,escs,1,BRA,both cycles,2022,Q3,379.4974949460746,2.756352369942032,374.0950443009882,384.899945591161
BRA,escs,1,BRA,both cycles,2025,Q3,387.8101194453932,2.4374624003103356,383.03269314078494,392.5875457500014
BRA,escs,1,BRA,both cycles,2022,Q4,425.4064475167026,3.886243976407431,417.78940932294404,433.02348571046116
BRA,escs,1,BRA,both cycles,2025,Q4,431.99680582398094,3.8109647994650624,424.52731481702943,439.46629683093244
BRA,escs,1,BRA,both cycles,2022,Q2-Q1,16.91104353486196,2.2747835062956687,12.45246786252245,21.36961920720147
BRA,escs,1,BRA,both cycles,2025,Q2-Q1,25.61747120561637,1.7877134338239729,22.113552875321382,29.121389535911355
BRA,escs,1,BRA,both cycles,2022,Q3-Q1,31.38854991646633,3.033020788994257,25.44382917003759,37.333270662895075
BRA,escs,1,BRA,both cycles,2025,Q3-Q1,46.23344350980682,2.4218917876572346,41.48653560599864,50.980351413615
BRA,escs,1,BRA,both cycles,2022,Q4-Q1,77.29750248709433,4.2550806787276425,68.95754435678816,85.6374606174005
BRA,escs,1,BRA,both cycles,2025,Q4-Q1,90.42012988839457,3.889856104256365,82.7960119240521,98.04424785273704
BRA,escs,1,BRA,both cycles,2022,Q3-Q2,14.477506381604371,3.1410337019455885,8.321080325791018,20.633932437417727
BRA,escs,1,BRA,both cycles,2025,Q3-Q2,20.61597230419045,2.124798098494178,16.45136803114186,24.78057657723904
BRA,escs,1,BRA,both cycles,2022,Q4-Q2,60.386458952232374,4.31994156838064,51.91937347820632,68.85354442625842
BRA,escs,1,BRA,both cycles,2025,Q4-Q2,64.8026586827782,3.785722433395067,57.38264271332387,72.22267465223253
BRA,escs,1,BRA,both cycles,2022,Q4-Q3,45.908952570628,4.2611867711164155,37.557026499239825,54.26087864201618
BRA,escs,1,BRA,both cycles,2025,Q4-Q3,44.18668637858775,3.4884840966198407,37.349257549212865,51.02411520796264
CHL,escs,1,CHL,both cycles,2022,Q1,383.74230080287316,2.4967566571567517,378.84865775484593,388.6359438509004
CHL,escs,1,CHL,both cycles,2025,Q1,377.5920471563294,3.334809668948006,371.0558202051913,384.12827410746746
CHL,escs,1,CHL,both cycles,2022,Q2,403.4320295756664,2.992397979228967,397.5669295363776,409.29712961495517
CHL,escs,1,CHL,both cycles,2025,Q2,392.04530464802474,3.0986577959014814,385.9719353680578,398.11867392799167
CHL,escs,1,CHL,both cycles,2022,Q3,415.17643839549316,3.387339867458523,408.53725225527444,421.8156245357119
CHL,escs,1,CHL,both cycles,2025,Q3,408.3447237308966,3.287988048419083,401.9002671559952,414.78918030579797
CHL,escs,1,CHL,both cycles,2022,Q4,452.85221006260934,3.4815033167737583,446.0284635617328,459.6759565634859
CHL,escs,1,CHL,both cycles,2025,Q4,447.28867092451276,3.386007518513173,440.65209618822695,453.92524566079857
CHL,escs,1,CHL,both cycles,2022,Q2-Q1,19.689728772793217,3.4091074790878317,13.007878113781066,26.371579431805365
CHL,escs,1,CHL,both cycles,2025,Q2-Q1,14.453257491695354,3.6545053635077602,7.290426979220143,21.616088004170564
CHL,escs,1,CHL,both cycles,2022,Q3-Q1,31.434137592620004,3.613944955827175,24.35080547919874,38.51746970604127
CHL,escs,1,CHL,both cycles,2025,Q3-Q1,30.752676574567204,4.132244778569916,22.65347680857017,38.85187634056424
CHL,escs,1,CHL,both cycles,2022,Q4-Q1,69.10990925973618,4.207909104554228,60.862407414809894,77.35741110466248
CHL,escs,1,CHL,both cycles,2025,Q4-Q1,69.69662376818337,4.858481224173249,60.174000568803805,79.21924696756294
CHL,escs,1,CHL,both cycles,2022,Q3-Q2,11.744408819826788,4.043174164776264,3.81978745686531,19.669030182788266
CHL,escs,1,CHL,both cycles,2025,Q3-Q2,16.29941908287185,3.6710525104698006,9.10415616235104,23.49468200339266
CHL,escs,1,CHL,both cycles,2022,Q4-Q2,49.42018048694297,3.7624927930093297,42.04569461264468,56.794666361241255
CHL,escs,1,CHL,both cycles,2025,Q4-Q2,55.24336627648802,4.44442940521016,46.5322846422761,63.95444791069993
CHL,escs,1,CHL,both cycles,2022,Q4-Q3,37.67577166711618,3.633006854157323,30.555078232967826,44.79646510126453
CHL,escs,1,CHL,both cycles,2025,Q4-Q3,38.94394719361617,4.109203092866316,30.889909131598188,46.99798525563415
COL,escs,1,COL,both cycles,2022,Q1,351.657763356477,3.2933821352429393,345.2027343714008,358.1127923415532
COL,escs,1,COL,both cycles,2025,Q1,350.4688905562199,2.270966072340499,346.0177970544325,354.9199840580073
COL,escs,1,COL,both cycles,2022,Q2,369.6691864423028,3.1803545580239327,363.4356915085759,375.9026813760297
COL,escs,1,COL,both cycles,2025,Q2,373.1685363601852,2.6600962230464593,367.95474776301415,378.3823249573563
COL,escs,1,COL,both cycles,2022,Q3,384.2044345673045,4.205956088188024,375.96076063445594,392.448108500153
COL,escs,1,COL,both cycles,2025,Q3,388.05745567716866,4.182040979121831,379.86065535808984,396.2542559962475
COL,escs,1,COL,both cycles,2022,Q4,430.21297769345813,5.880715096952235,418.6867761034317,441.73917928348453
COL,escs,1,COL,both cycles,2025,Q4,428.55562757004145,6.233053842600596,416.33884203854427,440.77241310153863
COL,escs,1,COL,both cycles,2022,Q2-Q1,18.01142308582581,3.747544140238438,10.666236570958471,25.35660960069315
COL,escs,1,COL,both cycles,2025,Q2-Q1,22.699645803965325,3.0559699925932757,16.709944618482503,28.689346989448147
COL,escs,1,COL,both cycles,2022,Q3-Q1,32.54667121082747,4.116040985160009,24.479230879913853,40.61411154174108
COL,escs,1,COL,both cycles,2025,Q3-Q1,37.58856512094877,4.131384128401182,29.491052229282456,45.686078012615084
COL,escs,1,COL,both cycles,2022,Q4-Q1,78.55521433698112,6.4613461633165326,65.89097585688071,91.21945281708153
COL,escs,1,COL,both cycles,2025,Q4-Q1,78.08673701382156,6.6183239249922545,65.11482212083675,91.05865190680638
COL,escs,1,COL,both cycles,2022,Q3-Q2,14.535248125001658,3.3680312022308634,7.933906968629166,21.13658928137415
COL,escs,1,COL,both cycles,2025,Q3-Q2,14.888919316983447,3.8988652990179977,7.247143330908171,22.53069530305872
COL,escs,1,COL,both cycles,2022,Q4-Q2,60.54379125115531,6.007222815592256,48.769634532594495,72.31794796971613
COL,escs,1,COL,both cycles,2025,Q4-Q2,55.38709120985624,6.4722435218589505,42.7014939070127,68.07268851269978
COL,escs,1,COL,both cycles,2022,Q4-Q3,46.008543126153654,5.208671801240683,35.79954639572192,56.21753985658539
COL,escs,1,COL,both cycles,2025,Q4-Q3,40.49817189287279,5.449468943434648,29.81721276374088,51.1791310220047
MEX,escs,1,MEX,both cycles,2022,Q1,369.1964651437033,2.4169888643176534,364.4591669696407,373.93376331776585
MEX,escs,1,MEX,both cycles,2025,Q1,362.65924264442464,2.2550906371235944,358.2392649956624,367.0792202931869
MEX,escs,1,MEX,both cycles,2022,Q2,385.84056690470385,2.5140659335587126,380.91299767492876,390.76813613447894
MEX,escs,1,MEX,both cycles,2025,Q2,381.73170253905545,2.011293324335213,377.78956762335844,385.67383745475246
MEX,escs,1,MEX,both cycles,2022,Q3,397.7417315451392,3.866073332475499,390.16422781348723,405.3192352767912
MEX,escs,1,MEX,both cycles,2025,Q3,392.3017928341875,2.9441704694334048,386.53121871409803,398.07236695427696
MEX,escs,1,MEX,both cycles,2022,Q4,427.6472404806056,4.164314079640668,419.4851848845099,435.8092960767013
MEX,escs,1,MEX,both cycles,2025,Q4,419.82681578657264,3.6672168699218264,412.63907072152585,427.0145608516194
MEX,escs,1,MEX,both cycles,2022,Q2-Q1,16.64410176100057,2.8240172240254946,11.109028001910602,22.17917552009054
MEX,escs,1,MEX,both cycles,2025,Q2-Q1,19.07245989463081,2.529580395838868,14.114482318786628,24.030437470474993
MEX,escs,1,MEX,both cycles,2022,Q3-Q1,28.545266401435924,4.0017089304912945,20.701916897672987,36.38861590519886
