cnt,index,n_systems,countries,status,Q1_2022,Q1_2025,Q1_change,Q1_se,Q2_2022,Q2_2025,Q2_change,Q2_se,Q3_2022,Q3_2025,Q3_change,Q3_se,Q4_2022,Q4_2025,Q4_change,Q4_se,Q2-Q1_2022,Q2-Q1_2025,Q2-Q1_change,Q2-Q1_se,Q3-Q1_2022,Q3-Q1_2025,Q3-Q1_change,Q3-Q1_se,Q4-Q1_2022,Q4-Q1_2025,Q4-Q1_change,Q4-Q1_se,Q3-Q2_2022,Q3-Q2_2025,Q3-Q2_change,Q3-Q2_se,Q4-Q2_2022,Q4-Q2_2025,Q4-Q2_change,Q4-Q2_se,Q4-Q3_2022,Q4-Q3_2025,Q4-Q3_change,Q4-Q3_se
ARG,escs,1,ARG,both cycles,344.8112058827247,342.32284633804386,-2.4883595446808613,4.438838566266701,362.50217556307496,354.23701215302816,-8.265163410046796,4.357690018381063,384.5663480395166,372.074340791864,-12.492007247652566,5.432779024443942,419.59139327608364,421.49999407606094,1.9086007999773074,6.981039988365637,17.690969680350236,11.914165814984301,-5.776803865365935,4.427980254402159,39.75514215679186,29.751494453820158,-10.003647702971705,5.60805560337272,74.78018739335891,79.17714773801708,4.396960344658169,7.604710578632418,22.064172476441627,17.837328638835857,-4.22684383760577,5.505064779680252,57.08921771300868,67.26298192303278,10.173764210024103,7.268303777282557,35.02504523656705,49.425653284196926,14.400608047629873,6.4729294506795805
BRA,escs,1,BRA,both cycles,348.10894502960826,341.57667593558637,-6.532269094021899,2.7072495010493065,365.0199885644702,367.19414714120273,2.174158576732509,2.8733345305883815,379.4974949460746,387.8101194453932,8.312624499318588,3.8764805352551015,425.4064475167026,431.99680582398094,6.590358307278336,5.578059245555288,16.91104353486196,25.61747120561637,8.706427670754408,2.893191891663862,31.38854991646633,46.23344350980682,14.844893593340487,3.88133674622454,77.29750248709433,90.42012988839457,13.122627401300235,5.765127240079077,14.477506381604371,20.61597230419045,6.138465922586079,3.7922103944958647,60.386458952232374,64.8026586827782,4.416199730545827,5.744004656764621,45.908952570628,44.18668637858775,-1.7222661920402516,5.507016795934718
CHL,escs,1,CHL,both cycles,383.74230080287316,377.5920471563294,-6.150253646543774,4.340869651713313,403.4320295756664,392.04530464802474,-11.386724927641637,4.477111323408726,415.17643839549316,408.3447237308966,-6.831714664596575,4.875790888073508,452.85221006260934,447.28867092451276,-5.563539138096587,5.007425711893728,19.689728772793217,14.453257491695354,-5.236471281097863,4.997741815648301,31.434137592620004,30.752676574567204,-0.6814610180528007,5.489630684642367,69.10990925973618,69.69662376818337,0.5867145084471872,6.4273897375088715,11.744408819826788,16.29941908287185,4.555010263045062,5.4611247798728115,49.42018048694297,55.24336627648802,5.82318578954505,5.8231696485113575,37.67577166711618,38.94394719361617,1.2681755264999879,5.484914663034986
COL,escs,1,COL,both cycles,351.657763356477,350.4688905562199,-1.1888728002571156,4.18235015158451,369.6691864423028,373.1685363601852,3.499349917882398,4.321940192854321,384.2044345673045,388.05745567716866,3.853021109864187,6.055405301614433,430.21297769345813,428.55562757004145,-1.657350123416677,8.655759369129896,18.01142308582581,22.699645803965325,4.688222718139514,4.835601273747248,32.54667121082747,37.58856512094877,5.041893910121303,5.831820316841232,78.55521433698112,78.08673701382156,-0.46847732315956137,9.249389483545936,14.535248125001658,14.888919316983447,0.353671191981789,5.152163118447181,60.54379125115531,55.38709120985624,-5.156700041299075,8.830439522606861,46.008543126153654,40.49817189287279,-5.510371233280864,7.538366779249906
MEX,escs,1,MEX,both cycles,369.1964651437033,362.65924264442464,-6.537222499278641,3.5235875115963897,385.84056690470385,381.73170253905545,-4.108864365648401,3.442997001856934,397.7417315451392,392.3017928341875,-5.439938710951708,5.0102956764208955,427.6472404806056,419.82681578657264,-7.820424694032965,5.681407512662046,16.64410176100057,19.07245989463081,2.4283581336302404,3.791286095852565,28.545266401435924,29.642550189762858,1.0972837883269335,5.074661348770161,58.450775336902325,57.167573142148,-1.283202194754324,5.950169576735552,11.901164640435354,10.570090295132047,-1.331074345303307,4.781251024722575,41.806673575901755,38.09511324751719,-3.7115603283845644,5.771957191309449,29.9055089354664,27.525022952385143,-2.3804859830812575,5.804502422314496
PER,escs,1,PER,both cycles,350.70324501936733,350.42002612919975,-0.28321889016757495,3.7536496696745094,378.63468386522163,372.39780324849994,-6.236880616721692,4.8878329849253355,400.2165732922587,392.37846779751794,-7.838105494740773,5.064482852060513,436.69382801242864,424.89792190456757,-11.795906107861072,6.283487595317256,27.931438845854302,21.977777119300185,-5.953661726554117,4.699872223811673,49.513328272891385,41.95844166831819,-7.554886604573198,5.415522734213441,85.99058299306131,74.47789577536781,-11.512687217693497,6.662850253882559,21.581889427037083,19.980664549018,-1.6012248780190816,4.839557356847512,58.05914414720701,52.50011865606763,-5.55902549113938,6.788411683717459,36.477254720169924,32.519454107049626,-3.9578006131202983,6.365957756611199
URY,escs,1,URY,both cycles,371.2191068071087,368.9377982348966,-2.281308572212083,4.357311002043767,393.80990438618784,390.39844150786683,-3.4114628783210037,4.03728200959821,411.52990541377073,411.9536827057697,0.42377729199898795,4.5740301050375605,461.843520652788,462.36023535745136,0.5167147046633431,5.195716301249558,22.59079757907915,21.46064327297023,-1.1301543061089205,4.893295450251816,40.31079860666205,43.01588447087312,2.705085864211071,5.055752066873561,90.62441384567933,93.42243712255475,2.7980232768754263,6.19053878618582,17.720001027582896,21.555241197902888,3.8352401703199916,4.883201145294449,68.03361626660018,71.96179384958452,3.928177582984347,6.113248983957204,50.31361523901728,50.406552651681636,0.09293741266435518,5.887077993243385
LATAM7,escs,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,359.91986172026606,356.28250385638574,-3.637357863880311,1.8701315230676234,379.8440764716611,375.8818496568375,-3.962226814823566,1.9194322721550208,396.13327517136537,393.27436899754247,-2.858906173822902,2.209303427694254,436.32108824209655,433.7751530633126,-2.5459351787839637,2.638471350685454,19.924214751395027,19.599345800451772,-0.3248689509432552,1.6705432388721249,36.21341345109931,36.99186514115672,0.778451690057409,1.975884917231393,76.4012265218305,77.49264920692684,1.0914226850963473,2.618816221494108,16.289198699704286,17.39251934070495,1.1033206410006642,1.869096675642854,56.47701177043547,57.89330340647507,1.4162916360396025,2.53335960030875,40.18781307073118,40.50078406577012,0.3129709950389383,2.3387274843279697
ARG,escs_h,1,ARG,both cycles,346.2719134728594,341.7781407560327,-4.493772716826697,4.293177656193984,364.1880093842625,357.6900455735912,-6.497963810671308,4.558256548244004,385.47362616751946,372.5411879205438,-12.932438246975664,4.91126410342912,418.7047985023649,423.3402932968194,4.63549479445453,6.6060187562854615,17.91609591140309,15.91190481755848,-2.004191093844611,4.386778630122461,39.201712694660046,30.76304716451108,-8.438665530148967,5.393612605264722,72.43288502950548,81.56215254078671,9.129267511281228,7.371567497676196,21.285616783256955,14.8511423469526,-6.434474436304356,4.480889618553065,54.516789118102395,65.65024772322823,11.133458605125838,6.522785186030062,33.23117233484544,50.799105376275634,17.567933041430194,5.949948925823129
BRA,escs_h,1,BRA,both cycles,349.4920721108244,341.5842420284615,-7.907830082362864,2.7893493538587246,365.59927274589086,367.7314178288915,2.132145083000637,3.0532922885723224,382.66271162866036,389.4387201774638,6.776008548803418,3.4775867827546785,424.7821210297695,432.7537319882983,7.9716109585287995,5.650812581890139,16.107200635066476,26.147175800429977,10.0399751653635,3.121694432718844,33.17063951783598,47.85447814900226,14.683838631166282,3.671402720636509,75.2900489189451,91.16948995983677,15.879441040891663,5.9129052685413805,17.063438882769503,21.707302348572284,4.643863465802781,3.4435504880500543,59.18284828387863,65.02231415940679,5.8394658755281625,5.744913864476165,42.119409401109124,43.315011810834505,1.1956024097253817,5.420771605311673
CHL,escs_h,1,CHL,both cycles,385.65380885239324,376.3055545894877,-9.348254262905527,4.289972071050151,402.82415452248796,390.74456200913767,-12.079592513350292,4.282971158949701,416.58350685453604,409.8292149752589,-6.754291879277162,4.371348467824854,450.39120790258966,449.6273784493128,-0.7638294532768555,5.268556805645341,17.17034567009472,14.439007419649954,-2.7313382504447645,4.623347342895799,30.9296980021428,33.523660385771166,2.593962383628366,5.179619757056211,64.73739905019642,73.32182385982509,8.584424809628672,6.584629316778962,13.759352332048081,19.08465296612121,5.32530063407313,4.533302626622902,47.5670533801017,58.882816440175134,11.315763060073436,5.468114252171776,33.807701048053616,39.79816347405392,5.990462426000306,5.64101538293143
COL,escs_h,1,COL,both cycles,352.1637078302236,350.3476075704566,-1.8161002597669835,3.9512181354217746,369.8161860001053,371.78831955696495,1.97213355685966,4.820835313075863,387.36112243268565,389.75446113263973,2.3933386999540858,5.5043118630726005,427.3790241365356,429.5875811844245,2.2085570478889167,9.199595784566462,17.652478169881704,21.440711986508347,3.7882338166266436,5.152174200759854,35.19741460246206,39.40685356218313,4.209438959721069,5.686373287221558,75.21531630631199,79.23997361396789,4.0246573076559,9.78001742219118,17.544936432580357,17.966141575674783,0.4212051430944257,4.732300549810944,57.56283813643029,57.79926162745954,0.23642349102925664,9.21398499244159,40.01790170384993,39.83312005178476,-0.18478165206516906,8.21111729509847
MEX,escs_h,1,MEX,both cycles,369.9393464844985,362.1674936900812,-7.7718527944173275,3.5097776454315537,386.1593562097853,380.7368378049795,-5.422518404805828,3.6796712640356417,398.2410934710623,393.7770093929972,-4.464084078065127,4.825288727477456,426.62744330815167,420.54056262381374,-6.0868806843379275,5.468801152410202,16.220009725286786,18.569344114898286,2.3493343896114993,4.06158420051442,28.301746986563785,31.609515702915985,3.3077687163522,5.026057973065826,56.688096823653154,58.373068933732554,1.6849721100794,5.958319841930492,12.081737261276999,13.0401715880177,0.9584343267407007,4.568925564501726,40.46808709836637,39.80372481883427,-0.6643622795320994,5.37531874456241,28.38634983708937,26.76355323081657,-1.6227966062728,5.436420877667246
PER,escs_h,1,PER,both cycles,352.3167643966241,350.43151991021847,-1.885244486405611,3.7064372632245792,376.7168214360721,371.0710491121166,-5.645772323955498,4.816053132652566,401.3507345959394,393.25912880034383,-8.09160579559557,5.212611498741597,436.3349999948101,426.88529768934575,-9.44970230546437,5.870025320953622,24.40005703944803,20.639529201898142,-3.760527837549887,4.376400808095768,49.03397019931532,42.82760889012536,-6.206361309189958,5.412854985072656,84.01823559818604,76.45377777912728,-7.5644578190587595,6.387461858294974,24.63391315986729,22.18807968822722,-2.4458334716400714,4.692237672799042,59.61817855873801,55.81424857722914,-3.8039299815088725,6.3049319414837965,34.98426539887072,33.62616888900192,-1.3580965098688011,6.143317390047429
URY,escs_h,1,URY,both cycles,372.52992978468683,367.3113502067439,-5.218579577942933,4.0660448996048295,392.7349309722378,392.7935944695287,0.05866349729092235,4.510734496112876,414.6681647163012,411.70880408494395,-2.9593606313572423,4.340250720479137,460.9317544342142,463.93810186783213,3.0063474336179183,5.41837355411292,20.205001187550977,25.482244262784832,5.277243075233855,5.149737134450034,42.13823493161436,44.397453878200054,2.2592189465856904,4.752808804237964,88.40182464952738,96.62675166108824,8.224927011560851,6.24777719958485,21.933233744063386,18.915209615415222,-3.0180241286481646,5.025239007371911,68.19682346197641,71.1445073983034,2.947683936326996,6.277827117791416,46.26358971791302,52.22929778288818,5.965708064975161,6.161449384274406
LATAM7,escs_h,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,361.19536327601566,355.70370125021174,-5.491662025803919,1.8368649354421336,379.7198187529774,376.07940376503,-3.640414987947395,1.975763689629104,398.04870855238636,394.3297894977416,-3.7189190546447435,2.1064796423363275,435.02162132977656,435.2389924428353,0.21737111305873213,2.650367611556194,18.524455476961748,20.375702514818272,1.851247037856524,1.6847344933065518,36.8533452763707,38.62608824752988,1.7727429711591753,1.9106735975895721,73.82625805376091,79.53529119262356,5.709033138862651,2.6482358562684034,18.328889799408955,18.250385732711607,-0.07850406669734866,1.7084849190288254,55.30180257679916,59.15958867780529,3.857786101006127,2.4677755269628037,36.972912777390206,40.90920294509368,3.9362901677034756,2.3442880553229464
ARG,homepos,1,ARG,both cycles,338.7818480512122,337.8517730990177,-0.9300749521945022,4.449969928284902,367.1932396149292,355.88316870702533,-11.310070907903878,4.5263238605939895,390.21397266835044,377.09964295241855,-13.114329715931888,4.686898406044465,414.3519549979313,405.02563888189553,-9.326316116035741,6.553403544122092,28.411391563717018,18.031395608007642,-10.379995955709376,4.281533030951662,51.43212461713824,39.24786985340086,-12.184254763737385,5.2099786742422705,75.57010694671908,67.17386578287784,-8.396241163841239,7.064042749276201,23.020733053421225,21.216474245393215,-1.8042588080280098,4.445241026618452,47.15871538300206,49.1424701748702,1.9837547918681366,6.681725874694028,24.137982329580836,27.925995929476983,3.7880135998961464,5.754307407535652
BRA,homepos,1,BRA,both cycles,341.7167759405264,343.4995455111046,1.782769570578182,2.7492733292859155,361.19966786747045,359.86946190445985,-1.3302059630105987,2.899373468902686,385.83945422885483,386.3058156126557,0.4663613838008587,3.834543525586485,427.2814146180591,422.86284073982534,-4.418573878233758,5.02837108386903,19.482891926944035,16.369916393355254,-3.1129755335887808,2.885518725260467,44.122678288328416,42.80627010155109,-1.3164081867773234,3.8843185221709757,85.56463867753268,79.36329522872074,-6.20134344881194,5.264091802698651,24.63978636138438,26.43635370819584,1.7965673468114574,3.368130087980881,66.08174675058865,62.99337883536549,-3.0883679152231593,4.990083357108438,41.44196038920427,36.55702512716965,-4.884935262034617,4.7905478679550555
CHL,homepos,1,CHL,both cycles,378.34203966360235,380.638444230853,2.2964045672506472,4.10402910605495,404.04455492773525,396.49255140035416,-7.552003527381089,4.54205724896753,421.03888494988206,407.5954674959838,-13.443417453898235,4.7981489286285335,449.656870528859,431.88276126951797,-17.774109259341003,5.062347720693405,25.7025152641329,15.854107169501162,-9.848408094631736,4.7997993116627065,42.69684528627971,26.95702326513083,-15.739822021148882,5.339935421682049,71.31483086525662,51.244317038664974,-20.07051382659165,5.9384519633691255,16.994330022146812,11.102916095629666,-5.891413926517146,5.435661765888324,45.612315601123726,35.39020986916381,-10.222105731959914,5.5538957343581155,28.617985578976914,24.287293773534145,-4.330691805442768,5.531459226857753
COL,homepos,1,COL,both cycles,345.054323691981,348.11236911872385,3.058045426742865,4.072110989573608,366.4046636703896,368.14295221569745,1.738288545307853,4.981764864133293,391.7630618812412,390.7331957846096,-1.0298660966315651,6.1580606164244225,431.6554415291657,422.81803331041317,-8.837408218752557,7.327382321442074,21.350339978408613,20.0305830969736,-1.319756881435012,4.824543967039035,46.7087381892602,42.62082666588577,-4.08791152337443,6.450742970628053,86.60111783718474,74.70566419168932,-11.895453645495422,8.216373432980857,25.35839821085159,22.59024356891217,-2.768154641939418,4.725299646779184,65.25077785877613,54.67508109471572,-10.57569676406041,7.048713605904606,39.89237964792454,32.08483752580355,-7.807542122120992,6.429794074233008
MEX,homepos,1,MEX,both cycles,362.52430085757976,364.69867732152625,2.174376463946487,3.71655549867374,387.76300875217964,381.311939081608,-6.4510696705716555,3.943701130376387,402.6170938764157,395.57203481591444,-7.0450590605012735,4.0376158231714525,427.6414080368178,409.8835785529592,-17.757829483858586,5.689052081229569,25.238707894599884,16.61326176008174,-8.625446134518143,4.158541350629798,40.09279301883595,30.873357494388188,-9.21943552444776,4.443083426092349,65.11710717923802,45.184901231432946,-19.932205947805073,6.279646131728561,14.854085124236065,14.260095734306447,-0.593989389929618,4.0947034717614645,39.878399284638135,28.571639471351205,-11.30675981328693,5.484132113114647,25.02431416040207,14.311543737044758,-10.712770423357313,5.209630726866944
PER,homepos,1,PER,both cycles,353.6244612467249,350.8882151841791,-2.7362460625457743,3.9844428527388436,374.0999452847544,370.9995860641637,-3.1003592205907466,4.964524251598329,405.01437625782,394.3693245967284,-10.6450516610916,5.435031171316007,433.2526284322615,415.4734193308324,-17.779209101429046,5.642172097962734,20.47548403802955,20.111370879984577,-0.36411315804497235,4.761698584819521,51.38991501109513,43.4811094125493,-7.908805598545825,5.794480266477186,79.6281671855366,64.58520414665333,-15.042963038883272,6.273681033814584,30.914430973065578,23.369738532564725,-7.544692440500853,5.029880071612506,59.15268314750705,44.47383326666875,-14.6788498808383,6.418449082864147,28.23825217444147,21.104094734104024,-7.134157440337447,6.167833868861435
URY,homepos,1,URY,both cycles,362.1229857946552,376.4059278050432,14.282942010387956,4.520153596247494,397.63252364718227,394.1926342276094,-3.4398894195728644,3.993094542362882,419.40397603248914,412.57993766869686,-6.824038363792283,4.458184937083288,456.4832584548323,440.4028492658641,-16.08040918896819,5.05807894092331,35.509537852527046,17.786706422566226,-17.72283142996082,4.88221420283337,57.28099023783392,36.17400986365368,-21.10698037418024,5.117308512123467,94.36027266017709,63.99692146082094,-30.363351199356146,6.246076769578324,21.771452385306873,18.387303441087454,-3.384148944219419,4.897342099259152,58.85073480765004,46.21021503825472,-12.640519769395326,5.7667742731964395,37.07928242234317,27.822911597167263,-9.256370825175907,5.618953663731538
