construction,Q1_change,Q4_change,gap_change,se,coverage
"1. OECD rule: equal-weighted mean, regression imputation (the paper's composite)",-7.674142933451549,-6.087225021414952,1.586917912036526,1.2033819807243669,94.02197162998247
"2. OECD rule, mean of the available components",-8.007490486043537,-5.826406827169308,2.181083658874158,1.2228147244574512,94.02197162998247
"3. OECD rule, complete cases only",-3.4315230654225957,-3.2691413043655757,0.16238176105703417,1.3360723442454863,82.82259523604199
"4. OECD rule, imputation without the random residual",-7.724657936125823,-5.815620024871123,1.9090379112546714,1.2023952138443714,94.02197162998247
"5. OECD rule, metric re-anchored in each cycle",-7.849502818360293,-5.916936209952041,1.9325666084084503,1.2358741997856695,94.02197162998247
"6. First principal component, pooled standardization",-7.362900518181334,-4.800047934105351,2.5628525840759266,1.18582658951299,94.02197162998247
"7. Per-cycle standardization, per-cycle principal component",-6.8985874718655396,-4.562002741900301,2.3365847299652245,1.2083659322593128,94.02197162998247
"8. Pooled standardization, per-cycle principal component",-7.113249403042005,-4.685422166786793,2.4278272362550695,1.185458574550447,94.02197162998247
9. 2022 principal-component weights in both cycles,-7.301757920877549,-4.870581900911475,2.431176019966017,1.192031232192038,94.02197162998247
10. 2025 principal-component weights in both cycles,-7.428669347758387,-4.763809863992833,2.6648594837653548,1.1884129462394017,94.02197162998247
