construction,Q1_change,Q4_change,gap_change,se,coverage
"1. OECD rule: equal-weighted mean, regression imputation (the paper's composite)",-9.535337831589175,-11.705855224795869,-2.17051739320668,1.2430966743169556,94.02197162998247
"2. OECD rule, mean of the available components",-9.899536192284529,-11.586792175230016,-1.6872559829454588,1.2658758715397336,94.02197162998247
"3. OECD rule, complete cases only",-4.539976186875265,-8.297211859398999,-3.75723567252372,1.4015951908554327,82.82259523604199
"4. OECD rule, imputation without the random residual",-9.510648338940257,-11.482542708956203,-1.9718943700159883,1.2579750848957303,94.02197162998247
"5. OECD rule, metric re-anchored in each cycle",-9.710141403932539,-11.57165385230536,-1.861512448372764,1.2738976008729619,94.02197162998247
"6. First principal component, pooled standardization",-9.00100014893934,-10.2512408413902,-1.2502406924508733,1.2373914900655902,94.02197162998247
"7. Per-cycle standardization, per-cycle principal component",-8.572373660844733,-9.80990073468854,-1.2375270738438644,1.2376367936206056,94.02197162998247
"8. Pooled standardization, per-cycle principal component",-8.769237889460157,-10.067742693821742,-1.2985048043613574,1.2356681521571733,94.02197162998247
9. 2022 principal-component weights in both cycles,-9.019610646912156,-10.295232017025455,-1.275621370113214,1.2517504098824486,94.02197162998247
10. 2025 principal-component weights in both cycles,-9.021306334158282,-10.17445302302599,-1.1531466888675084,1.2243485355834296,94.02197162998247
