construction,Q1_change,Q4_change,gap_change,se,coverage
"1. OECD rule: equal-weighted mean, regression imputation (the paper's composite)",-0.5604374441520008,1.4037033472754956,1.9641407914274538,1.2534508318411766,94.02197162998247
"2. OECD rule, mean of the available components",-0.9207218843137639,1.6169414727421554,2.5376633570558056,1.2574367577569427,94.02197162998247
"3. OECD rule, complete cases only",4.535357579270851,4.853983330108008,0.31862575083719946,1.3585375020546142,82.82259523604199
"4. OECD rule, imputation without the random residual",-0.6141709352615976,1.8316388388807354,2.445809774142333,1.2619204533591104,94.02197162998247
"5. OECD rule, metric re-anchored in each cycle",-0.8345943531499529,1.6934681552858137,2.528062508435937,1.2902570695150952,94.02197162998247
"6. First principal component, pooled standardization",-0.16374400181365445,2.965446136684932,3.1291901384986716,1.2389650201237317,94.02197162998247
"7. Per-cycle standardization, per-cycle principal component",0.30704463793250625,3.344522932855739,3.0374782949233747,1.257936531161456,94.02197162998247
"8. Pooled standardization, per-cycle principal component",0.09060993647750593,3.0879819069654104,2.9973719704878476,1.2415121137116503,94.02197162998247
9. 2022 principal-component weights in both cycles,-0.13116169984624548,2.9089697377941093,3.040131437640383,1.2548820793463709,94.02197162998247
10. 2025 principal-component weights in both cycles,-0.24652398672100162,2.9842834161049723,3.230807402825917,1.2468592034747639,94.02197162998247
