index,decile,n_systems,mean_2022,mean_2025,change,se
escs,1,36,415.8880214516595,415.2219479512193,-0.6660735004401772,1.6467723766185522
escs,2,36,439.9275044174018,435.02592680082,-4.90157761658179,1.6704240925050893
escs,3,36,447.824603807525,445.0091018983861,-2.815501909138902,1.7217577152747976
escs,4,36,459.190691178042,454.49778542420484,-4.692905753837181,1.7308752211570015
escs,5,36,469.70600837744615,466.15568802147345,-3.5503203559727012,1.7622507711171185
escs,6,36,478.7225726896867,476.78536655191226,-1.9372061377744103,1.63031705325605
escs,7,36,490.4825150092994,487.4350717076826,-3.047443301616795,1.707671174708867
escs,8,36,504.42528187610213,501.6450086028467,-2.780273273255432,1.776060119583959
escs,9,36,521.7278192918718,511.4048645884689,-10.3229547034029,1.8450119162794822
escs,10,36,536.9306608486552,513.4926387202811,-23.438022128374087,1.8404923104622732
escs,D10-D1,36,121.04263939699563,98.2706907690617,-22.771948627933924,1.7066883327729474
escs_h,1,36,420.5561391176134,413.8243873152675,-6.7317518023459115,1.6459601036439266
escs_h,2,36,442.5935222077548,433.84449549533264,-8.749026712422165,1.6546285489399974
escs_h,3,36,450.90752806975706,444.57874041674614,-6.32878765301092,1.63240977937743
escs_h,4,36,460.2191755406126,454.41662760956433,-5.802547931048252,1.7747676205600404
escs_h,5,36,470.30683029700504,465.65804295191646,-4.648787345088579,1.751982067150735
escs_h,6,36,480.81863638188463,476.41067515571433,-4.4079612261703005,1.6663147773117357
escs_h,7,36,491.6165007238027,487.8969021992178,-3.71959852458491,1.8207878705224043
escs_h,8,36,504.9114646554264,502.23395664190514,-2.677508013521276,1.6741880046231743
escs_h,9,36,518.9320354721976,512.6177881568085,-6.314247315389139,1.8370582260748132
escs_h,10,36,526.4545516310358,518.0319760790951,-8.422575551940668,1.8694038545857057
escs_h,D10-D1,36,105.89841251342241,104.2075887638276,-1.6908237495948129,1.8040405284789571
escs_pca,1,36,424.09477880932593,418.3927505585331,-5.702028250792807,1.6176892144969934
escs_pca,2,36,442.660507462204,433.6140643022806,-9.046443159923399,1.611365065884746
escs_pca,3,36,449.1667981138297,442.7414211364897,-6.425376977340022,1.7199591421900562
escs_pca,4,36,459.1816127165124,452.76312988576063,-6.4184828307517705,1.704265923076703
escs_pca,5,36,469.0365342757653,463.2505507886437,-5.785983487121598,1.8100852807101537
escs_pca,6,36,478.9989733072504,473.3491310117339,-5.649842295516521,1.7066562526820979
escs_pca,7,36,489.84861192435756,485.42267760001914,-4.425934324338414,1.799747502829313
escs_pca,8,36,504.4666404050722,501.6584616860622,-2.808178719010016,1.7290646469809536
escs_pca,9,36,519.7328222471391,514.6303416835575,-5.102480563581594,1.889171730073411
escs_pca,10,36,530.1295748935742,523.6943190485897,-6.435255844984454,1.8160265661976753
escs_pca,D10-D1,36,106.03479608424827,105.30156849005661,-0.7332275941916606,1.7058653483880817
homepos,1,36,405.70956146146966,415.83568389759887,10.126122436129208,1.6745569081081306
homepos,2,36,435.5168678204785,441.94097017180775,6.424102351329225,1.6841627509038253
homepos,3,36,451.54752448670234,453.45744035495966,1.9099158682573147,1.7621976033794096
homepos,4,36,464.59245564436833,463.72471012702647,-0.8677455173418593,1.738162652926357
homepos,5,36,475.0888013032929,470.24625244954797,-4.8425488537449155,1.7719344174788414
homepos,6,36,484.7242420748459,476.6997944013964,-8.024447673449515,1.726236203304787
homepos,7,36,495.6234594660492,481.78456538578246,-13.838894080266755,1.721866058879953
homepos,8,36,505.5410021086551,486.2494151085922,-19.29158700006292,1.7401754311255058
homepos,9,36,515.2117357830147,491.0405774553786,-24.17115832763608,1.739099221578817
homepos,10,36,521.9817123858159,486.7768350759987,-35.204877309817164,1.786421651568441
homepos,D10-D1,36,116.27215092434615,70.94115117839983,-45.330999745946315,1.642718650591197
homepos_h,1,36,417.0114651657906,410.31918524637456,-6.692279919416023,1.6900527447770117
homepos_h,2,36,445.4266263809169,439.35332297083585,-6.073303410081053,1.630391230677791
homepos_h,3,36,459.6289685473941,453.0270126935019,-6.601955853892207,1.8404933812053328
homepos_h,4,36,470.12445673284776,460.6973774068789,-9.427079325968862,1.7009340432708844
homepos_h,5,36,478.8006563486977,471.16854509660755,-7.632111252090169,1.6818561009216626
homepos_h,6,36,486.20707333368546,477.0693757519683,-9.137697581717134,1.855913795492417
homepos_h,7,36,493.51684712213864,483.57955140258,-9.93729571955862,1.7795595864887341
homepos_h,8,36,498.48618552893277,490.1300447037198,-8.356140825212947,1.6892989776774028
homepos_h,9,36,505.19006607627614,495.35853090258763,-9.831535173688508,1.6615843659831662
homepos_h,10,36,507.1755623356489,493.802450753,-13.373111582648903,1.8414520894562363
homepos_h,D10-D1,36,90.16409716985825,83.48326550662543,-6.680831663232823,1.6652051919674626
