cnt,wave,index,n,weight_Q1,n_Q1,weight_Q2,n_Q2,weight_Q3,n_Q3,weight_Q4,n_Q4
AUS,2022,escs,12971,25.00774803237195,3181,24.99417623078843,3202,24.99941146969423,3236,24.998664267145394,3352
AUS,2022,escs_h,12962,25.004807578976283,3199,24.997385879175454,3222,25.005153580012728,3193,24.992652961835525,3348
AUS,2022,escs_pca,12962,25.01021941046445,3191,24.997514039410536,3215,24.997719272112796,3213,24.994547278012213,3343
AUS,2022,hisei_h,12272,25.00805729926418,2942,25.001890153163597,3058,25.001603812159097,3104,24.988448735413137,3168
AUS,2022,pared_h,12921,25.000126275754468,3232,25.009611383511622,3217,24.991775042600825,3224,24.99848729813309,3248
AUS,2022,homepos,13077,25.017050497614115,3217,24.99206067936943,3217,25.001615534039857,3301,24.989273288976595,3342
AUS,2022,homepos_h,13052,25.00323097872069,3286,25.004518773115574,3189,24.99931656105833,3328,24.992933687105413,3249
AUS,2022,books_h,13046,25.008724195164756,3185,24.99540431784465,3189,24.996951214637548,3257,24.998920272353054,3415
AUS,2022,escs_cc,12207,25.00389484257205,3009,24.99976582681997,3005,24.997693231949146,3036,24.998646098658824,3157
AUS,2022,escs_h_cc,12207,25.000635769148982,3017,25.000153575081413,3032,24.99993975220016,3005,24.999270903569442,3153
AUS,2025,escs,13976,25.008937041185085,3525,24.99378573311473,3480,24.998251957449362,3544,24.99902526825082,3427
AUS,2025,escs_h,13971,25.00947653503988,3540,24.99146072425526,3479,25.007514189205487,3515,24.991548551499378,3437
AUS,2025,escs_pca,13971,25.011820189518485,3538,25.00075471380167,3481,24.989577562388295,3513,24.997847534291548,3439
AUS,2025,hisei_h,13119,25.005000859418963,3272,25.002321182137432,3286,25.002708399789103,3279,24.989969558654497,3282
AUS,2025,pared_h,13322,25.002807371414406,3397,25.00203760047977,3283,24.99792772345671,3330,24.997227304649098,3312
AUS,2025,homepos,14319,25.00266043087177,3666,25.00478550349476,3600,24.99698064610301,3545,24.99557341953045,3508
AUS,2025,homepos_h,14284,25.002765404034673,3638,24.999798224874144,3592,24.99946394393321,3533,24.997972427157965,3521
