cnt,mean_score_2022,mean_escs_2022,log_gdp_pc,published,harmonized,mismatch
AUS,498.0509397766056,0.379366600098662,11.002585272014857,-20.614027300880466,-2.289563322720852,-18.324463978159613
AUT,480.40584722266067,0.06906735838519017,11.09276986530205,-30.430254265052582,-14.25836435878938,-16.171889906263203
BEL,478.8526682782358,0.08287633453443578,11.044567313933994,-31.25562771245764,-16.68985026974491,-14.56577744271273
CAN,507.13289582267686,0.3811020834349589,10.978202049920776,-17.437191006400717,-3.8367894516631793,-13.600401554737537
CHE,483.3317339558567,0.16916674411868815,11.359334595789768,-37.74073503341151,-19.64074746528441,-18.0999875681271
CHL,447.97895739670247,-0.5086492927143373,10.294192644924529,-4.444536957849294,8.129823891885309,-12.574360849734603
COL,408.6650263433265,-1.0651248666066762,9.823292217794487,-12.92570146323581,-5.630032396798001,-7.29566906643781
CZE,488.6036684603712,-0.10408606887443415,10.787062133566062,-30.54458710883192,-14.664591063101128,-15.879996045730792
DEU,479.7940247545736,-0.1369900180181201,11.063162470656692,2.31344876344906,15.23836321865464,-12.924914455205581
DNK,488.80099070123543,0.47607773941944276,11.143157599433199,-15.469567158317927,3.577773124989143,-19.047340283307072
ESP,474.30711242382256,-0.033199497264932515,10.752216124211673,-17.988741687927572,-2.9615054425141523,-15.02723624541342
EST,511.0303316439279,0.1507251881096396,10.671849334732508,-4.38360522720555,7.424400538552149,-11.808005765757699
FIN,490.21768481353615,0.2584828367937594,10.95200417407316,-16.38467713613329,3.225522398565971,-19.610199534699262
FRA,473.85215803119905,0.00018539079304115026,10.890680521722919,-23.15380562325994,-8.339326366066416,-14.814479257193526
GBR,494.40462600859075,0.13638065860924,10.896364587037436,-18.001652824858326,-5.029839713595848,-12.971813111262477
GRC,438.4406252253503,-0.154869593520961,10.486489892568931,-9.84114435937336,0.5731173081238552,-10.414261667497215
HUN,472.9747259373596,0.0029782271706394908,10.611793534130534,-34.875301554051205,-23.63121193078304,-11.244089623268167
IRL,516.0099753082625,0.3329791371384958,11.720000416950425,-5.024751906320702,3.967444660924201,-8.992196567244903
ISL,435.922994554554,0.3781051237992792,11.106178197949012,-18.484924548497062,2.067120094665285,-20.552044643162347
ISR,473.8326982093544,0.27995699607366575,10.78171007225928,-53.27331537319272,-27.80645124374485,-25.466864129447874
ITA,481.5982778298936,-0.10021047625315674,10.86538868280361,-0.571796525655401,9.91630204011662,-10.48809856577202
JPN,515.8546137502589,-0.006825021709761774,10.754052084685293,-8.399709288268568,11.811679130929932,-20.2113884191985
KOR,515.4153921009976,0.22438568549861265,10.88235119184817,-20.947930896310297,-7.852675206541292,-13.095255689769004
LTU,471.8342299438431,0.052295066124230585,10.75026945251955,-27.321539846409514,-12.024543051255767,-15.296996795153747
LVA,474.56865073478394,-0.009482523427919614,10.537911531386063,-25.529684980665337,-15.239213014376872,-10.290471966288465
MEX,415.3589621469032,-0.9524373255716473,9.970765631868323,-10.231992682510535,-5.829543133609093,-4.402449548901442
NLD,459.242908056442,0.2534607822800931,11.174988660714414,-9.36340869995928,-3.3556740361805453,-6.007734663778734
NOR,476.52387775392486,0.5214971144813197,11.462787504617456,-10.902834207485624,4.809404376506762,-15.712238583992384
NZL,500.8530109556955,0.21906359919765708,10.81663303396012,-16.56013265850848,1.358629243666556,-17.918761902175035
POL,488.7136290629063,-0.10514068515163943,10.678330417997634,-21.57992239815843,-3.9500398804905785,-17.629882517667852
PRT,476.58861113023045,-0.22635525994346117,10.623054174662954,-9.011181010260614,-0.1601685173007894,-8.851012492959825
SVK,446.86060740452825,-0.3029966638479775,10.56227580722072,-15.581052086993992,5.039483787935865,-20.620535874929857
SVN,468.5360126993491,0.22580826383510563,10.75915500275801,-21.76104703947389,2.236502455974474,-23.997549495448364
SWE,486.9751557891439,0.326591020590031,11.043633585968013,-17.973640918373007,1.3682861283662788,-19.341927046739286
TUR,456.08404072475236,-1.1854430482598908,10.419921752943475,3.226891249329995,11.207099167984268,-7.980207918654273
USA,503.9375736570523,0.05616286857446633,11.195865978937524,4.47112581770466,23.10055214128045,-18.62942632357579
