cnt,escs_Q1_change,escs_Q4_change,escs_Q4-Q1_change,escs_Q4-Q1_se,escs_h_Q1_change,escs_h_Q4_change,escs_h_Q4-Q1_change,escs_h_Q4-Q1_se,homepos_Q1_change,homepos_Q4_change,homepos_Q4-Q1_change,homepos_Q4-Q1_se,homepos_h_Q1_change,homepos_h_Q4_change,homepos_h_Q4-Q1_change,homepos_h_Q4-Q1_se
ISR,2.989934997337059,-38.52559389492387,-41.515528892261045,7.68863489135207,-2.2462724519468797,-23.889408063549467,-21.64313561160252,7.283441173525651,10.17700248105325,-55.21208384314178,-65.38908632419503,7.736494465527222,-13.06937538173048,-29.7941167493928,-16.72474136766236,7.140656854307547
LTU,8.286039570055209,-17.688852143207384,-25.97489171326265,6.146638303144027,3.74158285354207,-7.714834303279474,-11.4564171568216,6.309844828181759,18.122325242631405,-24.931336560054547,-43.05366180268602,5.739185736015236,-0.0023938412386996,-8.688236857553136,-8.68584301631433,5.495964556272002
AUT,2.602960228341715,-22.447731725178528,-25.05069195352023,5.429707051816438,-4.833459189290181,-15.607681675169944,-10.774222485879818,5.575317199281064,10.741761053804396,-29.18512841553837,-39.926889469342825,6.138486436906337,-3.7753805339951896,-12.919554851425858,-9.14417431743064,6.419887743499283
SVN,-11.602149819877752,-36.365103784337066,-24.762953964459257,5.881603301914593,-17.180311267101843,-19.591807307721183,-2.4114960406194115,5.925290204034139,-1.5684650519791037,-51.998983247457886,-50.43051819547869,6.214641809175047,-24.86999102834613,-24.30008038632104,0.5699106420250786,6.247091332228977
BEL,4.734124127675841,-14.991835611788249,-19.725959739464106,6.682974903498522,1.133586513539626,-6.960373790854533,-8.093960304394031,6.433559503625736,8.313349778011457,-28.400064309368418,-36.713414087379874,7.337498891706569,-2.244274935837268,-9.410797731719413,-7.166522795882344,7.333956773951837
CHE,2.231798540522675,-17.01606983741044,-19.247868377933077,6.305902976574335,-1.2115455306664558,-4.658576195956925,-3.447030665290569,6.471405390989435,17.1988933983053,-43.75708579058846,-60.95597918889359,6.830811100674936,-0.7713232084086599,-21.477799920858047,-20.706476712449454,6.64935888888107
SWE,-10.483304323702328,-29.64599391604804,-19.162689592345885,5.854014427346398,-17.408087414385477,-18.72614324121116,-1.3180558268257414,6.289875225681779,8.975657871715157,-45.91891406663433,-54.894571938349465,6.196502130928957,-7.315622317880013,-25.712776070594145,-18.397153752714097,6.458365112521224
AUS,-2.4138025987555807,-20.837628052604487,-18.42382545384872,5.035260969279339,-7.500755005638723,-10.510199514479496,-3.0094445088407724,4.842906570551926,10.20227167456278,-34.11725006374138,-44.319521738304125,5.1168740335950496,-5.22876802914152,-14.961578702686325,-9.732810673544847,5.013727040811114
FRA,-2.2838723178162468,-20.311426735536315,-18.02755441771994,6.713007060861328,-8.365455342923326,-12.955926301613315,-4.5904709586903465,6.545174152611478,3.826702747716524,-35.95695319387687,-39.78365594159348,6.0620642155981495,-10.31011386445556,-14.997115843098127,-4.68700197864284,6.465184179589977
HUN,-4.043660796063307,-21.270522269136904,-17.22686147307357,8.455643875001856,-10.0591099212661,-16.70487691709775,-6.645766995831764,8.359224158074642,7.44888301758192,-29.847067780255717,-37.29595079783744,7.519365419439967,-9.400009579583925,-15.907450806471331,-6.507441226887366,7.873368904202112
SVK,19.39251505969992,2.4415276075501424,-16.950987452149775,8.900564928036822,7.290306476040939,8.005714509226436,0.7154080331853265,8.868705737026783,34.04664169839157,-17.4788337425735,-51.52547544096512,9.539984913475683,14.80716221471414,2.4129298879195744,-12.39423232679468,9.083725975139004
LVA,-8.858518025308967,-25.27132973656302,-16.412811711254115,5.094609859696224,-12.21771289609626,-19.68573609870532,-7.468023202609146,5.341954779676793,-9.780653825226011,-38.18059035460152,-28.39993652937545,4.793721606241389,-22.85028014423642,-25.282091566880013,-2.43181142264347,4.598659382787975
CZE,2.6616738105301465,-13.51798513365975,-16.17965894418994,6.713890990061127,-5.900523746189265,-7.178683529898763,-1.2781597837096257,6.899444841922531,13.50226565150666,-29.98808908180069,-43.49035473330731,6.28956415688856,-9.271770098374418,-6.240922531502179,3.0308475668721684,6.350592324838287
DNK,-7.596525734781835,-23.66209117077898,-16.065565435997144,6.142991482316721,-10.903233313458031,-11.113690408650823,-0.2104570951929076,5.866540849531955,-7.784363047233342,-33.16192740362442,-25.377564356391236,5.511863709283786,-17.75486917551109,-19.233249792845697,-1.4783806173346503,5.903000014895926
NZL,15.66447092539903,-0.380275819241092,-16.04474674464008,6.721439415470293,10.137269950188966,7.950406318726664,-2.186863631462103,6.768841843574984,15.554594307698837,-8.116005075288967,-23.670599382987906,6.386255813800267,5.753764872787713,4.371249250834978,-1.382515621952891,7.033951070929215
POL,3.694050256790433,-11.25893857440576,-14.95298883119638,6.929721543069338,-4.014129154282728,-6.743698090143084,-2.729568935860428,7.035098165560383,16.926798747325506,-24.43689328223951,-41.36369202956499,6.500426246827656,3.561019696770529,-3.98526974138116,-7.546289438151589,6.363197664229232
ISL,5.806441720251485,-8.152588469156797,-13.959030189408324,6.603444917245339,1.6784624762316298,3.458652432489316,1.780189956257594,6.604859626173256,-3.4992301121797595,-23.418115953793404,-19.918885841613715,6.453713753915701,-15.815603214261046,-5.238283040884824,10.577320173376188,6.164495868797848
