cnt,escs_Q1_change,escs_Q4_change,escs_Q4-Q1_change,escs_Q4-Q1_se,escs_h_Q1_change,escs_h_Q4_change,escs_h_Q4-Q1_change,escs_h_Q4-Q1_se,homepos_Q1_change,homepos_Q4_change,homepos_Q4-Q1_change,homepos_Q4-Q1_se,homepos_h_Q1_change,homepos_h_Q4_change,homepos_h_Q4-Q1_change,homepos_h_Q4-Q1_se
ISR,2.576885237389717,-50.6964301358031,-53.27331537319272,8.36362935734522,-5.937694509548862,-33.744145753293765,-27.80645124374485,7.860518018421566,-1.9629821896338056,-67.27727240097272,-65.31429021133896,8.650795755078276,-27.771215334790213,-38.02952945430536,-10.258314119515036,8.516460526807112
CHE,9.257425235527364,-28.48330979788409,-37.74073503341151,6.977592941315485,3.114601161874873,-16.526146303409746,-19.64074746528441,7.136199939993982,18.675684820843685,-53.65051135767703,-72.32619617852083,7.279895250068533,-3.5044193948900784,-28.688362904803,-25.18394350991298,7.078751279940318
HUN,-2.040047253626028,-36.91534880767733,-34.875301554051205,8.464146578571983,-9.19715717737995,-32.828369108162974,-23.63121193078304,8.46427451122381,8.438316294732886,-44.84799230320493,-53.28630859793788,7.846456605540755,-9.621830195697896,-29.156619532256684,-19.534789336558816,8.286169475873681
BEL,8.463802615937084,-22.791825096520483,-31.25562771245764,7.366199479249878,4.372667764435789,-12.31718250530912,-16.68985026974491,7.153955893728129,12.290003726377734,-37.3095281846322,-49.59953191100991,8.409825542430351,0.351837651596611,-14.318184495744276,-14.670022147340973,8.257442988594915
CZE,0.7666683638699396,-29.77791874496188,-30.54458710883192,7.277138751051528,-9.722387194295436,-24.38697825739655,-14.664591063101128,7.352160999522408,5.87811247425617,-44.48653414087653,-50.3646466151327,6.976251680671677,-19.42634231849757,-17.641193744423106,1.7851485740746398,6.616623119867163
AUT,4.553691806357904,-25.87656245869482,-30.430254265052582,6.510662255299926,-4.187284313498822,-18.445648672288257,-14.25836435878938,6.443286975759291,12.860035851887176,-38.26824082602224,-51.12827667790939,6.8292795260567,-2.584359579110867,-18.76193395152478,-16.17757437241383,7.199143081687887
LTU,6.028485067171005,-21.293054779238503,-27.321539846409514,6.831403042341498,2.1740247319834225,-9.850518319272226,-12.024543051255767,6.861893428178957,18.927513762454797,-29.60271192732688,-48.53022568978176,6.172635399849813,-2.6470709385048963,-11.39788318479816,-8.750812246293194,6.13684946543026
LVA,-24.672685668402096,-50.20237064906741,-25.529684980665337,5.799352361409258,-28.63937843725444,-43.87859145163134,-15.239213014376872,5.996767488292525,-26.419986057008828,-65.177299225728,-38.75731316871925,5.615532357413751,-43.68932281403392,-48.49864811438039,-4.80932530034643,5.602329084996547
FRA,0.4917560934443372,-22.66204952981548,-23.15380562325994,7.833226582295488,-6.506847154609488,-14.84617352067596,-8.339326366066416,7.754763014251131,7.43589413229904,-43.124637852091496,-50.56053198439051,7.2190170480883395,-9.663732943780929,-19.53082085222178,-9.867087908440697,7.923535793563031
SVN,-9.095315191531938,-30.856362231005846,-21.76104703947389,6.523320213130048,-15.19193327952314,-12.955430823548625,2.236502455974474,6.729674765442653,-0.7445866885996111,-46.24692288340594,-45.502336194806375,7.286258131005681,-22.584792633419625,-19.199084873727884,3.385707759691733,7.674790556551824
