cnt,escs_Q1_change,escs_Q4_change,escs_Q4-Q1_change,escs_Q4-Q1_se,escs_h_Q1_change,escs_h_Q4_change,escs_h_Q4-Q1_change,escs_h_Q4-Q1_se,homepos_Q1_change,homepos_Q4_change,homepos_Q4-Q1_change,homepos_Q4-Q1_se,homepos_h_Q1_change,homepos_h_Q4_change,homepos_h_Q4-Q1_change,homepos_h_Q4-Q1_se
ISR,7.367585436103639,-29.82058815979974,-37.188173595903365,7.533802306117884,0.3938519219367435,-13.684727776060583,-14.078579697997398,7.505159114974483,7.552883125342419,-47.77242185687237,-55.32530498221483,7.905878619457617,-14.99268263681273,-19.10231127817173,-4.109628641359038,7.782703643122222
AUT,19.73284337105133,-6.2396994102671215,-25.972542781318168,6.3827038396708105,11.92215408887688,1.749703757020825,-10.172450331855911,6.298637081313356,32.318702964365855,-20.926560194346848,-53.2452631587127,6.928176505359464,16.404038330379024,-2.540302815765358,-18.94434114614434,7.177105863589476
LTU,16.2690966426523,-9.332174733863551,-25.60127137651601,6.220985895669745,12.02286626931999,1.454215079378173,-10.56865118994196,6.344226551165431,26.03159739736003,-17.206223619676734,-43.2378210170368,5.812874374938409,6.649682308504566,0.0665847037985258,-6.583097604705976,5.568506106544952
SVK,31.5245307804841,8.168832687796225,-23.35569809268806,8.973458721766548,19.10391982847517,14.877105983853768,-4.226813844621546,8.827401332658047,45.53097740953132,-12.544735768757675,-58.07571317828909,9.532926953954233,24.98016142126386,8.08476692843874,-16.895394492825034,9.026850846782391
CZE,9.228126145260546,-13.573780264755896,-22.801906410016517,7.636821777602941,-0.2691022875512772,-6.794018022477417,-6.524915734926225,7.7788072765211345,22.029486316998657,-33.99381311579742,-56.02329943279622,7.116532806364108,-2.5538603861042475,-7.751398512807214,-5.197538126702895,7.018776338685035
HUN,6.748053068015452,-15.90919666777222,-22.657249735787587,8.357177480091467,0.3044363330106421,-11.143097555220152,-11.44753388823078,8.208325465165286,15.12929512705665,-24.42207925769185,-39.551374384748456,7.772179011741043,-1.2666936777400224,-7.388471748072789,-6.121778070332766,7.90002780638573
AUS,10.272590396942576,-11.906209718995797,-22.17880011593849,5.838527345128901,4.346484995584603,1.962337246131824,-2.384147749452808,5.640402673322302,25.74571216240884,-26.257109719257983,-52.00282188166683,5.656805934942509,6.712856798993926,-2.312033667357241,-9.024890466350977,5.601699575444012
BEL,16.67863273388474,-5.271271982880762,-21.94990471676537,6.9165204011372445,12.539993525866976,3.923821275113824,-8.616172250753209,6.639582311050218,20.455367075726883,-22.130563259553696,-42.58593033528044,7.7363158268278704,8.026168893867919,-1.403279035366381,-9.4294479292343,7.715549224196252
FRA,13.308894185937277,-7.981134397370965,-21.290028583308256,7.392115203497042,6.910487661463435,0.3736494478998793,-6.536838213563541,7.122140568767725,18.97451989711402,-27.12500534782544,-46.09952524493944,7.01259046536381,2.816021594473682,-3.306955203830966,-6.122976798304478,7.518972003167518
CHE,9.5911388119614,-11.204501971883587,-20.79564078384513,6.627654294888554,4.47665264702681,1.818754301775698,-2.6578983452512404,6.829214624715237,24.701184137052,-38.688918427731664,-63.3901025647837,7.116169935240062,2.6424897944438044,-12.610999524150088,-15.25348931859378,6.838010464358514
SWE,-1.3644799014139153,-21.29813911647648,-19.933659215062505,7.102798595213919,-9.255100795542605,-7.96769511905984,1.2874056764828763,7.733374674896282,21.14878041501572,-39.61641456701386,-60.76519498202979,7.111763170441532,0.6457237964891647,-15.3706111560208,-16.016334952509922,7.4355049909613555
SVN,-5.022724190799806,-24.53675241432325,-19.51402822352344,5.998845133706374,-11.165153786643714,-6.231037163865608,4.934116622778248,5.9685377305564895,9.827604213905772,-43.31998332469152,-53.14758753859723,6.568705542739616,-17.631346907490638,-13.15166191168464,4.4796849958059966,6.243531599878407
ISL,12.550468561877947,-5.284023832823493,-17.834492394701513,7.411011949079639,6.060046312608392,7.269456916701358,1.2094106040929375,7.276510807651847,5.520468166083845,-24.13263747978664,-29.653105645870497,7.163581138419642,-9.923416468043,-1.0314979754182332,8.89191849262481,6.920835598300274
KOR,2.3300096630874805,-15.14781642584785,-17.4778260889354,9.03193322167677,-9.491339653943385,-9.015084581439057,0.4762550725043155,9.105466826410431,19.070202495363446,-19.831270992858208,-38.90147348822168,9.768572739943576,2.86739036521476,-4.827662388433396,-7.695052753648135,8.974363088477224
NZL,20.32736102571141,3.665421724414159,-16.661939301297195,6.573371429369576,14.64322718659338,14.844907249555376,0.2016800629618416,6.442929668507856,24.317714213216902,-5.9147870202371,-30.232501233454,6.398359802315529,12.17180589405973,10.105523695346848,-2.066282198712841,7.204314083678972
LVA,-11.78342498739795,-26.383084065485832,-14.59965907808786,5.864902277699653,-16.015308136117824,-20.925877933098377,-4.910569796980546,5.936219059083287,-15.110180483366037,-41.199376518152576,-26.08919603478648,5.5054378268684445,-31.5223588325328,-26.369582490857795,5.152776341674922,5.366555777125417
CAN,0.9911111346135044,-13.009101110147526,-14.000212244761066,5.091907519508578,-2.616531567788684,-3.5077089022555583,-0.8911773344669882,5.289012367852084,8.35835728260264,-28.04538378991924,-36.40374107252181,5.512229599915295,-4.5584880487026,-5.4053640777162855,-0.8468760290136004,5.735705249389584
NOR,-3.8395404301118106,-16.9559284624645,-13.116388032352576,6.547343155891617,-9.43285646792225,-4.631899276797299,4.800957191124951,6.532467816766694,13.50610071689198,-30.137483708166087,-43.64358442505811,6.279165608989177,-3.47805639778386,-7.589979221924182,-4.1119228241404855,6.996342519065629
POL,4.107352154083458,-8.514410611045037,-12.62176276512865,6.994477336664621,-4.381888010203227,-2.6429979203377343,1.7388900898654214,7.12899131834504,18.27048828025329,-23.26738556234875,-41.53787384260213,6.504331589513119,3.725500590152649,-1.1698173842837605,-4.89531797443653,6.63138061195701
GBR,12.800364250319603,1.1987493315057236,-11.601614918813809,7.82452434019035,11.214232357725905,12.368555194778535,1.1543228370528311,8.03708980265246,28.83878917426108,-11.654347654428191,-40.49313682868934,7.492428093052162,10.613039819297851,7.247363533213388,-3.365676286084579,8.347764331700883
FIN,-0.3639471360877451,-11.741305025797942,-11.377357889710154,5.719264483640028,-7.587873465107293,-0.4821226836946835,7.1057507814125245,5.337194778768191,23.887681130350074,-31.934624520760394,-55.82230565111024,5.383569109346782,4.048975525345668,-8.805535420093975,-12.8545109454396,5.365050457596612
DNK,-8.39224370083798,-19.547323637920613,-11.155079937082531,7.441195524959813,-12.840194500482935,-4.547920598785595,8.292273901697328,6.931413949779776,-7.911745022101684,-32.43451971520574,-24.52277469310396,6.499448293396785,-20.079917206203103,-14.739050404601926,5.340866801601194,7.0316809512872265
ITA,11.301729259064928,2.964647252697773,-8.337082006367211,7.209491247053386,4.597554492524012,7.809277038266941,3.211722545742859,6.988153306588317,17.049538801572908,-11.771810706752431,-28.821349508325294,6.715089450390925,0.0913324412072142,4.709150135420771,4.617817694213485,6.583280645378872
EST,1.4728122303990858,-6.7746298077885285,-8.247442038187799,6.400033304733613,-3.918484163962319,0.0019642064480649,3.9204483704102415,6.090338695607621,24.74633113182739,-16.781752229894096,-41.52808336172148,5.81698352438805,4.587273307551925,-2.5162601175334203,-7.103533425085196,5.865541309759211
ESP,-4.493050112835135,-12.58983774675903,-8.096787633923867,4.28456795509696,-10.018406273955977,-1.9247614115467968,8.093644862409036,4.308556956181634,9.731460776483686,-23.22867773008869,-32.960138506572335,4.873130534939177,-7.335763036543483,-1.81000536806323,5.52575766848031,5.187864438396926
GRC,-4.8960270059045,-10.556362745710942,-5.6603357398063565,7.055610704047166,-8.531551352184124,-2.7476217393469824,5.783929612837184,7.3265244865200705,10.765702016208309,-26.13804835386281,-36.90375037007106,6.633775305296473,-4.0243383996652256,-7.976523306878164,-3.95218490721296,6.857196590988467
IRL,-1.1964409871245607,-6.77114499279935,-5.574704005674718,5.884586037787308,-5.799275501502677,-1.2760610579366585,4.523214443566374,5.540230382700609,7.6165851485773715,-18.657373168489016,-26.27395831706636,6.385992875245309,-6.736642840731292,-5.27014786452321,1.4664949762080397,6.671449131839292
NLD,-2.13432351772218,-7.507779356674973,-5.373455838952708,9.34116705071582,0.2228995348704074,0.2793544096125515,0.0564548747419451,9.033798879633434,19.053954923910453,-33.71611216304041,-52.77006708695096,8.911332402875892,25.40126991449256,-9.242879513442745,-34.64414942793526,9.274265623835788
USA,5.982913656329799,2.1874398708317813,-3.795473785497919,17.932254401615136,-2.448953115013069,12.777321073611688,15.226274188624744,18.416616530440475,8.058472307944669,-18.677072162128525,-26.735544470073208,14.975481486018667,-0.2946875221948062,-0.5250758372011433,-0.2303883150062944,15.857520070429205
CHL,5.735647378833278,2.141716921648822,-3.593930457184314,7.312468707651192,0.7319451580872851,7.3205328587170015,6.588587700629702,7.313468486443857,9.312519233037165,-9.675498407619273,-18.988017640656352,6.424162863016655,-2.016441549820001,5.791162491435273,7.807604041255175,6.080351231690177
PRT,-2.4512995820059587,-2.832642208384982,-0.3813426263791228,6.788085984187601,-3.789868010525709,4.377106623108034,8.166974633633643,6.496989990132287,6.685265958349817,-15.37336438197508,-22.058630340324825,7.7428010019354705,-1.2008286150501135,-3.5562142858434527,-2.3553856707932823,6.796728076326926
MEX,3.50337373154332,3.459850795848752,-0.0435229356945967,6.730181773348855,0.9006269871902077,5.320473722251393,4.4198467350611566,6.885990650794913,15.480971539984012,-9.285319748725044,-24.76629128870889,7.075182020543488,6.239391021851645,-1.0041783586119664,-7.243569380463697,6.911916097754892
JPN,-7.196637170500367,-7.219756893833619,-0.0231197233332096,9.16386954118978,-14.01825908835599,3.722049841415583,17.740308929771643,9.255334457373309,7.16382965116793,-29.66283244763736,-36.82666209880526,7.585683448615352,-10.468249485699744,-6.362675036923179,4.105574448776487,8.250996886179662
COL,1.810450300584648,5.36779324335339,3.557342942768741,10.209896373483954,0.0192950302792382,9.963722334141323,9.94442730386207,10.920886100557745,6.437771567664981,-4.984854070538233,-11.422625638203243,9.34552966303186,2.503905029217435,1.463707626104508,-1.0401974031128418,9.149191900630658
DEU,-7.25540585168028,-2.9751059767099832,4.280299874970325,8.1617101067445,-10.871664267844665,7.070625991752763,17.942290259597385,8.09150937235181,3.3790136151383194,-17.84138796180582,-21.220401576943917,8.720461966452875,-13.684592489264103,2.4750352217436102,16.159627711007616,8.452275999439907
TUR,16.997621346172593,24.408665185067772,7.411043838895168,6.916259522473683,11.86538812373442,28.771017692304213,16.90562956856988,6.746311415361616,30.5226713841688,1.8200624117624784,-28.70260897240633,7.357400291680899,15.924083902688436,18.726875343830784,2.802791441142233,7.839845120746835
