construction,Q1_change,Q4_change,gap_change,se,coverage,n_systems
"1. OECD rule: equal-weighted mean, regression imputation (the paper's composite)",-7.93628344770758,-6.17533462758991,1.76094882011768,1.23761674164102,94.0219716299825,36
"2. OECD rule, mean of the available components",-8.01202785693909,-5.82627937862253,2.18574847831655,1.24581894284379,94.0219716299825,36
"3. OECD rule, complete cases only",-3.4315230654226,-3.26567056684564,0.165852498576953,1.26682702692553,82.822595236042,36
"4. OECD rule, imputation without the random residual",-7.7278266942148,-5.82113596593706,1.90669072827774,1.243331745175,94.0219716299825,36
"5. OECD rule, metric re-anchored in each cycle",-7.88898595958409,-6.05408396570351,1.83490199388058,1.23064661699843,94.0219716299825,36
"6. First principal component, pooled standardization",-7.36105314908883,-4.80626037830484,2.55479277078399,1.23810861201866,94.0219716299825,36
"7. Per-cycle standardization, per-cycle principal component",-6.89858747186548,-4.5620027419003,2.33658472996518,1.23094563107532,94.0219716299825,36
"8. Pooled standardization, per-cycle principal component",-7.11493702476616,-4.68912127907743,2.42581574568874,1.23271881915069,94.0219716299825,36
9. 2022 principal-component weights in both cycles,-7.30344554260165,-4.87227480996626,2.43117073263539,1.239422368533,94.0219716299825,36
10. 2025 principal-component weights in both cycles,-7.4286693477585,-4.77302528898679,2.65564405877171,1.22854893199593,94.0219716299825,36
