construction,Q1_change,Q4_change,gap_change,se,coverage,n_systems
"1. OECD rule: equal-weighted mean, regression imputation (the paper's composite)",-9.72243643158276,-11.7268713896189,-2.00443495803609,1.30638404689959,94.0219716299825,36
"2. OECD rule, mean of the available components",-9.9049098123765,-11.5894502250232,-1.6845404126467,1.31519414745831,94.0219716299825,36
"3. OECD rule, complete cases only",-4.53997618687527,-8.29459226358699,-3.75461607671173,1.31931428940971,82.822595236042,36
"4. OECD rule, imputation without the random residual",-9.51246142338914,-11.487657829887,-1.9751964064979,1.30712427033291,94.0219716299825,36
"5. OECD rule, metric re-anchored in each cycle",-9.80663958429966,-11.6618198609166,-1.85518027661698,1.29342274305848,94.0219716299825,36
"6. First principal component, pooled standardization",-9.0002731766013,-10.2634027272791,-1.26312955067777,1.29217706232048,94.0219716299825,36
"7. Per-cycle standardization, per-cycle principal component",-8.57237366084479,-9.80990073468865,-1.23752707384386,1.28136766282977,94.0219716299825,36
"8. Pooled standardization, per-cycle principal component",-8.76979263033854,-10.0782876245768,-1.30849499423823,1.28821267785297,94.0219716299825,36
9. 2022 principal-component weights in both cycles,-9.02016538779048,-10.3002890444781,-1.28012365668758,1.29543911611526,94.0219716299825,36
10. 2025 principal-component weights in both cycles,-9.02130633415823,-10.1817747982197,-1.16046846406152,1.2817867008902,94.0219716299825,36
