construction,Q1_change,Q4_change,gap_change,se,coverage,n_systems
"1. OECD rule: equal-weighted mean, regression imputation (the paper's composite)",-0.695180664826353,1.3853376589708,2.08051832379715,1.28292843436176,94.0219716299825,36
"2. OECD rule, mean of the available components",-0.926124366330498,1.61117794517065,2.53730231150115,1.29258689763157,94.0219716299825,36
"3. OECD rule, complete cases only",4.53535757927091,4.85844900381176,0.323091424540849,1.30339641999496,82.822595236042,36
"4. OECD rule, imputation without the random residual",-0.614849039779756,1.8279633146725,2.44281235445226,1.28926032208331,94.0219716299825,36
"5. OECD rule, metric re-anchored in each cycle",-0.689368138772295,1.47207049221936,2.16143863099165,1.2750123372472,94.0219716299825,36
"6. First principal component, pooled standardization",-0.164365637968046,2.95479699991313,3.11916263788118,1.28102803132654,94.0219716299825,36
"7. Per-cycle standardization, per-cycle principal component",0.30704463793262,3.34452293285574,3.03747829492312,1.27171940351903,94.0219716299825,36
"8. Pooled standardization, per-cycle principal component",0.0889789238525509,3.0787511032969,2.98977217944434,1.27813701042703,94.0219716299825,36
9. 2022 principal-component weights in both cycles,-0.132792712471314,2.90445991044237,3.03725262291368,1.28666568808157,94.0219716299825,36
10. 2025 principal-component weights in both cycles,-0.246523986720831,2.97623390670026,3.22275789342109,1.26979013748973,94.0219716299825,36
