version,pair,r_2022,r_2025,change
published,HISEI - PARED,0.440945947516461,0.479317051535866,0.0383711040194052
published,HISEI - HOMEPOS,0.399440659515045,0.338847012054774,-0.0605936474602709
published,PARED - HOMEPOS,0.333090569136133,0.321717645318056,-0.0113729238180775
published,HISEI - achievement,0.321550262708674,0.310398256077669,-0.0111520066310055
published,PARED - achievement,0.226027379969416,0.280660124035675,0.0546327440662589
published,HOMEPOS - achievement,0.372648763999048,0.21714442960036,-0.155504334398688
harmonized,HISEI - PARED,0.451378206041743,0.479317051535866,0.0279388454941232
harmonized,HISEI - HOMEPOS,0.362910162262198,0.348133977026719,-0.0147761852354797
harmonized,PARED - HOMEPOS,0.309082066938244,0.32643557455067,0.0173535076124253
harmonized,HISEI - achievement,0.321550262708674,0.310398256077669,-0.0111520066310055
harmonized,PARED - achievement,0.228562973932333,0.280660124035675,0.0520971501033426
harmonized,HOMEPOS - achievement,0.2852870253932,0.253855408386014,-0.0314316170071853
