version,pair,r_2022,r_2025,change
published,HISEI - PARED,0.440945947516461,0.479317051535866,0.0383711040194052
published,HISEI - HOMEPOS,0.399440659515045,0.338847012054774,-0.0605936474602709
published,PARED - HOMEPOS,0.333090569136133,0.321717645318056,-0.0113729238180775
published,HISEI - achievement,0.314881870389694,0.301550711571365,-0.0133311588183286
published,PARED - achievement,0.217764324227664,0.265473108062168,0.0477087838345036
published,HOMEPOS - achievement,0.355684206996962,0.186083528567169,-0.169600678429793
harmonized,HISEI - PARED,0.451378206041743,0.479317051535866,0.0279388454941232
harmonized,HISEI - HOMEPOS,0.362910162262198,0.348133977026719,-0.0147761852354797
harmonized,PARED - HOMEPOS,0.309082066938244,0.32643557455067,0.0173535076124253
harmonized,HISEI - achievement,0.314881870389694,0.301550711571365,-0.0133311588183285
harmonized,PARED - achievement,0.219418969490689,0.265473108062168,0.0460541385714787
harmonized,HOMEPOS - achievement,0.261232560630262,0.22860502310784,-0.0326275375224223
