version,pair,r_2022,r_2025,change
published,HISEI - PARED,0.440945947516461,0.479317051535866,0.0383711040194052
published,HISEI - HOMEPOS,0.399440659515045,0.338847012054774,-0.0605936474602709
published,PARED - HOMEPOS,0.333090569136133,0.321717645318056,-0.0113729238180775
published,HISEI - achievement,0.305996400242267,0.308490180458154,0.00249378021588681
published,PARED - achievement,0.216736240793225,0.277595607074516,0.0608593662812911
published,HOMEPOS - achievement,0.358425969146606,0.203022034257444,-0.155403934889162
harmonized,HISEI - PARED,0.451378206041743,0.479317051535866,0.0279388454941232
harmonized,HISEI - HOMEPOS,0.362910162262198,0.348133977026719,-0.0147761852354797
harmonized,PARED - HOMEPOS,0.309082066938244,0.32643557455067,0.0173535076124253
harmonized,HISEI - achievement,0.305996400242267,0.308490180458154,0.00249378021588687
harmonized,PARED - achievement,0.218608659302295,0.277595607074516,0.0589869477722214
harmonized,HOMEPOS - achievement,0.267820083897966,0.24489883716719,-0.0229212467307764
