index,decile,n_systems,mean_2022,mean_2025,change,se
escs,1,36,415.873210307577,415.221947951219,-0.651262356357165,1.65708372994567
escs,2,36,439.941633773259,435.02592680082,-4.91570697243861,1.65947439694071
escs,3,36,447.82563688803,445.009101898386,-2.81653498964386,1.72714833085991
escs,4,36,459.19004957618,454.497785424205,-4.69226415197471,1.6981602761205
escs,5,36,469.70925411472,466.155688021474,-3.55356609324622,1.69711714803198
escs,6,36,478.715763412222,476.785366551912,-1.93039686030909,1.71219915451588
escs,7,36,490.481552085379,487.435071707683,-3.04648037769641,1.76124504330487
escs,8,36,504.422411382447,501.645008602847,-2.77740277960049,1.8174302257888
escs,9,36,521.732791013863,511.404864588469,-10.3279264253939,1.80889688597249
escs,10,36,536.933037874715,513.492638720281,-23.440399154434,1.77637761187836
escs,D10-D1,36,121.059827567138,98.2706907690616,-22.7891367980768,1.69884862962797
escs_h,1,36,420.532494721717,413.645221164203,-6.88727355751388,1.64953328238082
escs_h,2,36,442.587912341279,433.694758931221,-8.89315341005766,1.65938854944162
escs_h,3,36,450.919056298859,444.363216160568,-6.55584013829156,1.65247043258196
escs_h,4,36,460.468389411549,455.386680007171,-5.08170940437725,1.70628978684179
escs_h,5,36,470.194419332657,465.895925867223,-4.29849346543466,1.70481725551362
escs_h,6,36,480.963657130456,475.90216109354,-5.06149603691534,1.70388439457527
escs_h,7,36,491.27325052379,487.541979989274,-3.73127053451572,1.83217955729028
escs_h,8,36,504.896652207014,502.107316055081,-2.78933615193284,1.77618781740905
escs_h,9,36,518.781607726666,513.020717261176,-5.76089046548952,1.86747512798935
escs_h,10,36,526.698163519544,517.966920664114,-8.73124285543008,1.77704472787306
escs_h,D10-D1,36,106.165668797827,104.321699499911,-1.8439692979162,1.69021826083234
escs_pca,1,36,424.094778809326,418.393116587131,-5.70166222219501,1.63553369985877
escs_pca,2,36,442.660367618365,433.605977159536,-9.05439045882957,1.66124795037869
escs_pca,3,36,449.16700150958,442.749295663332,-6.41770584624857,1.67510654941649
escs_pca,4,36,459.181612716512,452.762165156602,-6.41944755991051,1.68870962636429
escs_pca,5,36,469.036534275765,463.237735993877,-5.79879828188859,1.72801178089112
escs_pca,6,36,478.99897330725,473.361877669722,-5.63709563752792,1.72237067016894
escs_pca,7,36,489.848611924358,485.422677600019,-4.4259343243383,1.78910056365567
escs_pca,8,36,504.501869780343,501.658461686062,-2.84340809428039,1.76697457967991
escs_pca,9,36,519.696922866101,514.630341683558,-5.06658118254347,1.89488541642742
escs_pca,10,36,530.129574893574,523.69431904859,-6.43525584498457,1.76094595077576
escs_pca,D10-D1,36,106.034796084248,105.301202461459,-0.733593622789556,1.65436007434737
homepos,1,36,405.710671277343,415.829879830438,10.1192085530948,1.70620373271064
homepos,2,36,435.516508137592,441.949979313241,6.43347117564861,1.70203542912126
homepos,3,36,451.546227140126,453.453904741476,1.90767760135032,1.71507427267826
homepos,4,36,464.594356166048,463.724120959492,-0.870235206555719,1.72548098178202
homepos,5,36,475.080997259633,470.255160248036,-4.82583701159729,1.71466927538192
homepos,6,36,484.737677878836,476.689841525127,-8.04783635370887,1.73483114732501
homepos,7,36,495.616128516167,481.790006970433,-13.8261215457347,1.69999974400951
homepos,8,36,505.540508178409,486.251061628237,-19.2894465501718,1.72160719626013
homepos,9,36,515.211068454576,491.035275098647,-24.17579335593,1.75339811036292
homepos,10,36,521.985984632513,486.776835075999,-35.2091495565139,1.7819180453734
homepos,D10-D1,36,116.27531335517,70.946955245561,-45.3283581096087,1.72382490023963
homepos_h,1,36,416.998925442422,410.32525501991,-6.67367042251135,1.72150615964765
homepos_h,2,36,445.445170545002,439.339708782982,-6.10546176202018,1.720210072067
homepos_h,3,36,459.62487541232,453.042478221092,-6.58239719122787,1.72387161943318
homepos_h,4,36,470.12588457088,460.68276656303,-9.4431180078501,1.72711327532032
homepos_h,5,36,478.795152105703,471.184312592253,-7.61083951345074,1.69608290831958
homepos_h,6,36,486.202216812904,477.053688467903,-9.14852834500118,1.71200636111282
homepos_h,7,36,493.525571919616,483.579601835058,-9.9459700845577,1.73756293835614
homepos_h,8,36,498.477425261908,490.144944953083,-8.33248030882493,1.72668072116513
homepos_h,9,36,505.196417203365,495.354818886788,-9.84159831657666,1.73496096061894
homepos_h,10,36,507.176660177961,493.798281872177,-13.3783783057838,1.79062377757848
homepos_h,D10-D1,36,90.1777347355389,83.4730268522665,-6.70470788327242,1.73505017283289
