rule,cnt,gap_2022,gap_2025,change,se
Occupation: HISEI >= 60 vs < 35,AUS,71.9597969866939,67.3013686808197,-4.65842830587417,4.24863432208172
Occupation: HISEI >= 60 vs < 35,AUT,77.6515522650719,61.0624990945811,-16.5890531704908,4.67949809876825
Occupation: HISEI >= 60 vs < 35,BEL,86.3242013209911,80.583348195976,-5.74085312501507,4.87125853434848
Occupation: HISEI >= 60 vs < 35,CAN,58.1316782566637,58.3247717221997,0.193093465536037,3.91409286198409
Occupation: HISEI >= 60 vs < 35,CHE,83.3129996519687,83.8970056310034,0.584005979034657,5.66407774005694
Occupation: HISEI >= 60 vs < 35,CHL,49.8242811755686,55.8482591637908,6.02397798822216,4.92952723864781
Occupation: HISEI >= 60 vs < 35,COL,54.832145506458,52.726912299785,-2.10523320667301,7.66635621690672
Occupation: HISEI >= 60 vs < 35,CZE,89.9656550099254,78.8464478353877,-11.1192071745376,5.57332620196845
Occupation: HISEI >= 60 vs < 35,DEU,81.9889068316315,86.6323715373055,4.64346470567398,5.63710250374278
Occupation: HISEI >= 60 vs < 35,DNK,57.5821216176266,46.3957615175289,-11.1863601000977,5.68913664930713
Occupation: HISEI >= 60 vs < 35,ESP,56.7108897578601,58.5143628019261,1.80347304406598,2.93491277703619
Occupation: HISEI >= 60 vs < 35,EST,58.6109072694152,69.3781389662763,10.7672316968611,5.27590885378433
Occupation: HISEI >= 60 vs < 35,FIN,61.2375945613031,58.3856574119365,-2.85193714936662,3.88816589490465
Occupation: HISEI >= 60 vs < 35,FRA,77.1441015578596,68.3804406454607,-8.76366091239885,5.48192014934724
Occupation: HISEI >= 60 vs < 35,GBR,56.1919511833837,66.8572605882996,10.6653094049159,5.90745475235242
Occupation: HISEI >= 60 vs < 35,GRC,56.4558149333365,63.3563610083308,6.90054607499428,5.07417461871887
Occupation: HISEI >= 60 vs < 35,HUN,99.3266276959529,84.2741553000952,-15.0524723958577,7.03259294813526
Occupation: HISEI >= 60 vs < 35,IRL,50.8829332246115,55.7628056316341,4.87987240702262,4.02956078260466
Occupation: HISEI >= 60 vs < 35,ISL,44.7390228814306,44.5418977080095,-0.197125173421171,6.0053255680872
Occupation: HISEI >= 60 vs < 35,ISR,90.9634205705265,84.9972559629888,-5.96616460753768,7.40051572180101
Occupation: HISEI >= 60 vs < 35,ITA,61.2607934910746,59.2852879016664,-1.97550558940821,6.26429253330049
Occupation: HISEI >= 60 vs < 35,JPN,42.4181867333435,47.3406123246742,4.92242559133064,7.34453592106689
Occupation: HISEI >= 60 vs < 35,KOR,52.4264832510727,66.4769015799313,14.0504183288585,7.21560691685645
Occupation: HISEI >= 60 vs < 35,LTU,60.9603533962693,59.311412627928,-1.64894076834133,5.74249266986233
Occupation: HISEI >= 60 vs < 35,LVA,57.579677022183,48.4602801435543,-9.11939687862872,4.32437684362958
Occupation: HISEI >= 60 vs < 35,MEX,36.4543113785529,39.5081435190562,3.05383214050335,4.42929349695337
Occupation: HISEI >= 60 vs < 35,NLD,83.3708565040461,81.3345698035252,-2.03628670052098,7.16616662308577
Occupation: HISEI >= 60 vs < 35,NOR,55.9377995112853,65.9253961950435,9.98759668375811,4.92925942606282
Occupation: HISEI >= 60 vs < 35,NZL,72.0128054663323,69.0213085716649,-2.99149689466742,6.36319567505932
Occupation: HISEI >= 60 vs < 35,POL,64.7778398647357,63.5169438527627,-1.26089601197305,5.65198571760177
Occupation: HISEI >= 60 vs < 35,PRT,73.4813007345371,76.4979494457783,3.0166487112412,5.50600133436496
Occupation: HISEI >= 60 vs < 35,SVK,97.575409680451,91.8754209926828,-5.69998868776816,7.33829654635471
Occupation: HISEI >= 60 vs < 35,SVN,71.3661445762574,62.1243066245619,-9.24183795169546,5.51575553131263
Occupation: HISEI >= 60 vs < 35,SWE,64.9379971135441,70.2855763599963,5.34757924645214,5.01895634661674
Occupation: HISEI >= 60 vs < 35,TUR,67.110980384459,71.1957457311442,4.08476534668512,5.29783050674005
Occupation: HISEI >= 60 vs < 35,USA,64.4539249947328,73.1104835617379,8.65655856700511,13.7447549176473
Education: tertiary vs 12 years or fewer,AUS,54.4945092777931,58.9868940802684,4.49238480247527,4.00938108760201
Education: tertiary vs 12 years or fewer,AUT,58.8888004599797,51.0447461761295,-7.84405428385026,5.09602045635018
Education: tertiary vs 12 years or fewer,BEL,49.9492001807773,58.4499465050418,8.50074632426447,4.60604923367705
Education: tertiary vs 12 years or fewer,CAN,47.4466646890509,59.8092828075305,12.3626181184796,3.94378194356233
