index,label,n_systems,y2015,se2015,y2018,se2018,y2022,se2022,y2025,se2025
escs,"ESCS, published",35,82.246404002014,0.894278500780053,86.7120955827792,0.905579756234198,93.6669575852446,0.838071668234943,82.5259339802598,0.95366996815145
escs_h4,"ESCS, harmonized (four cycles)",35,81.7923496668252,0.88034967006548,82.9760685339721,0.898013462214322,84.9407148964935,0.821430279913811,86.3539211811141,0.931285326423035
escs_mean4,"ESCS, harmonized (four cycles), no imputation",35,82.1512928111442,0.883230578950666,83.2024789261304,0.9010726823394,85.1760169884433,0.827244813004583,87.3960615784639,0.937020561399964
escs_pca4,"ESCS, harmonized (four cycles), principal component",35,82.065318127353,0.86850319636828,83.2945401938062,0.889144164865222,85.7430409046043,0.82920245599627,88.2177700284087,0.946433293311305
homepos,"HOMEPOS, published",35,68.9618353479828,0.874492265275983,73.8071855633626,0.883887017100783,90.2298932821002,0.824234124543805,55.3175536954193,0.881105148758711
homepos_h4,"HOMEPOS, harmonized (four cycles)",35,59.5681812638571,0.846087035980668,62.6232024947106,0.884716846476352,68.4423604223988,0.792519465863269,65.0299308913186,0.836799707220132
hisei,HISEI,35,74.5952893940065,0.846994157649696,73.8862397232121,0.844930665243994,75.3878780471737,0.787989936859515,73.6147847614562,0.8774522736778
pared_c,PARED (common scale),35,50.453773937791,0.831681010425144,49.9229809621125,0.857308631671528,45.4603077821308,0.736788349214228,58.2589105039357,0.805147259179455
books,Books at home (six categories),35,85.5554673144386,0.83284201733897,85.5550402968789,0.828279370445655,88.9186086812682,0.791526301569583,85.7220396021242,0.868488576809136
escs_trend2022,"ESCS, official OECD 2022 trend rescaling",35,84.6726924682528,0.898694607745197,86.7329314686214,0.915924900598318,93.6669575852446,0.838071668234943,82.5259339802598,0.95366996815145
homepos_trend2022,"HOMEPOS, official OECD 2022 trend rescaling",35,69.8448137240823,0.880526652209124,74.6502948509772,0.885799613331329,90.2298932821002,0.824234124543805,55.3175536954193,0.881105148758711
