index,label,n_systems,y2015,se2015,y2018,se2018,y2022,se2022,y2025,se2025
escs,"ESCS, published",35,86.5954111328695,0.850001312567114,86.0796125162845,0.882132164874645,96.6570900183972,0.897786580755336,83.8095145371207,0.964278047754983
escs_h4,"ESCS, harmonized (four cycles)",35,85.545256091689,0.840301500129469,81.6397685666711,0.876089775812949,87.3507653437484,0.8851288522684,88.9088220595649,0.936882653499209
escs_mean4,"ESCS, harmonized (four cycles), no imputation",35,85.9294166144301,0.840729740370814,81.8849652350502,0.881161732492021,87.6062966422134,0.886808090132311,89.9862935496203,0.948156349885251
escs_pca4,"ESCS, harmonized (four cycles), principal component",35,85.8763260002702,0.827738055135016,82.1903053640703,0.861841265879747,88.1750806372299,0.89261356757112,90.948322480971,0.949925905217845
homepos,"HOMEPOS, published",35,72.5018007829429,0.820471761691153,71.9231812351162,0.867709533698199,93.9805483044179,0.895630006543636,54.9000318504874,0.903502391227083
homepos_h4,"HOMEPOS, harmonized (four cycles)",35,61.0458522104979,0.805366261530866,59.6672595722211,0.867439531014021,71.0103116327921,0.871376949947394,67.2167651486031,0.861099903436407
hisei,HISEI,35,79.3744459226826,0.829476827044387,74.2378200132571,0.830259246084699,77.5241248299012,0.853617682520362,76.4033556272356,0.890538482947829
pared_c,PARED (common scale),35,52.2384307580157,0.804985465711171,49.1246469204855,0.828627086811619,46.7352240211583,0.805117885019829,59.6526213337493,0.811720387374668
books,Books at home (six categories),35,94.7850095748976,0.805985209399623,90.960124506425,0.806023113279295,97.4954618105574,0.859999302835735,94.9124816213237,0.871910984082154
escs_trend2022,"ESCS, official OECD 2022 trend rescaling",35,89.1052480886474,0.856804281171926,85.8568181834413,0.888109357874587,96.6570900183972,0.897786580755336,83.8095145371207,0.964278047754983
homepos_trend2022,"HOMEPOS, official OECD 2022 trend rescaling",35,73.0525926597944,0.832293510702272,72.5853606777287,0.867565474248798,93.9805483044179,0.895630006543636,54.9000318504874,0.903502391227083
