item,a,steps
st250q01ja,0.877910040535588,[-2.3801185730472008]
st250q02ja,1.54563362041161,[-2.0267783451373877]
st250q03ja,0.850775066535036,[-1.5567171520207816]
st250q04ja,1.27944633462377,[-3.614735289791017]
st250q05ja,1.45302930698504,[-2.9508406999832775]
st251q01ja,0.73621424634931,"[-2.0176386971912366,-0.34965263027108823,1.3800981465745441]"
st251q03ja,1.51576207074389,"[-2.5820922939353532,0.26201111404818445,1.6414956415512756]"
st251q04ja,1.40456091350602,"[-2.3908966888692937,-0.17954069729582386,1.2822444881574497]"
st251q06ja,0.428996755008454,"[0.82276337370901198,1.4768890278967066,-0.19056449620867874]"
st251q07ja,1.03239566848745,[-0.98720650504442375]
st254q01ja,0.660670087974761,"[-5.3541269747926021,0.50441041630437833]"
st254q02ja,0.712016723861626,"[-0.81499336380450971,2.6456601704123859,3.4576227547460885]"
st254q03ja,1.24260519518998,"[-1.9874512753985247,0.5922378264796917,2.4079315972540876]"
st254q04ja,0.840185455001618,"[-1.0943343036458084,1.632219627555541]"
st254q05ja,0.687436281319144,"[2.0364579927282556,3.4544493357128681]"
st255q01ja,0.349287387436926,"[0.23839996882436601,-1.6289745389919208,1.8866793657179766,1.2750876788781798,2.721728213058467]"
