item,a,steps
st250q01ja,0.870543804831429,[-2.3952931384079061]
st250q02ja,1.54460450940116,[-2.0268437126294496]
st250q03ja,0.855016624360328,[-1.5496553287368697]
st250q04ja,1.26616498514889,[-3.6412410150924024]
st250q05ja,1.4421713127238,[-2.9649020644513584]
st251q01ja,0.737561129899242,"[-2.0145612330997182,-0.34784043652731922,1.3773799980662162]"
st251q03ja,1.46478341726763,"[-2.6251172727733483,0.27023999017273942,1.6548919191321634]"
st251q04ja,1.35784754367387,"[-2.4262277217640409,-0.17841283891226054,1.2930511598466541]"
st251q06ja,0.438317860472655,"[0.79917333875870999,1.4512139387767844,-0.17082644130384533]"
st251q07ja,0.440080005639263,"[1.6137566209795295,0.28307990413356421,-3.1648633577362681]"
st254q01ja,0.637694255919327,"[-5.5264467170539584,0.70927133222669225,3.5373111980843341]"
st254q02ja,0.724904642072852,"[-0.80422305327980159,2.6093960224895327,3.4226639111196642]"
st254q03ja,1.28488630078549,"[-1.9530133290105427,0.58169729217309152,2.3691441834159743]"
st254q04ja,0.791912037481615,"[-1.1441778342956992,1.9137682165473586,2.8238323932853233]"
st254q05ja,0.652658348892656,"[2.1255304378345223,3.9435313135108507,3.1131130560756799]"
st255q01ja,0.344458085495665,"[-3.8905886015807667,-0.5546932960823634,-1.6311052578127625,1.9203639932391092,1.2884110884113655,2.7452629838897828]"
