item,a,steps
room,0.854141179539641,[-2.4812327497077082]
computer,1.96444620087102,[-1.8120252198003293]
software,0.81612924785555,[-1.0040990023684913]
internet,1.8785987275024,[-2.5156420908585191]
art,1.0161835812641,[-0.84283160782236333]
instruments,0.451276005898899,"[0.41744984436200444,1.2042345527831033,-0.13771607416983264]"
cars,0.680268805660416,"[-2.5295975685009942,-0.40403981089644064,1.4935103909519432]"
bathrooms,0.947357281664199,"[-3.7288399576548801,0.32357334606100763,1.8675527158384828]"
televisions,0.57498314299762,"[-6.412080269255874,0.40079586734496836]"
tablets,0.829381732548983,"[-1.2467042948126259,1.6889708409993762]"
ereaders,0.733316216679612,"[1.9138446030918657,3.45555587347777]"
computers,3.80776939715311,[-1.8601548138907698]
books,0.345786164704281,"[-0.40607442298338925,-1.8491341293333587,1.7060258463313975,1.1301812110799616,2.5338889451965434]"
