item,a,steps
room,0.891634327258693,[-2.3519181206395365]
computer,2.09814173358916,[-1.7023330553604521]
software,0.883071874020613,[-0.92519305768047932]
internet,2.03312740048436,[-2.3159226057963029]
art,0.991928287132133,[-0.84589315065973214]
instruments,0.471441443677813,"[0.46597808468340501,1.2025315986634699,-0.072238318626578243]"
cars,0.744452123597235,"[-2.1137611053707164,-0.32861493473441106,1.4316788324816612]"
bathrooms,0.976454191144726,"[-3.4422642140277753,0.39495484948346027,1.8531931750990458]"
televisions,0.61764291945334,"[-5.9565866034487263,0.45531063639684372]"
tablets,0.866191877657449,"[-1.1129116811385042,1.6799970122301653]"
ereaders,0.704079831390752,"[2.0518606941273618,3.4954187771714591]"
computers,4.144782021523,[-1.7460097209960104]
books,0.363027180236576,"[-0.30146184865681558,-1.6810588516987319,1.6886683079983473,1.135260092854496,2.4612470494941303]"
