cnt,ST250Q08DA,ST250Q09DA,ST250Q10DA,ST250Q11DA,ST250Q12DA,ST250Q13DA,ST250Q14DA,ST250Q15DA,ST250Q16DA,ST250Q18DA,ST250Q19DA,ST250Q20DA,ST250Q21DA,ST250Q22DA,ST250Q23DA,ST250Q24DA,ST250Q25DA,ST250Q26DA,ST250Q27DA,ST250Q28DA
AUS,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0
AUT,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
BEL,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1
CAN,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
CHL,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0
COL,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
CZE,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0
DNK,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
EST,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0
FIN,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0
FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
DEU,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1
GRC,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
HUN,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
ISL,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
IRL,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0
ISR,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
ITA,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0
JPN,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
KOR,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0
LVA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
MEX,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
NLD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
NZL,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0
NOR,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
POL,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1
PRT,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0
SVK,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0
SVN,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0
ESP,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1
SWE,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
CHE,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
TUR,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0
GBR,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0
USA,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
