cnt,wave,index,domain,n,weight_Q1,n_Q1,weight_Q2,n_Q2,weight_Q3,n_Q3,weight_Q4,n_Q4
AUS,2022,escs,math,12971,25.007748032372,3181,24.9941762307884,3202,24.9994114696942,3236,24.9986642671454,3352
AUS,2022,escs_h,math,12962,25.0023854000763,3193,24.9994782930874,3220,24.9984978963517,3203,24.9996384104846,3346
AUS,2022,escs_pca,math,12962,25.0102194104645,3191,24.9975140394105,3215,24.9977192721128,3213,24.9945472780122,3343
AUS,2022,hisei_h,math,12272,25.008337354493,2942,24.9970486664303,3056,25.0021375916509,3098,24.9924763874258,3176
AUS,2022,pared_h,math,12921,25.005428927353,3229,24.9952552560063,3177,25.0035556925865,3234,24.9957601240543,3281
AUS,2022,homepos,math,13077,25.0170504976141,3217,24.9920606793694,3217,25.0016155340399,3301,24.9892732889766,3342
AUS,2022,homepos_h,math,13052,25.0032309787207,3286,25.0081039248354,3189,24.9957314093385,3328,24.9929336871054,3249
AUS,2022,books_h,math,13046,25.0076312254754,3168,25.0019756637253,3238,24.9947912925358,3227,24.9956018182636,3413
AUS,2022,escs_cc,math,12207,25.0038948425721,3009,24.99976582682,3005,24.9976932319492,3036,24.9986460986588,3157
AUS,2022,escs_h_cc,math,12207,25.000635769149,3017,25.0001535750814,3032,24.9999397522002,3005,24.9992709035694,3153
AUS,2022,escs_h_min3,math,12973,25.0014598619507,3201,25.0013782666449,3217,25.0118213980522,3206,24.9853404733522,3349
AUS,2025,escs,math,13976,25.0089370411851,3525,24.9937857331147,3480,24.9982519574494,3544,24.9990252682508,3427
AUS,2025,escs_h,math,13971,25.001150438149,3534,25.0125259947887,3486,24.9884301601209,3511,24.9978934069414,3440
AUS,2025,escs_pca,math,13971,25.0118201895185,3538,25.0007547138017,3481,24.9895775623883,3513,24.9978475342916,3439
AUS,2025,hisei_h,math,13119,25.0053464220945,3273,25.001810261904,3286,25.0000728995419,3269,24.9927704164597,3291
AUS,2025,pared_h,math,13322,25.0045969549116,3406,24.9985292975647,3334,25.0038789423318,3289,24.9929948051919,3293
AUS,2025,homepos,math,14319,25.0026604308718,3666,25.0047855034948,3600,24.996980646103,3545,24.9955734195305,3508
AUS,2025,homepos_h,math,14284,25.0027654040347,3638,24.9997982248742,3592,24.9994639439332,3533,24.997972427158,3521
AUS,2025,books_h,math,14261,25.0012474281016,3486,25.0009085951767,3512,25.0051505000653,3606,24.9926934766564,3657
AUS,2025,escs_cc,math,12451,25.0082555926373,3175,24.9921497037853,3088,25.0010852841343,3135,24.9985094194431,3053
AUS,2025,escs_h_cc,math,12451,25.0018608520572,3173,25.0074726893205,3096,24.9909838840583,3120,24.999682574564,3062
AUS,2025,escs_h_min3,math,13976,25.0017061908159,3545,24.9989357201215,3463,25.0005493351489,3525,24.9988087539137,3443
AUT,2022,escs,math,5981,25.0129926241434,1427,24.9922321028168,1514,24.9998905229508,1527,24.9948847500889,1513
AUT,2022,escs_h,math,5984,25.004890058602,1446,25.0071498183397,1502,24.9956867248943,1524,24.992273398164,1512
AUT,2022,escs_pca,math,5984,25.0006786205431,1449,25.0092160903941,1492,24.9922284183313,1533,24.9978768707315,1510
AUT,2022,hisei_h,math,5613,25.0069674618052,1361,24.9965550404847,1419,25.0035278866516,1426,24.9929496110586,1407
