cnt,escs_Q1_change,escs_Q4_change,escs_Q4-Q1_change,escs_Q4-Q1_se,escs_h_Q1_change,escs_h_Q4_change,escs_h_Q4-Q1_change,escs_h_Q4-Q1_se,homepos_Q1_change,homepos_Q4_change,homepos_Q4-Q1_change,homepos_Q4-Q1_se,homepos_h_Q1_change,homepos_h_Q4_change,homepos_h_Q4-Q1_change,homepos_h_Q4-Q1_se
ISR,2.989934997337,-38.5255938949239,-41.5155288922609,7.69138770284107,-4.43920418661526,-21.7625394871511,-17.3233353005358,7.38909810894122,10.1770024810533,-55.2120838431418,-65.389086324195,7.73672132083187,-13.0693753817305,-29.7941167493929,-16.7247413676623,7.15024354078527
LTU,8.28603957005521,-17.6888521432074,-25.9748917132626,6.14583188540129,2.36359700188217,-9.45570523488908,-11.8193022367713,6.45786836541718,18.1223252426315,-24.9313365600545,-43.053661802686,5.73773188347435,-0.00239384123881337,-8.68823685755308,-8.68584301631427,5.48962695589154
AUT,2.60296022834166,-22.4477317251785,-25.0506919535202,5.4311535124168,-4.51803521350558,-14.5591571395037,-10.0411219259981,5.69808404684791,10.7417610538043,-29.1851284155385,-39.9268894693428,6.13906665630357,-3.7753805339953,-12.9195548514259,-9.14417431743055,6.42287177831038
SVN,-11.6021498198778,-36.365103784337,-24.7629539644593,5.88021475285685,-17.9013614521199,-20.6659599892158,-2.76459853709588,5.62481445314128,-1.56846505197916,-51.9989832474578,-50.4305181954787,6.20744296252734,-24.8699910283461,-24.300080386321,0.569910642025093,6.24461550661649
BEL,4.7341241276759,-14.9918356117882,-19.7259597394641,6.68892926432053,0.942433508324996,-7.05465427128672,-7.99708777961172,6.52557054297674,8.31334977801146,-28.4000643093684,-36.7134140873798,7.33984803338143,-2.24427493583715,-9.41151445288961,-7.16723951705245,7.33060671287518
CHE,2.23179854052262,-17.0160698374104,-19.2478683779331,6.30360819644883,-2.81104738831505,-5.54795509739824,-2.7369077090832,6.40483131232734,17.1988933983053,-43.7570857905882,-60.9559791888935,6.8307030745574,-0.77132320840866,-21.4777999208581,-20.7064767124494,6.65014468498624
SWE,-10.4833043237023,-29.6459939160481,-19.1626895923458,5.8571617898521,-17.1909712612266,-19.9561121247904,-2.76514086356377,6.03399407415401,8.97565787171516,-45.9189140666343,-54.8945719383495,6.20003342091367,-7.31562231788007,-25.7127760705941,-18.397153752714,6.45811990184396
AUS,-2.41380259875558,-20.8376280526044,-18.4238254538488,5.03804855211236,-6.8953294552702,-9.90350935269817,-3.00817989742797,4.89250156434117,10.2022716745628,-34.1172500637413,-44.3195217383041,5.11925685542883,-5.22876802914152,-14.9615787026864,-9.73281067354486,5.01339677062664
FRA,-2.2838723178163,-20.3883037144701,-18.1044313966538,6.71807056112552,-9.27755925559819,-14.0178689527072,-4.74030969710901,6.49625948754107,3.82670274771658,-35.9569531938769,-39.7836559415935,6.06393622693814,-10.3101138644555,-14.9971158430984,-4.68700197864285,6.45496096983916
HUN,-4.04366079606331,-21.2705222691369,-17.2268614730736,8.46514797117977,-10.3956592525155,-17.3072459018836,-6.91158664936808,8.33350404381577,7.44888301758175,-29.8470677802556,-37.2959507978374,7.50853682011365,-9.40000957958392,-15.9074508064712,-6.5074412268873,7.8736703640388
SVK,19.3925150596999,2.44152760755014,-16.9509874521498,8.89978288123478,7.83627167480728,7.288396135428,-0.547875539379277,8.77800536468906,34.0466416983916,-17.4788337425735,-51.5254754409651,9.54045977490834,14.8072661889945,2.43899278387107,-12.3682734051234,9.07880073089035
LVA,-8.85851802530891,-25.2713297365631,-16.4128117112542,5.09535061311798,-13.495753157481,-21.0120456018114,-7.51629244433036,5.3168950887762,-9.78065382522595,-38.1805903546015,-28.3999365293756,4.79351216177881,-22.8502801442364,-25.2820915668799,-2.43181142264348,4.59658686031626
CZE,2.66167381053015,-13.5179851336599,-16.17965894419,6.71359268191418,-6.08296513231375,-7.02571719732373,-0.942752065009984,6.76319738059787,13.5022656515067,-29.9618275417551,-43.4640931932618,6.28393030433721,-9.385448958734,-6.24092253150224,3.14452642723177,6.366691490762
DNK,-7.59652573478184,-23.662091170779,-16.0655654359972,6.15119725479179,-9.99602108902536,-11.9924910683847,-1.99646997935929,5.89640240357442,-7.78436304723329,-33.1619274036245,-25.3775643563912,5.51933172875238,-17.754869175511,-19.2332497928456,-1.47838061733466,5.90652772441006
NZL,15.6347577341109,-0.380275819241092,-16.015033553352,6.71554127487626,11.8017446294225,7.8709773809245,-3.930767248498,6.58702100066107,15.5545943076988,-8.11600507528908,-23.6705993829879,6.39954910327236,5.75376487278777,4.37124925083492,-1.38251562195285,7.03492409169988
POL,3.69405025679043,-11.258938574406,-14.9529888311964,6.92538235314554,-3.03000395294538,-6.04649426311039,-3.01649031016501,7.02076798521839,16.9267987473254,-24.4368932822396,-41.363692029565,6.49766641396082,3.56101969677053,-3.9852697413811,-7.54628943815163,6.35841439904841
ISL,5.8064417202516,-8.15258846915674,-13.9590301894083,6.59937514188335,1.49456652986004,3.68930730328538,2.19474077342534,6.38255670215122,-3.49923011217965,-23.4181159537934,-19.9188858416138,6.460232715472,-15.815603214261,-5.23828304088482,10.5773201733762,6.15529399938017
ESP,-10.4918591535478,-24.1669847733004,-13.6751256197526,4.03142138136166,-14.9908291611629,-14.7801423313369,0.210686829825931,4.03054340228775,2.77429705282657,-35.1579761782605,-37.932273231087,4.38309302577536,-13.0087147167809,-16.4733197625937,-3.46460504581285,4.43845018130233
CAN,-6.2948965064333,-19.9492210214185,-13.6543245149851,4.53432223345221,-9.55881533640928,-10.9818941672986,-1.42307883088932,4.64084690189764,0.704158045827114,-33.9025812688183,-34.6067393146454,4.80988438814591,-12.2802697027715,-11.6363280375748,0.643941665196678,4.971963205073
FIN,-8.40295400756105,-20.6934754821934,-12.2905214746324,4.68285064837308,-14.3022267180444,-11.2888973794232,3.01332933862119,4.32649864479936,9.34524111152882,-35.4494185209401,-44.7946596324689,4.43368031928013,-6.28019668914465,-16.4778122227384,-10.1976155335938,4.50845670026001
USA,3.82526284634361,-5.18972786839458,-9.01499071473819,18.5685562092647,-3.2810007489777,4.10266725557585,7.38366800455356,18.9460041822547,5.28592758777484,-22.4280355712682,-27.713963159043,14.9489872705111,-0.671421860264843,-6.11272603488408,-5.44130417461923,16.4554790779423
KOR,-5.31888000025504,-12.3966087712356,-7.07772877098057,9.76926242293995,-12.9980140380554,-4.59213113378007,8.40588290427536,8.88762404629918,9.13468448577817,-16.1610752411164,-25.2957597268945,10.6416498337821,-7.11402566660718,-3.66608440275706,3.44794126385011,9.85777213797281
ITA,0.933102004444265,-5.15498655259506,-6.08808855703933,7.5620236824046,-6.52043235850113,-0.624703264184291,5.89572909431684,7.34395781814918,3.74860420807033,-15.4586356011925,-19.2072398092628,6.98356548650427,-10.1448386453473,-2.0173669175129,8.1274717278344,6.52476238301516
EST,-4.00128909779846,-9.32249783480074,-5.32120873700228,6.23501132270749,-8.61403312180232,-2.78686581863963,5.8271673031627,6.17921412235303,16.5352394636881,-18.8952442459566,-35.4304837096448,5.45287699913751,-1.99040045125003,-4.878278336378,-2.88787788512798,5.62791326463057
NLD,-7.28598400127675,-11.5414947326582,-4.25551073138143,8.66886045408776,-6.06696009374082,-6.4623514239114,-0.395391330170583,8.53683194770585,10.0033585097103,-36.0697480283721,-46.0731065380824,8.15391489710701,17.6767064091334,-18.2856619692512,-35.9623683783846,8.59832558210518
NOR,-18.4509628160386,-20.9052388289678,-2.45427601292926,5.82581698429719,-24.1719341350342,-8.93630107289482,15.2356330621394,5.99989853457652,0.631455390646579,-34.8086517004666,-35.4401070911132,5.98395895852401,-14.362885176583,-16.013666377675,-1.650781201092,6.47110995186588
JPN,-8.0814040721491,-10.1055847639049,-2.02418069175576,9.64763038088957,-15.2903047899487,-0.107951467466819,15.1823533224818,9.6709546323735,5.70692814596004,-34.5109130435923,-40.2178411895523,7.87511345744697,-9.37801982467005,-9.98986031476261,-0.611840490092561,8.58037702269968
MEX,-6.51598012921295,-7.82042469403291,-1.30444456481996,5.95110001269045,-8.91616659274376,-4.93365017345298,3.98251641929079,6.12759461972408,2.17437646394649,-17.7578294838585,-19.932205947805,6.27885820991907,-5.82529160350333,-9.44299474984899,-3.61770314634566,6.1062415691984
