cnt,escs_Q1_change,escs_Q4_change,escs_Q4-Q1_change,escs_Q4-Q1_se,escs_h_Q1_change,escs_h_Q4_change,escs_h_Q4-Q1_change,escs_h_Q4-Q1_se,homepos_Q1_change,homepos_Q4_change,homepos_Q4-Q1_change,homepos_Q4-Q1_se,homepos_h_Q1_change,homepos_h_Q4_change,homepos_h_Q4-Q1_change,homepos_h_Q4-Q1_se
ISR,2.57688523738966,-50.696430135803,-53.2733153731927,8.37052385250301,-7.55155401879131,-32.2162524001263,-24.664698381335,8.48630339317521,-1.96298218963375,-67.2772724009728,-65.314290211339,8.65063359558829,-27.7712153347902,-38.0295294543053,-10.258314119515,8.53272746415235
CHE,9.25742523552736,-28.4833097978841,-37.7407350334115,6.98154135705511,1.5525447319074,-17.6151700111383,-19.1677147430457,7.13815913355693,18.6756848208437,-53.6505113576772,-72.3261961785209,7.27992573189438,-3.50441939489014,-28.6883629048031,-25.183943509913,7.0789307274464
HUN,-2.04004725362609,-36.9153488076773,-34.8753015540512,8.47105931471418,-9.36380325120149,-33.0922477355022,-23.7284444843007,8.35746179352363,8.43831629473283,-44.847992303205,-53.2863085979379,7.84078905175154,-9.6218301956979,-29.1566195322567,-19.5347893365588,8.28641083769476
BEL,8.46380261593708,-22.7918250965205,-31.2556277124576,7.37152506176004,3.97333785613631,-12.1021402235108,-16.0754780796471,7.28708844301295,12.2900037263777,-37.3095281846322,-49.5995319110099,8.41125915938839,0.351837651596668,-14.3217717238496,-14.6736093754462,8.25198076658302
CZE,0.76666836386994,-29.777918744962,-30.5445871088319,7.27973510343946,-10.0696012876472,-24.0284635314341,-13.9588622437869,7.3385265764113,5.87811247425623,-44.4522033637508,-50.330315838007,6.97509968889452,-19.5248088427958,-17.6411937444231,1.88361509837273,6.62808740310477
AUT,4.5536918063579,-25.8765624586947,-30.4302542650526,6.51157964127869,-2.85751561922132,-17.2898323005045,-14.4323166812832,6.64222613654031,12.8600358518872,-38.2682408260222,-51.1282766779094,6.82823934946807,-2.58435957911087,-18.7619339515247,-16.1775743724139,7.20262406182734
LTU,6.02848506717101,-21.2930547792385,-27.3215398464095,6.83164818686574,-0.125676211823873,-10.4104067481637,-10.2847305363399,7.00899843541538,18.9275137624547,-29.6027119273271,-48.5302256897817,6.17006011839443,-2.6470709385049,-11.397883184798,-8.75081224629315,6.13064592193211
LVA,-24.6726856684021,-50.2023706490675,-25.5296849806654,5.79468660064616,-29.1646041535693,-44.6669989200345,-15.5023947664653,6.1715179439952,-26.4199860570089,-65.1772992257281,-38.7573131687192,5.61622895190606,-43.6893228140339,-48.4986481143803,-4.80932530034636,5.60629416933082
FRA,0.491756093444394,-22.8326509539429,-23.3244070473873,7.82453964997381,-8.009299563649,-15.6065313869715,-7.59723182332249,7.73085555463623,7.43589413229904,-43.1246378520915,-50.5605319843905,7.22325744893525,-9.66373294378099,-19.5308208522217,-9.86708790844068,7.91218323554692
SVN,-9.09531519153194,-30.8563622310058,-21.7610470394739,6.51778613304423,-15.2494108994482,-13.225166847105,2.02424405234314,6.41546330137747,-0.744586688599554,-46.246922883406,-45.5023361948064,7.2820501980035,-22.5847926334196,-19.1990848737278,3.38570775969174,7.67065702616612
POL,4.90113085305757,-16.6787915451008,-21.5799223981584,7.96724075231138,-3.75341808517936,-8.25825951238244,-4.50484142720308,7.70517688107266,18.450285624763,-32.5520008522413,-51.0022864770043,7.25939561587322,1.86375092891183,-7.72043920544127,-9.58419013435309,7.38665470219776
KOR,-8.28152003727968,-29.22945093359,-20.9479308963103,8.33453952078429,-14.1902919477881,-22.1996823788267,-8.00939043103853,8.05239966755677,12.6829533505044,-35.6798244390631,-48.3627777895675,10.267521555262,-4.28385907816914,-22.637147081923,-18.3532880037538,8.97536827546265
AUS,1.38025782864992,-19.2337694722306,-20.6140273008805,5.3143991949103,-3.35919318959458,-5.87131771370025,-2.51212452410567,5.00522411294817,14.1982189278326,-31.4345943696295,-45.632813297462,5.4221584850484,-5.37158874553205,-9.44702738893369,-4.07543864340164,5.32621161144845
ISL,4.10062514145704,-14.38429940704,-18.484924548497,7.44339748686646,-1.9906744363368,0.256223200942543,2.24689763727935,6.96258507616403,-2.1564074541995,-33.7353511493188,-31.5789436951193,7.5165602295257,-18.8641950887259,-11.4682597384977,7.39593535022823,7.19505751211091
GBR,2.93986743374495,-15.1124231992416,-18.0522906329865,7.69064278556727,1.11709869359265,-3.76760138303882,-4.88470007663148,7.98851843359063,20.1872157993243,-25.7218452294576,-45.9090610287819,6.96780545848125,4.87137950564852,-7.04402545640437,-11.9154049620529,7.5388971685238
ESP,-15.0434994947136,-33.0319533306006,-17.988453835887,4.71047168994582,-19.2852957439057,-22.5623736089842,-3.27707786507847,4.80361828202418,-4.10993283527517,-41.5972885134447,-37.4873556781695,4.9356917171182,-18.7394616667012,-21.450683687626,-2.71122202092482,5.2223927504886
SWE,-14.2319770902321,-32.205618008605,-17.973640918373,7.29856516928242,-21.9052972937874,-21.1866429317479,0.718654362039501,7.55683269296483,7.58318566420417,-51.2135947254375,-58.7967803896417,7.31451884812396,-12.7310689476628,-26.3718078688683,-13.6407389212055,7.82747115202742
CAN,-9.92612996865307,-27.4250052035411,-17.498875234888,5.39574494534596,-13.1472983897077,-17.0118982177364,-3.8645998280287,5.5842535287937,-1.66052223981933,-41.6468387105973,-39.986316470778,5.88119888143407,-13.3623538472457,-19.7768555527492,-6.41450170550354,5.78412102663443
NZL,11.1637407927488,-5.36138943380422,-16.525130226553,7.09033651948389,6.10835987670259,5.51599749777597,-0.592362378926623,6.92357091934892,7.84512137840642,-11.5144857120656,-19.359607090472,7.01739807491224,-4.40068946638866,3.18941443005679,7.59010389644544,7.33195386291365
