cnt,escs_Q1_change,escs_Q4_change,escs_Q4-Q1_change,escs_Q4-Q1_se,escs_h_Q1_change,escs_h_Q4_change,escs_h_Q4-Q1_change,escs_h_Q4-Q1_se,homepos_Q1_change,homepos_Q4_change,homepos_Q4-Q1_change,homepos_Q4-Q1_se,homepos_h_Q1_change,homepos_h_Q4_change,homepos_h_Q4-Q1_change,homepos_h_Q4-Q1_se
ISR,7.36758543610364,-29.8205881597996,-37.1881735959033,7.53968439589299,-0.46872982933246,-11.5798149784288,-11.1110851490964,7.97827288678448,7.55288312534242,-47.7724218568725,-55.3253049822149,7.90385387026576,-14.9926826368127,-19.1023112781717,-4.109628641359,7.79272276175632
AUT,19.7328433710513,-6.23969941026701,-25.9725427813183,6.3846994757615,12.8330702029481,2.54486522713273,-10.2882049758154,6.37749362826247,32.3187029643659,-20.9265601943468,-53.2452631587127,6.92814170166937,16.404038330379,-2.54030281576536,-18.9443411461443,7.18066686955251
LTU,16.2690966426524,-9.33217473386367,-25.601271376516,6.21982999467286,9.97318495016879,0.648335698939945,-9.32484925122884,6.37082108241472,26.03159739736,-17.2062236196768,-43.2378210170368,5.81188918753759,6.64968230850451,0.0665847037985259,-6.58309760470598,5.56274109384843
SVK,31.5245307804842,8.16883268779611,-23.355698092688,8.97363377976868,19.7396579587573,14.3429383310083,-5.39671962774901,8.83366067178162,45.5309774095313,-12.5447357687578,-58.0757131782892,9.53131366522555,24.9394197376918,8.1241916218263,-16.8152281158655,9.02258847842018
CZE,9.22812614526055,-13.573780264756,-22.8019064100166,7.63991108121146,-0.0941368088231229,-6.25283876325443,-6.15870195443131,7.71931099312277,22.0294863169987,-33.9450077053832,-55.9744940223819,7.11803277234422,-2.64138916300323,-7.7513985128071,-5.11000934980388,7.03741207820513
HUN,6.74805306801534,-15.9091966677722,-22.6572497357876,8.36742457637302,-0.265620852431994,-11.2945955817704,-11.0289747293384,8.11939830917527,15.1292951270566,-24.4220792576919,-39.5513743847484,7.76576293637601,-1.26669367773997,-7.38847174807279,-6.12177807033282,7.90118357986848
AUS,10.2725903969427,-11.9062097189958,-22.1788001159385,5.83979207107909,5.05183262575366,2.1195328736618,-2.93229975209187,5.62284896333813,25.7457121624088,-26.257109719258,-52.0028218816668,5.65605379492575,6.71285679899387,-2.31203366735713,-9.024890466351,5.60261186203662
BEL,16.6786327338848,-5.27127198288054,-21.9499047167653,6.92225930836345,12.275599335044,4.42781744767319,-7.84778188737079,6.72336341199564,20.4553670757268,-22.1305632595536,-42.5859303352804,7.73907944880318,8.02616889386792,-1.40552715280546,-9.43169604667338,7.70963509567317
FRA,13.3088941859372,-8.06779093931141,-21.3766851252486,7.38533417420319,5.96093283749633,-0.517440109517565,-6.4783729470139,7.03315003781982,18.9745198971141,-27.1250053478254,-46.0995252449395,7.01461905222545,2.81602159447357,-3.30695520383097,-6.12297679830454,7.51391355712209
CHE,9.5911388119614,-11.2045019718837,-20.7956407838451,6.62533602035652,2.85963149721857,1.22022461318761,-1.63940688403096,6.77977546631336,24.701184137052,-38.6889184277317,-63.3901025647837,7.11675894320249,2.64248979444375,-12.61099952415,-15.2534893185937,6.83913165715079
