index,cnt,n_systems,Q1_2022,Q1_2025,Q1_change,Q1_se,Q2_2022,Q2_2025,Q2_change,Q2_se,Q3_2022,Q3_2025,Q3_change,Q3_se,Q4_2022,Q4_2025,Q4_change,Q4_se,Q2-Q1_2022,Q2-Q1_2025,Q2-Q1_change,Q2-Q1_se,Q3-Q1_2022,Q3-Q1_2025,Q3-Q1_change,Q3-Q1_se,Q4-Q1_2022,Q4-Q1_2025,Q4-Q1_change,Q4-Q1_se,Q3-Q2_2022,Q3-Q2_2025,Q3-Q2_change,Q3-Q2_se,Q4-Q2_2022,Q4-Q2_2025,Q4-Q2_change,Q4-Q2_se,Q4-Q3_2022,Q4-Q3_2025,Q4-Q3_change,Q4-Q3_se,domain,calibration
escs,OECD35,35,431.429186165496,428.859493146884,-2.56969301861164,1.46694241720964,461.60559053122,457.958290214416,-3.64730031680421,1.48350054677988,488.031269861247,485.578419470515,-2.45285039073252,1.52881652713029,525.096143750741,511.385427127144,-13.7107166235964,1.60589496716392,30.1764043657242,29.0987970675316,-1.07760729819256,0.948356320823973,56.6020836957513,56.7189263236304,0.116842627879123,1.0607617859153,93.6669575852446,82.5259339802598,-11.1410236049848,1.26958675530745,26.4256793300271,27.6201292560988,1.19444992607168,0.985347525565594,63.4905532195204,53.4271369127282,-10.0634163067922,1.17768842992271,37.0648738894933,25.8070076566294,-11.2578662328639,1.05070592860619,math,authors_original
escs,OECD34_without_NLD,34,430.991179454917,428.560200876972,-2.43097857794498,1.46731173336489,461.358186251556,457.564560692341,-3.79362555921517,1.48344720361908,487.233781068442,484.888149514641,-2.3456315538013,1.53447401580104,524.295423186902,510.520905919454,-13.7745172674476,1.61795930068677,30.3670067966385,29.0043598153683,-1.36264698127019,0.955160810879393,56.2426016135249,56.3279486376686,0.0853470241436867,1.06594031618065,93.3042437319845,81.9607050424818,-11.3435386895026,1.28181577954874,25.8755948168864,27.3235888223003,1.44799400541388,0.995087106373354,62.9372369353459,52.9563452271135,-9.98089170823243,1.19012311349589,37.0616421184595,25.6327564048132,-11.4288857136463,1.06600232681022,math,authors_original
escs_h,OECD35,35,435.159615612986,427.424890614235,-7.73472499875169,1.4699874752704,462.770995749215,458.24326816744,-4.52772758177503,1.48224112029163,489.535712572502,485.481764606368,-4.05394796613484,1.5193483937159,519.714937622902,513.785454643991,-5.92948297891132,1.60830994069828,27.6113801362288,30.8183775532055,3.20699741697666,0.961467368965512,54.3760969595159,58.0568739921328,3.68077703261685,1.05449583875345,84.5553220099155,86.3605640297559,1.80524201984036,1.26775768560654,26.7647168232871,27.2384964389273,0.473779615640183,0.972941556091023,56.9439418736867,55.5421864765504,-1.4017553971363,1.16998790082036,30.1792250503996,28.3036900376231,-1.87553501277648,1.06129759758838,math,authors_original
escs_h,OECD34_without_NLD,34,434.6800639667,426.896287058977,-7.78377690772254,1.47017485910354,462.566942181619,457.80458512782,-4.76235705379855,1.48216398130849,488.721216209428,484.687112189713,-4.0341040197157,1.52231893757774,518.947507955208,513.03369757762,-5.91381037758799,1.62046858040578,27.8868782149191,30.9082980688431,3.02141985392399,0.96513323462231,54.0411522427288,57.7908251307357,3.74967288800684,1.05333695700438,84.2674439885084,86.137410518643,1.86996653013455,1.28066341693753,26.1542740278097,26.8825270618925,0.728253034082854,0.978699452688024,56.3805657735893,55.2291124497999,-1.15145332378944,1.18311163492404,30.2262917457796,28.3465853879073,-1.87970635787229,1.07073277572198,math,authors_original
homepos,OECD35,35,426.147687368826,433.481847196696,7.33415982786954,1.51448090513723,466.84136311932,464.862032682788,-1.97933043653171,1.50097053719378,493.031987386892,480.77416724242,-12.2578201444727,1.50124363669771,516.377580650927,488.799400892115,-27.5781797588114,1.55728246209587,40.6936757504932,31.380185486092,-9.31349026440125,0.989981354850431,66.8843000180662,47.2923200457239,-19.5919799723422,1.07844536920269,90.2298932821002,55.3175536954193,-34.9123395866809,1.20652732054919,26.1906242675729,15.9121345596319,-10.278489707941,1.00229191287384,49.536217531607,23.9373682093273,-25.5988493222797,1.07316490738554,23.3455932640341,8.02523364969539,-15.3203596143387,1.00368296835279,math,authors_original
homepos,OECD34_without_NLD,34,425.965246433046,433.220900417332,7.25565398428603,1.51680578067893,466.298987557063,464.186943789882,-2.11204376718121,1.50144363753168,492.304159294683,480.132945838316,-12.1712134563671,1.50564019056846,515.624580821318,488.296153070435,-27.3284277508831,1.56574057068348,40.3337411240177,30.9660433725505,-9.36769775146723,1.00011026536179,66.3389128616372,46.9120454209841,-19.4268674406531,1.08506843775877,89.6593343882725,55.0752526531034,-34.5840817351692,1.21863990018506,26.0051717376195,15.9460020484336,-10.0591696891859,1.00737232761397,49.3255932642548,24.1092092805529,-25.2163839837019,1.07959735332872,23.3204215266353,8.16320723211925,-15.1572142945161,1.01384357130778,math,authors_original
homepos_h,OECD35,35,436.394499759159,430.119111984392,-6.27538777476673,1.51349820332265,472.11828147671,464.132937891169,-7.98534358554065,1.49733074579872,491.545845788506,482.09429920128,-9.45154658722657,1.50655339656473,504.80240005188,494.310502525863,-10.4918975260171,1.56037339323197,35.7237817175514,34.0138259067775,-1.70995581077392,0.996889574010488,55.1513460293478,51.975187216888,-3.17615881245985,1.08855758677136,68.4079002927214,64.191390541471,-4.21650975125039,1.2238674859976,19.4275643117964,17.9613613101105,-1.46620300168593,0.962333624747506,32.68411857517,30.1775646346935,-2.50655394047647,1.07399095162336,13.2565542633736,12.216203324583,-1.04035093879054,1.0471603687214,math,authors_original
homepos_h,OECD34_without_NLD,34,436.30951171459,429.329650581474,-6.97986113311669,1.51201056272788,471.399449427802,463.277586576094,-8.12186285170793,1.50376721737461,490.79643270636,481.468178744057,-9.32825396230379,1.51248080898185,504.184512238113,493.921843078073,-10.2626691600396,1.56797555589412,35.0899377132119,33.9479359946207,-1.14200171859125,1.00540187418016,54.4869209917703,52.1385281625832,-2.34839282918711,1.09649738984033,67.8750005235229,64.5921924966,-3.28280802692291,1.23422118520166,19.3969832785584,18.1905921679625,-1.20639111059586,0.974444531792515,32.785062810311,30.6442565019793,-2.14080630833166,1.08961491663933,13.3880795317526,12.4536643340168,-0.934415197735802,1.05840778596578,math,authors_original
escs_h_min3,OECD35,35,434.686073698704,427.045519376055,-7.64055432264905,1.46895033494641,462.46652258133,457.839660349782,-4.62686223154833,1.48805479955819,489.458588184851,485.147540567761,-4.31104761708917,1.51350500878755,519.601806365999,513.76860867415,-5.83319769184857,1.61661199617356,27.7804488826264,30.7941409737271,3.01369209110072,0.956452849706831,54.7725144861469,58.1020211917068,3.32950670555988,1.04777187021096,84.9157326672951,86.7230892980956,1.80735663080048,1.27826070399879,26.9920656035205,27.3078802179796,0.315814614459157,0.968830985888452,57.1352837846687,55.9289483243684,-1.20633546030024,1.17521618730372,30.1432181811482,28.6210681063888,-1.5221500747594,1.07779170668606,math,authors_original
escs_h_min3,OECD34_without_NLD,34,434.240387599991,426.740848323714,-7.49953927627655,1.4688083485055,462.212620093197,457.389603224436,-4.82301686876053,1.48857144652102,488.641461594629,484.448615916637,-4.19284567799235,1.51623478756927,518.837292082471,512.974818149696,-5.86247393277449,1.62957068712426,27.9722324932062,30.6487549007222,2.67652240751602,0.96281152415702,54.4010739946384,57.7077675929226,3.3066935982842,1.04897226877392,84.59690448248,86.233969825982,1.63706534350206,1.29137728391783,26.4288415014322,27.0590126922004,0.630171190768181,0.973049813446506,56.6246719892738,55.5852149252598,-1.03945706401396,1.18959338793052,30.1958304878416,28.5262022330595,-1.66962825478214,1.08824721333604,math,authors_original
