construction,Q1_change,Q4_change,gap_change,se,coverage
"1. OECD rule: equal-weighted mean, regression imputation (the paper's composite)",-7.708418619869917,-6.156210187135571,1.5522084327344459,1.209514200192873,94.02197162998247
"2. OECD rule, mean of the available components",-8.092674908586389,-5.904869841288132,2.187805067298271,1.2099786680575202,94.02197162998247
"3. OECD rule, complete cases only",-3.324334103882734,-3.093934633358913,0.23039947052400578,1.3119786135295202,82.82259523604199
"4. OECD rule, imputation without the random residual",-7.824282103443409,-5.758302997298756,2.065979106144553,1.232068471419511,94.02197162998247
"5. OECD rule, metric re-anchored in each cycle",-7.9284141931996714,-6.046004625071987,1.8824095681274997,1.187761604392861,94.02197162998247
"6. First principal component, pooled standardisation",-7.341559269302252,-4.854599506299678,2.486959763002588,1.1746874770637232,94.02197162998247
"7. Per-cycle standardisation, per-cycle principal component",-7.0024381408053955,-4.708915389581193,2.2935227512242875,1.1714093650061208,94.02197162998247
"8. Pooled standardisation, per-cycle principal component",-7.083621902815025,-4.7931962165249615,2.290425686290064,1.1940195146238863,94.02197162998247
9. 2022 principal-component weights in both cycles,-7.304562475539569,-4.961532584308543,2.3430298912309127,1.1894593069418724,94.02197162998247
10. 2025 principal-component weights in both cycles,-7.47786769715367,-4.802716484855409,2.675151212298374,1.1813146206688017,94.02197162998247
