construction,Q1_change,Q4_change,gap_change,se,coverage
"1. OECD rule: equal-weighted mean, regression imputation (the paper's composite)",-9.44509970228063,-11.743227650102938,-2.2981279478221524,1.2805904559598045,94.02197162998247
"2. OECD rule, mean of the available components",-9.87916155949722,-11.641728318884361,-1.7625667593870702,1.2968764243273438,94.02197162998247
"3. OECD rule, complete cases only",-4.509018094941894,-8.1660675093608,-3.657049414418779,1.3722759435580183,82.82259523604199
"4. OECD rule, imputation without the random residual",-9.494848550986433,-11.42556567267161,-1.9307171216848928,1.2996108158647133,94.02197162998247
"5. OECD rule, metric re-anchored in each cycle",-9.72025516893217,-11.665903139134855,-1.945647970202529,1.2642439340626639,94.02197162998247
"6. First principal component, pooled standardisation",-8.979905914920892,-10.260077892210802,-1.2801719772897115,1.21836345129945,94.02197162998247
"7. Per-cycle standardisation, per-cycle principal component",-8.63802904185269,-10.039768183947444,-1.4017391420946836,1.2127674814596736,94.02197162998247
"8. Pooled standardisation, per-cycle principal component",-8.748716037092095,-10.166601001346862,-1.4178849642549523,1.259014675842575,94.02197162998247
9. 2022 principal-component weights in both cycles,-9.01203380912824,-10.351711005022025,-1.3396771958937848,1.2591344976400667,94.02197162998247
10. 2025 principal-component weights in both cycles,-9.093337939592118,-10.204443334188454,-1.11110539459645,1.2412705851134627,94.02197162998247
