construction,Q1_change,Q4_change,gap_change,se,coverage
"1. OECD rule: equal-weighted mean, regression imputation (the paper's composite)",-0.5956076311850325,1.4511198559694094,2.046727487154371,1.2742036678939106,94.02197162998247
"2. OECD rule, mean of the available components",-0.9972837035394946,1.6342572819494308,2.631540985489096,1.2691888696561133,94.02197162998247
"3. OECD rule, complete cases only",4.623558063514508,5.025530529537036,0.40197246602234316,1.3383683809983016,82.82259523604199
"4. OECD rule, imputation without the random residual",-0.670092449073934,1.9010438778843763,2.5711363269581824,1.298441742716832,94.02197162998247
"5. OECD rule, metric re-anchored in each cycle",-0.9168705291684773,1.6294369000348752,2.5463074292033667,1.2528419929007841,94.02197162998247
"6. First principal component, pooled standardisation",-0.1479630782328627,2.962113223824417,3.1100763020573794,1.218478599601717,94.02197162998247
"7. Per-cycle standardisation, per-cycle principal component",0.22229817310318367,3.1687482046972946,2.946450031594381,1.2247330028770698,94.02197162998247
"8. Pooled standardisation, per-cycle principal component",0.08289832631817262,3.0502071781533004,2.967308851835142,1.2473985902038185,94.02197162998247
9. 2022 principal-component weights in both cycles,-0.1539324901570467,2.878708391270493,3.0326408814274544,1.2436498600604506,94.02197162998247
10. 2025 principal-component weights in both cycles,-0.30443383295533977,3.021264617313136,3.3256984502685185,1.2339655375599792,94.02197162998247
