index,decile,n_systems,mean_2022,mean_2025,change,se
escs,1,36,415.8880214516595,415.2219479512193,-0.6660735004401772,1.1061009268570001
escs,2,36,439.9275044174018,435.02592680082,-4.90157761658179,1.1410156216377807
escs,3,36,447.824603807525,445.0091018983861,-2.815501909138902,1.2149278291768162
escs,4,36,459.190691178042,454.49778542420484,-4.692905753837181,1.2278147381487563
escs,5,36,469.70600837744615,466.15568802147345,-3.5503203559727012,1.2716633911153057
escs,6,36,478.7225726896867,476.78536655191226,-1.9372061377744103,1.0814498111967519
escs,7,36,490.4825150092994,487.4350717076826,-3.047443301616795,1.194881099077043
escs,8,36,504.42528187610213,501.6450086028467,-2.780273273255432,1.29073217530849
escs,9,36,521.7278192918718,511.4048645884689,-10.3229547034029,1.384076938328678
escs,10,36,536.9306608486552,513.4926387202811,-23.438022128374087,1.378046423336586
escs,D10-D1,36,121.04263939699563,98.2706907690617,-22.771948627933924,1.7066883327729474
escs_h,1,36,420.65334728934295,413.7705850026271,-6.882762286715831,1.1177422814253326
escs_h,2,36,442.4555857067802,433.48315314886077,-8.972432557919433,1.1117528623810617
escs_h,3,36,450.67944128465206,444.5855663245984,-6.093874960053654,1.0740031377032364
escs_h,4,36,460.23586421783693,454.0334391442984,-6.202425073538507,1.2817281880324036
escs_h,5,36,470.3096322512503,466.0676031175437,-4.242029133706637,1.248051022997441
escs_h,6,36,480.60699557643846,476.29454652957713,-4.312449046861332,1.1781311617906938
escs_h,7,36,492.26031156823467,488.24120260096134,-4.019108967273326,1.2161626797532525
escs_h,8,36,504.491571727309,501.834978814729,-2.656592912579981,1.2184742438798504
escs_h,9,36,518.8944794197712,512.4172663899495,-6.477213029821655,1.401289502693102
escs_h,10,36,526.7232580085042,518.7799783257984,-7.943279682705793,1.390342211232018
escs_h,D10-D1,36,106.0699107191612,105.00939332317122,-1.0605173959899759,1.739833370911557
escs_pca,1,36,424.22256264900653,418.26361634838696,-5.958946300619573,1.0624279524498614
escs_pca,2,36,442.46781183927686,433.190001483042,-9.277810356234852,1.0381217174244823
escs_pca,3,36,448.68743917821496,442.88604463627536,-5.801394541939601,1.2585526815309804
escs_pca,4,36,459.4750584112341,452.470041967453,-7.005016443781074,1.2009476863922974
escs_pca,5,36,468.45500216428945,463.3901073026026,-5.0648948616868665,1.2924922103402532
escs_pca,6,36,479.19947922620713,473.45513174948485,-5.744347476722282,1.1836220338398726
escs_pca,7,36,490.4272020004927,485.4252706246586,-5.00193137583409,1.277338221072259
escs_pca,8,36,504.74425182376046,501.611450643442,-3.132801180318438,1.194502290604839
escs_pca,9,36,519.1070396234263,514.5803515647175,-4.526688058708828,1.5065906928340054
escs_pca,10,36,530.535445941123,524.2574129833516,-6.278032957771416,1.3318506466893736
escs_pca,D10-D1,36,106.31288329211641,105.99379663496461,-0.31908665715180007,1.7020713740174729
homepos,1,36,405.70956146146966,415.83568389759887,10.126122436129208,1.1470574695684006
homepos,2,36,435.5168678204785,441.94097017180775,6.424102351329225,1.1610358183673493
homepos,3,36,451.54752448670234,453.45744035495966,1.9099158682573147,1.2715897110924321
homepos,4,36,464.59245564436833,463.72471012702647,-0.8677455173418593,1.2380668027323853
homepos,5,36,475.0888013032929,470.24625244954797,-4.8425488537449155,1.2850492519145253
homepos,6,36,484.7242420748459,476.6997944013964,-8.024447673449515,1.2212663221427693
homepos,7,36,495.6234594660492,481.78456538578246,-13.838894080266755,1.2150813654742558
homepos,8,36,505.5410021086551,486.2494151085922,-19.29158700006292,1.2408910230527255
homepos,9,36,515.2117357830147,491.0405774553786,-24.17115832763608,1.2393813386105375
homepos,10,36,521.9817123858159,486.7768350759987,-35.204877309817164,1.3049529942463507
homepos,D10-D1,36,116.27215092434615,70.94115117839983,-45.330999745946315,1.642718650591197
homepos_h,1,36,417.0028011838079,409.93857870614863,-7.064222477659257,1.1245478536477047
homepos_h,2,36,444.7887501702511,439.17806138442313,-5.610688785827961,1.1804065626204878
homepos_h,3,36,460.06329978335344,452.48482182655005,-7.578477956803397,1.3366343446826832
homepos_h,4,36,469.49766009522216,460.9048925029704,-8.592767592251732,1.2697402703129792
homepos_h,5,36,479.0860344722581,470.2068909475789,-8.879143524679193,1.2445961952129951
homepos_h,6,36,485.737105426373,476.6067023691068,-9.130403057266165,1.205996756828606
homepos_h,7,36,493.3610599168921,483.4114727863217,-9.949587130570364,1.2645843109039332
homepos_h,8,36,498.41506311324355,490.55686579582215,-7.8581973174214,1.2120989177781907
homepos_h,9,36,505.3306611524229,496.0225295590093,-9.308131593413634,1.1477745285076615
homepos_h,10,36,508.2798913969215,495.1979276393422,-13.08196375757933,1.3830717936208154
homepos_h,D10-D1,36,91.27709021311367,85.2593489331936,-6.01774127992006,1.6357381972524778
