rule,cnt,gap_2022,gap_2025,change,se
Occupation: HISEI >= 60 vs < 35,AUS,70.72047043754088,61.807399700142106,-8.913070737398776,4.762169325294361
Occupation: HISEI >= 60 vs < 35,AUT,86.20825551531405,70.2015312912245,-16.006724224089552,5.588417951090027
Occupation: HISEI >= 60 vs < 35,BEL,85.63095546681222,73.01920097804543,-12.611754488766792,5.621923992019526
Occupation: HISEI >= 60 vs < 35,CAN,52.91230737022763,53.48489841143265,0.5725910412050226,4.489265871546044
Occupation: HISEI >= 60 vs < 35,CHE,91.2199878547548,80.0089723191714,-11.2110155355834,5.932207332108035
Occupation: HISEI >= 60 vs < 35,CHL,55.06579447434122,57.419214068065344,2.3534195937241265,5.948808213308039
Occupation: HISEI >= 60 vs < 35,COL,70.35206161141129,65.78126518007954,-4.570796431331743,8.004572103357935
Occupation: HISEI >= 60 vs < 35,CZE,86.11204854086357,64.96091151581112,-21.15113702505245,5.805519138130783
Occupation: HISEI >= 60 vs < 35,DEU,83.32986590941064,94.15925219769986,10.829386288289214,6.469897240152263
Occupation: HISEI >= 60 vs < 35,DNK,59.278587919327364,58.09331055491151,-1.1852773644158532,6.320737698913723
Occupation: HISEI >= 60 vs < 35,ESP,52.85605647695795,51.19836862019581,-1.657687856762145,3.8099267386481834
Occupation: HISEI >= 60 vs < 35,EST,55.23358305691058,58.366241560483296,3.1326585035727135,5.415275654272284
Occupation: HISEI >= 60 vs < 35,FIN,63.275492024301535,60.37982605857387,-2.895665965727666,4.446713928004346
Occupation: HISEI >= 60 vs < 35,FRA,78.4190244164725,69.10110492627857,-9.31791949019393,6.38250492228612
Occupation: HISEI >= 60 vs < 35,GBR,50.58854257989118,52.076155125487276,1.4876125455960931,5.7390058892946385
Occupation: HISEI >= 60 vs < 35,GRC,61.43187248746269,64.5209735602654,3.0891010728027126,5.650543133371589
Occupation: HISEI >= 60 vs < 35,HUN,104.84033224458854,75.90734644738971,-28.932985797198825,7.234303701215237
Occupation: HISEI >= 60 vs < 35,IRL,51.494814526305184,54.53896405377829,3.0441495274731025,4.756517653184221
Occupation: HISEI >= 60 vs < 35,ISL,53.22735465697933,52.02568807592775,-1.2016665810515832,7.363283948923465
Occupation: HISEI >= 60 vs < 35,ISR,98.96651473061111,75.53853118879731,-23.427983541813802,7.845234202683901
Occupation: HISEI >= 60 vs < 35,ITA,57.18265745045592,59.51228180880355,2.3296243583476297,5.9017309190353435
Occupation: HISEI >= 60 vs < 35,JPN,36.97281203291175,41.03067903340857,4.05786700049682,7.263005995194048
Occupation: HISEI >= 60 vs < 35,KOR,46.217655717568626,55.06767296782336,8.850017250254737,6.930986176619936
Occupation: HISEI >= 60 vs < 35,LTU,57.314236924448416,57.816603818305694,0.5023668938572783,6.352833055265531
Occupation: HISEI >= 60 vs < 35,LVA,59.1825852795635,47.15736046215834,-12.02522481740516,5.250242811182661
Occupation: HISEI >= 60 vs < 35,MEX,50.30884707347897,51.084440394673784,0.7755933211948118,5.560391861978456
Occupation: HISEI >= 60 vs < 35,NLD,81.891983440785,73.14778661678157,-8.744196824003424,7.729526989935058
Occupation: HISEI >= 60 vs < 35,NOR,67.1708263337187,63.53607424927736,-3.634752084441331,6.508395165168008
Occupation: HISEI >= 60 vs < 35,NZL,71.70898596807376,66.91744517180501,-4.791540796268748,6.198109542760384
Occupation: HISEI >= 60 vs < 35,POL,68.17838982259991,67.77434612169134,-0.40404370090857356,6.463222284560591
Occupation: HISEI >= 60 vs < 35,PRT,64.42609709165039,64.10764142523284,-0.31845566641754885,5.3637982482994015
Occupation: HISEI >= 60 vs < 35,SVK,87.29033419291152,84.56692146550365,-2.7234127274078617,7.228927801709698
Occupation: HISEI >= 60 vs < 35,SVN,67.32496989730109,65.47125658609183,-1.8537133112092619,6.094243076040282
Occupation: HISEI >= 60 vs < 35,SWE,73.20058392668028,80.45025257267973,7.249668645999449,5.821764789993601
Occupation: HISEI >= 60 vs < 35,TUR,56.829264906860956,56.210658511561746,-0.61860639529921,4.587581732160359
Occupation: HISEI >= 60 vs < 35,USA,62.916340038425304,81.58557043638385,18.669230397958543,13.769606718058345
Education: tertiary vs 12 years or fewer,AUS,50.97629262296895,55.30396815029324,4.327675527324288,4.357514378480258
Education: tertiary vs 12 years or fewer,AUT,60.04322947411729,50.44545236259426,-9.59777711152303,5.589416280811462
Education: tertiary vs 12 years or fewer,BEL,50.274869257721086,52.165405374089026,1.8905361163679402,5.347525931096268
Education: tertiary vs 12 years or fewer,CAN,42.26978710480348,52.726410827418285,10.456623722614808,4.913559118022021
Education: tertiary vs 12 years or fewer,CHE,57.65131553935125,48.488058710563514,-9.163256828787738,5.8453509957756
Education: tertiary vs 12 years or fewer,CHL,36.411567844708074,47.735179929342586,11.323612084634512,5.817880128002542
Education: tertiary vs 12 years or fewer,COL,45.76854873517884,45.34969984348312,-0.41884889169571693,7.346407805262051
Education: tertiary vs 12 years or fewer,CZE,56.01341999836425,45.18436824771595,-10.829051750648297,4.977179378615862
Education: tertiary vs 12 years or fewer,DEU,36.815010018049556,53.02354915051738,16.208539132467827,6.063297737438301
Education: tertiary vs 12 years or fewer,DNK,42.66718426022659,43.95621567952686,1.2890314193002723,5.703523000394961
Education: tertiary vs 12 years or fewer,ESP,41.60379836933344,41.413840478370574,-0.18995789096286586,3.5255540351271297
Education: tertiary vs 12 years or fewer,EST,37.718760743218006,55.81882595064137,18.100065207423363,4.982871582574265
Education: tertiary vs 12 years or fewer,FIN,41.591246858909116,54.12787521685012,12.536628357941005,4.831772291386114
Education: tertiary vs 12 years or fewer,FRA,49.57145740369303,56.02568857670833,6.454231173015302,5.622307745986448
Education: tertiary vs 12 years or fewer,GBR,27.16316327293536,37.76220636710229,10.599043094166927,5.765005160610183
Education: tertiary vs 12 years or fewer,GRC,38.77665069508183,47.15527628983823,8.3786255947564,5.2651867978597755
Education: tertiary vs 12 years or fewer,HUN,45.9446461387157,46.34508262568694,0.4004364869712447,5.831527212362705
Education: tertiary vs 12 years or fewer,IRL,35.23632025850589,47.75770808009358,12.521387821587687,4.306361874377523
Education: tertiary vs 12 years or fewer,ISL,42.70384369669334,49.32181988979842,6.617976193105079,6.6083035732188335
Education: tertiary vs 12 years or fewer,ISR,59.370731724062146,49.52605275853897,-9.84467896552318,6.839297002959263
Education: tertiary vs 12 years or fewer,ITA,30.16408535602855,43.074557276563255,12.910471920534704,5.396614007179653
Education: tertiary vs 12 years or fewer,JPN,47.2053923594237,59.32300084002323,12.117608480599529,7.239288096544605
Education: tertiary vs 12 years or fewer,KOR,41.73967274660083,56.27093545159689,14.53126270499606,6.2358808163350155
Education: tertiary vs 12 years or fewer,LTU,42.960850261883046,40.723218731749974,-2.237631530133072,5.0429286297510485
Education: tertiary vs 12 years or fewer,LVA,40.05977511639934,37.643600977051285,-2.416174139348051,5.220382319154176
