rule,cnt,gap_2022,gap_2025,change,se
Occupation: HISEI >= 60 vs < 35,AUS,73.2107857955954,68.35519920323141,-4.855586592363991,4.533206200055456
Occupation: HISEI >= 60 vs < 35,AUT,90.34467542915027,77.91284249720917,-12.431832931941102,5.29521440942391
Occupation: HISEI >= 60 vs < 35,BEL,87.81059245163577,82.36454432918251,-5.446048122453263,5.301324536104481
Occupation: HISEI >= 60 vs < 35,CAN,53.30728175151653,53.07207734634602,-0.23520440517050645,4.001521674841391
Occupation: HISEI >= 60 vs < 35,CHE,85.24381005205439,87.80837948183148,2.5645694297770945,5.946490297007543
Occupation: HISEI >= 60 vs < 35,CHL,56.52752233860046,59.75951341920963,3.23199108060917,6.012860383771738
Occupation: HISEI >= 60 vs < 35,COL,62.47271176870415,69.0672339114046,6.594522142700448,8.311161751374366
Occupation: HISEI >= 60 vs < 35,CZE,92.30026617406266,79.43359522655628,-12.866670947506378,5.951755799791179
Occupation: HISEI >= 60 vs < 35,DEU,91.19930857437637,98.47939533910636,7.280086764729987,6.480030419089198
Occupation: HISEI >= 60 vs < 35,DNK,63.64209532226748,64.38149679259016,0.7394014703226759,6.3450692226661305
Occupation: HISEI >= 60 vs < 35,ESP,51.99091866850281,56.79400515826777,4.803086489764965,3.2954967834843263
Occupation: HISEI >= 60 vs < 35,EST,54.89610205167669,60.27183595879833,5.375733907121635,5.205555896644269
Occupation: HISEI >= 60 vs < 35,FIN,66.90830758378627,65.83797063930994,-1.070336944476324,4.552431584604579
Occupation: HISEI >= 60 vs < 35,FRA,82.50486637547975,74.24449982291328,-8.260366552566467,5.986857476586086
Occupation: HISEI >= 60 vs < 35,GBR,58.44842415064022,65.68048667504596,7.232062524405734,5.953119713449538
Occupation: HISEI >= 60 vs < 35,GRC,62.35996061586153,63.71025543769845,1.3502948218369184,5.247898928787515
Occupation: HISEI >= 60 vs < 35,HUN,101.93577312853473,86.19378095769548,-15.741992170839254,7.11939676856182
Occupation: HISEI >= 60 vs < 35,IRL,51.94744955889087,54.73864735502561,2.791197796134746,4.6048222610352685
Occupation: HISEI >= 60 vs < 35,ISL,53.19910759493261,52.91428037430055,-0.2848272206320601,6.854787001897203
