cnt,wave,index,n,weight_Q1,n_Q1,weight_Q2,n_Q2,weight_Q3,n_Q3,weight_Q4,n_Q4
AUS,2022,escs,12971,25.00774803237195,3181,24.99417623078843,3202,24.99941146969423,3236,24.998664267145394,3352
AUS,2022,escs_h,12962,25.000100708751983,3198,25.003118815385566,3223,24.997144753181168,3197,24.99963572268129,3344
AUS,2022,escs_pca,12962,25.006019419372787,3194,24.994723565140426,3217,25.00303012567855,3208,24.99622688980823,3343
AUS,2022,hisei_h,12272,25.00805729926418,2942,25.001890153163597,3058,25.001603812159097,3104,24.988448735413137,3168
AUS,2022,pared_h,12921,25.000126275754468,3232,25.009611383511622,3217,24.991775042600825,3224,24.99848729813309,3248
AUS,2022,homepos,13077,25.017050497614115,3217,24.99206067936943,3217,25.001615534039857,3301,24.989273288976595,3342
AUS,2022,homepos_h,13052,25.000817260617005,3281,25.007806291513457,3190,24.998534842102185,3322,24.992841605767357,3259
AUS,2022,books_h,13046,25.008724195164756,3185,24.99540431784465,3189,24.996951214637548,3257,24.998920272353054,3415
AUS,2022,escs_cc,12207,25.00389484257205,3009,24.99976582681997,3005,24.997693231949146,3036,24.998646098658824,3157
AUS,2022,escs_h_cc,12207,25.010090787940726,3016,24.99022831943635,3038,25.00725671234449,3001,24.992424180278437,3152
AUS,2025,escs,13976,25.008937041185085,3525,24.99378573311473,3480,24.998251957449362,3544,24.99902526825082,3427
AUS,2025,escs_h,13971,25.00470999740371,3540,24.997800579642877,3484,25.005578046541842,3504,24.99191137641156,3443
AUS,2025,escs_pca,13971,25.00083828431582,3539,25.000268751563837,3476,25.007190686935978,3517,24.991702277184363,3439
AUS,2025,hisei_h,13119,25.005000859418963,3272,25.002321182137432,3286,25.002708399789103,3279,24.989969558654497,3282
AUS,2025,pared_h,13322,25.002807371414406,3397,25.00203760047977,3283,24.99792772345671,3330,24.997227304649098,3312
AUS,2025,homepos,14319,25.00266043087177,3666,25.00478550349476,3600,24.99698064610301,3545,24.99557341953045,3508
AUS,2025,homepos_h,14284,25.006587485112714,3640,25.001499171474332,3598,24.99340572132989,3534,24.998507622083057,3512
AUS,2025,books_h,14261,25.000871861818077,3482,25.003364437254817,3521,24.999813847415204,3562,24.995949853511895,3696
AUS,2025,escs_cc,12451,25.00825559263726,3175,24.99214970378532,3088,25.001085284134284,3135,24.998509419443142,3053
AUS,2025,escs_h_cc,12451,25.001265591889144,3161,25.00840703681812,3116,24.99110386668065,3116,24.999223504612097,3058
AUT,2022,escs,5981,25.01299262414345,1427,24.992232102816807,1514,24.999890522950828,1527,24.994884750088907,1513
AUT,2022,escs_h,5984,25.006073616659112,1438,25.004026581092532,1500,24.995926721048118,1531,24.993973081200245,1515
AUT,2022,escs_pca,5984,25.01165490368512,1450,24.998726279361044,1494,24.999359825377063,1529,24.990258991576773,1511
AUT,2022,hisei_h,5613,25.006967461805164,1361,25.00438337373641,1420,24.998175925266978,1425,24.990473239191452,1407
AUT,2022,pared_h,5867,25.009189259522696,1440,25.000555746416392,1481,24.99871049946983,1474,24.991544494591086,1472
AUT,2022,homepos,6091,25.006238067981723,1441,24.99657679136598,1536,24.99799073575084,1554,24.999194404901463,1560
AUT,2022,homepos_h,6072,25.015261053934175,1442,24.995681774928833,1530,24.99775860070926,1549,24.991298570427745,1551
AUT,2022,books_h,6080,25.000672320404917,1463,25.00079598295683,1534,24.999407285202572,1543,24.999124411435687,1540
AUT,2022,escs_cc,5482,25.007120118963805,1330,24.995071871006676,1377,25.002948446808006,1397,24.994859563221507,1378
AUT,2022,escs_h_cc,5482,25.014428216151614,1334,24.98842856173657,1376,24.997161638984995,1392,24.999981583126818,1380
AUT,2025,escs,6662,25.008512345603016,1596,24.994310644993785,1637,25.013160363530957,1674,24.984016645872273,1755
AUT,2025,escs_h,6659,25.00906553368863,1588,24.991648753074568,1632,25.010938766874563,1685,24.988346946362253,1754
AUT,2025,escs_pca,6659,25.006307992496374,1584,25.001655540273305,1642,25.000791417572316,1671,24.99124504965802,1762
AUT,2025,hisei_h,6134,25.005461858361837,1455,24.998345233519515,1510,25.00837626101146,1553,24.98781664710718,1616
AUT,2025,pared_h,6374,25.00036542469828,1556,25.016204840081326,1578,24.986095367982237,1578,24.99733436723816,1662
AUT,2025,homepos,6908,25.004548842061165,1678,24.999101741666436,1698,24.996720512605382,1754,24.999628903667016,1778
