cnt,escs_Q1_change,escs_Q4_change,escs_Q4-Q1_change,escs_Q4-Q1_se,escs_h_Q1_change,escs_h_Q4_change,escs_h_Q4-Q1_change,escs_h_Q4-Q1_se,homepos_Q1_change,homepos_Q4_change,homepos_Q4-Q1_change,homepos_Q4-Q1_se,homepos_h_Q1_change,homepos_h_Q4_change,homepos_h_Q4-Q1_change,homepos_h_Q4-Q1_se
ISR,2.989934997337059,-38.52559389492387,-41.515528892261045,7.68863489135207,-2.5008631053761974,-22.821294886630028,-20.320431781253887,7.244014894081282,10.17700248105325,-55.21208384314178,-65.38908632419503,7.736494465527222,-14.331437903549045,-32.493133243963655,-18.161695340414653,7.147014762896859
LTU,8.286039570055209,-17.688852143207384,-25.97489171326265,6.146638303144027,2.910189610421014,-7.677772834667337,-10.58796244508838,6.261256851461178,18.122325242631405,-24.931336560054547,-43.05366180268602,5.739185736015236,-1.0442444452621658,-8.179228852510334,-7.13498440724819,5.686359759225486
AUT,2.602960228341715,-22.447731725178528,-25.05069195352023,5.429707051816438,-4.389090151354424,-14.925221015546072,-10.536130864191918,5.687624181263564,10.741761053804396,-29.18512841553837,-39.926889469342825,6.138486436906337,-4.445172521672589,-12.344623078716497,-7.899450557043906,6.515989573646695
SVN,-11.602149819877752,-36.365103784337066,-24.762953964459257,5.881603301914593,-17.10105097469659,-18.927260214738737,-1.826209240042246,5.929217379678718,-1.5684650519791037,-51.998983247457886,-50.43051819547869,6.214641809175047,-25.867960639932164,-22.42582619798145,3.442134441950621,5.93411975231948
BEL,4.734124127675841,-14.991835611788249,-19.725959739464106,6.682974903498522,1.8534906415077896,-5.732713294713221,-7.586203936220997,6.427736238108429,8.313349778011457,-28.400064309368418,-36.713414087379874,7.337498891706569,-2.13791971263646,-8.815297706846081,-6.677377994209621,7.173115176053534
CHE,2.231798540522675,-17.01606983741044,-19.247868377933077,6.305902976574335,-1.2807697549081354,-4.988222701054838,-3.707452946146759,6.623664503890403,17.1988933983053,-43.75708579058846,-60.95597918889359,6.830811100674936,-0.9912520655792036,-21.49161456235709,-20.500362496778067,6.493130273952626
SWE,-10.483304323702328,-29.64599391604804,-19.162689592345885,5.854014427346398,-16.047393104666412,-19.787962999650688,-3.7405698949843895,5.987347053827491,8.975657871715157,-45.91891406663433,-54.894571938349465,6.196502130928957,-7.099589099949753,-25.95533507965729,-18.855745979707606,6.423764181579166
AUS,-2.4138025987555807,-20.837628052604487,-18.42382545384872,5.035260969279339,-7.812584711050022,-10.85082330053649,-3.0382385894864115,4.773727571953293,10.20227167456278,-34.11725006374138,-44.319521738304125,5.1168740335950496,-5.874575377390727,-14.794126754545289,-8.919551377154434,4.945454639876385
FRA,-2.2838723178162468,-20.311426735536315,-18.02755441771994,6.713007060861328,-9.138787567771828,-13.612337215209095,-4.47354964743711,6.67772101065321,3.826702747716524,-35.95695319387687,-39.78365594159348,6.0620642155981495,-11.402837490669754,-16.078875572082268,-4.676038081412557,6.336217530854424
HUN,-4.043660796063307,-21.270522269136904,-17.22686147307357,8.455643875001856,-9.686845739495196,-17.261351734520645,-7.574505995025405,8.262872727851539,7.44888301758192,-29.847067780255717,-37.29595079783744,7.519365419439967,-9.60335977191437,-15.14283373444914,-5.539473962534927,7.853372711123926
