cnt,escs_Q1_change,escs_Q4_change,escs_Q4-Q1_change,escs_Q4-Q1_se,escs_h_Q1_change,escs_h_Q4_change,escs_h_Q4-Q1_change,escs_h_Q4-Q1_se,homepos_Q1_change,homepos_Q4_change,homepos_Q4-Q1_change,homepos_Q4-Q1_se,homepos_h_Q1_change,homepos_h_Q4_change,homepos_h_Q4-Q1_change,homepos_h_Q4-Q1_se
ISR,2.576885237389717,-50.6964301358031,-53.27331537319272,8.36362935734522,-5.963392453037159,-32.78699676314932,-26.823604310112216,7.876532685458567,-1.9629821896338056,-67.27727240097272,-65.31429021133896,8.650795755078276,-29.560287417274598,-41.34152423686737,-11.781236819592891,8.664542947004994
CHE,9.257425235527364,-28.48330979788409,-37.74073503341151,6.977592941315485,3.310405161525182,-16.68068641762818,-19.991091579153306,7.242138058030435,18.675684820843685,-53.65051135767703,-72.32619617852083,7.279895250068533,-4.083533748373895,-28.325773946818916,-24.24224019844497,7.145290183631376
HUN,-2.040047253626028,-36.91534880767733,-34.875301554051205,8.464146578571983,-8.392361722884402,-33.52056723321209,-25.128205510327604,8.33980154237041,8.438316294732886,-44.84799230320493,-53.28630859793788,7.846456605540755,-10.267142596410508,-28.341858607084877,-18.074716010674365,8.234416880668178
BEL,8.463802615937084,-22.791825096520483,-31.25562771245764,7.366199479249878,5.087472476127061,-11.231884222841586,-16.319356698968477,7.145126060351108,12.290003726377734,-37.3095281846322,-49.59953191100991,8.409825542430351,0.3749945680069686,-15.21111270410188,-15.58610727210879,8.295306119049666
CZE,0.7666683638699396,-29.77791874496188,-30.54458710883192,7.277138751051528,-9.242521041575856,-23.9021765869054,-14.659655545329542,7.2791101799381455,5.87811247425617,-44.48653414087653,-50.3646466151327,6.976251680671677,-21.77961109035317,-18.10282237263573,3.676788717717272,6.737124205602294
AUT,4.553691806357904,-25.87656245869482,-30.430254265052582,6.510662255299926,-4.154590058038309,-18.09337488163624,-13.938784823597842,6.6942561613876,12.860035851887176,-38.26824082602224,-51.12827667790939,6.8292795260567,-3.480267352350836,-18.38783917342556,-14.907571821074782,7.337481774055174
LTU,6.028485067171005,-21.293054779238503,-27.321539846409514,6.831403042341498,1.8227278673901424,-9.96045899560147,-11.783186862991675,6.978616590159841,18.927513762454797,-29.60271192732688,-48.53022568978176,6.172635399849813,-3.735726851259699,-11.052115447850156,-7.31638859659045,6.205258395205294
LVA,-24.672685668402096,-50.20237064906741,-25.529684980665337,5.799352361409258,-28.5666110713766,-44.28429621513095,-15.717685143754316,5.817459834186992,-26.419986057008828,-65.177299225728,-38.75731316871925,5.615532357413751,-42.873518585155466,-46.77031993115844,-3.896801346003002,5.4703108408635055
FRA,0.4917560934443372,-22.66204952981548,-23.15380562325994,7.833226582295488,-7.042868586968666,-15.862717087099554,-8.81984850013093,7.867819867811475,7.43589413229904,-43.124637852091496,-50.56053198439051,7.2190170480883395,-10.660965392023058,-20.360162025283785,-9.69919663326064,7.798644467607033
SVN,-9.095315191531938,-30.856362231005846,-21.76104703947389,6.523320213130048,-15.402502305549945,-12.46299133183527,2.939510973714661,6.871109005168938,-0.7445866885996111,-46.24692288340594,-45.502336194806375,7.286258131005681,-23.275177947690395,-17.401035207495738,5.874142740194614,7.52263362529994
