cnt,escs_Q1_change,escs_Q4_change,escs_Q4-Q1_change,escs_Q4-Q1_se,escs_h_Q1_change,escs_h_Q4_change,escs_h_Q4-Q1_change,escs_h_Q4-Q1_se,homepos_Q1_change,homepos_Q4_change,homepos_Q4-Q1_change,homepos_Q4-Q1_se,homepos_h_Q1_change,homepos_h_Q4_change,homepos_h_Q4-Q1_change,homepos_h_Q4-Q1_se
ISR,7.367585436103639,-29.82058815979974,-37.188173595903365,7.533802306117884,0.1188472383736325,-12.218743981966782,-12.337591220340457,7.596153299017425,7.552883125342419,-47.77242185687237,-55.32530498221483,7.905878619457617,-16.68611223799394,-21.601459607992183,-4.9153473699984005,8.044990932383643
AUT,19.73284337105133,-6.2396994102671215,-25.972542781318168,6.3827038396708105,11.827634299067938,2.0584291349254045,-9.769205164142576,6.441143377239865,32.318702964365855,-20.926560194346848,-53.2452631587127,6.928176505359464,15.423101272861288,-1.9901303872823064,-17.413231660143623,7.2335218302506465
LTU,16.2690966426523,-9.332174733863551,-25.60127137651601,6.220985895669745,11.61088379768563,1.8688955688205624,-9.741988228865123,6.365469720279311,26.03159739736003,-17.206223619676734,-43.2378210170368,5.812874374938409,5.83469442210486,0.9183470320083984,-4.916347390096483,5.752520241224604
SVK,31.5245307804841,8.168832687796225,-23.35569809268806,8.973458721766548,18.983365587002822,14.004650690436849,-4.978714896565947,8.618933750870859,45.53097740953132,-12.544735768757675,-58.07571317828909,9.532926953954233,26.62179836088137,7.245459096025002,-19.37633926485653,9.454289726700972
CZE,9.228126145260546,-13.573780264755896,-22.801906410016517,7.636821777602941,-0.0029081293743047,-6.303208260520137,-6.300300131146017,7.839143875386586,22.029486316998657,-33.99381311579742,-56.02329943279622,7.116532806364108,-4.526642562907398,-8.105726713028957,-3.579084150121517,7.065696885676034
HUN,6.748053068015452,-15.90919666777222,-22.657249735787587,8.357177480091467,0.7618360266888544,-11.857245804962645,-12.61908183165147,8.1332632075929,15.12929512705665,-24.42207925769185,-39.551374384748456,7.772179011741043,-1.34128808133363,-6.855742789286524,-5.5144547079528365,7.861572152154061
AUS,10.272590396942576,-11.906209718995797,-22.17880011593849,5.838527345128901,3.8462803307498343,1.1028773945000694,-2.74340293624978,5.602690421521425,25.74571216240884,-26.257109719257983,-52.00282188166683,5.656805934942509,5.796980590653106,-2.19909820864666,-7.996078799299653,5.575859430280674
BEL,16.67863273388474,-5.271271982880762,-21.94990471676537,6.9165204011372445,13.37524949130443,5.098385989575604,-8.276863501728982,6.581142050431179,20.455367075726883,-22.130563259553696,-42.58593033528044,7.7363158268278704,8.234726335156097,-1.5610289365519066,-9.795755271707977,7.578120620124615
FRA,13.308894185937277,-7.981134397370965,-21.290028583308256,7.392115203497042,6.317319634865669,-0.5050684990957279,-6.822388133961482,7.279564047875308,18.97451989711402,-27.12500534782544,-46.09952524493944,7.01259046536381,2.214544425979568,-4.371342687949095,-6.585887113928678,7.454649562403999
CHE,9.5911388119614,-11.204501971883587,-20.79564078384513,6.627654294888554,4.549646830167774,2.3726064451470847,-2.177040385020589,6.934179951218189,24.701184137052,-38.688918427731664,-63.3901025647837,7.116169935240062,1.943830062224265,-12.165435418084144,-14.109265480308494,6.855759781316997
SWE,-1.3644799014139153,-21.29813911647648,-19.933659215062505,7.102798595213919,-7.6823988983503,-8.645168055016029,-0.9627691566656296,7.510742497905253,21.14878041501572,-39.61641456701386,-60.76519498202979,7.111763170441532,0.9313582725990271,-14.847886707772886,-15.779244980371985,7.464238173737644
SVN,-5.022724190799806,-24.53675241432325,-19.51402822352344,5.998845133706374,-11.218484377342634,-5.598889392428532,5.619594984914215,6.059952144239361,9.827604213905772,-43.31998332469152,-53.14758753859723,6.568705542739616,-17.743668288957053,-11.137675527117551,6.605992761839559,6.107617154477973
ISL,12.550468561877947,-5.284023832823493,-17.834492394701513,7.411011949079639,4.991285250097803,6.892509844992958,1.9012245948952824,7.39150311461046,5.520468166083845,-24.13263747978664,-29.653105645870497,7.163581138419642,-8.865291554071632,-1.487723068371281,7.377568485700422,6.8453591480036176
KOR,2.3300096630874805,-15.14781642584785,-17.4778260889354,9.03193322167677,-9.019109974102491,-10.805850816230418,-1.786740842127955,8.811296724885942,19.070202495363446,-19.831270992858208,-38.90147348822168,9.768572739943576,4.629789033745965,-5.840046311514129,-10.469835345260137,8.708075793694299
NZL,20.32736102571141,3.665421724414159,-16.661939301297195,6.573371429369576,14.918412418681784,15.70137845064744,0.782966031965671,6.534224264171486,24.317714213216902,-5.9147870202371,-30.232501233454,6.398359802315529,12.834705974044423,11.73027565229802,-1.1044303217463494,7.140273783487326
LVA,-11.78342498739795,-26.383084065485832,-14.59965907808786,5.864902277699653,-15.932676853792032,-21.481652055824668,-5.548975202032722,5.91134331141528,-15.110180483366037,-41.199376518152576,-26.08919603478648,5.5054378268684445,-30.11823319813004,-24.60299486671414,5.515238331415944,5.281652335653052
CAN,0.9911111346135044,-13.009101110147526,-14.000212244761066,5.091907519508578,-2.2203940241233795,-2.418099429721224,-0.19770540559783,5.214381280929609,8.35835728260264,-28.04538378991924,-36.40374107252181,5.512229599915295,-5.517831186632407,-5.098340337625132,0.4194908490071967,5.794133227002948
NOR,-3.8395404301118106,-16.9559284624645,-13.116388032352576,6.547343155891617,-9.089249476020711,-6.614351393537845,2.4748980824830653,6.510642221951515,13.50610071689198,-30.137483708166087,-43.64358442505811,6.279165608989177,-2.2934075253068613,-8.775304499743015,-6.481896974436111,6.87215191468277
POL,4.107352154083458,-8.514410611045037,-12.62176276512865,6.994477336664621,-5.065140260085912,-1.899820010327062,3.165320249758693,6.96813621043724,18.27048828025329,-23.26738556234875,-41.53787384260213,6.504331589513119,3.009068282599856,-0.2674898968256229,-3.2765581794255,6.599838352626291
GBR,12.800364250319603,1.1987493315057236,-11.601614918813809,7.82452434019035,11.549333640793236,12.15547460500386,0.6061409642106526,8.004616897665734,28.83878917426108,-11.654347654428191,-40.49313682868934,7.492428093052162,10.751907995512228,7.7744020252916926,-2.977505970220477,8.36079861026508
FIN,-0.3639471360877451,-11.741305025797942,-11.377357889710154,5.719264483640028,-8.10086691458173,-0.8046683339995298,7.296198580582143,5.346516880482917,23.887681130350074,-31.934624520760394,-55.82230565111024,5.383569109346782,3.9417725075370527,-8.654853603992592,-12.596626111529716,5.312742193595265
DNK,-8.39224370083798,-19.547323637920613,-11.155079937082531,7.441195524959813,-13.483336320623891,-3.790833944663177,9.692502375960643,6.8381880523731065,-7.911745022101684,-32.43451971520574,-24.52277469310396,6.499448293396785,-19.99976075914128,-15.053686712303715,4.946074046837559,6.809178056699428
ITA,11.301729259064928,2.964647252697773,-8.337082006367211,7.209491247053386,4.238363889829941,7.740504672895668,3.502140783065784,6.872539155076632,17.049538801572908,-11.771810706752431,-28.821349508325294,6.715089450390925,-0.1253273919418234,4.150427597929763,4.275754989871601,6.651592845442954
EST,1.4728122303990858,-6.7746298077885285,-8.247442038187799,6.400033304733613,-4.068312440246416,0.2347705971062623,4.30308303735265,6.1443790041192665,24.74633113182739,-16.781752229894096,-41.52808336172148,5.81698352438805,5.982520650530546,-1.2031061459576904,-7.185626796488158,6.020945127066762
ESP,-4.493050112835135,-12.58983774675903,-8.096787633923867,4.28456795509696,-10.120606342418055,-2.1042906857678645,8.016315656650278,4.337469509178221,9.731460776483686,-23.22867773008869,-32.960138506572335,4.873130534939177,-6.520444107213905,-2.6031851249143187,3.9172589822995576,5.097590441000734
GRC,-4.8960270059045,-10.556362745710942,-5.6603357398063565,7.055610704047166,-8.651175539183157,-2.006699540372267,6.644475998810776,7.372694029630819,10.765702016208309,-26.13804835386281,-36.90375037007106,6.633775305296473,-4.070856846864274,-7.136392437331153,-3.065535590466851,6.741646590231581
IRL,-1.1964409871245607,-6.77114499279935,-5.574704005674718,5.884586037787308,-5.57246910349636,-1.9262797480855625,3.646189355410797,5.827987834406303,7.6165851485773715,-18.657373168489016,-26.27395831706636,6.385992875245309,-6.534580382037916,-4.758453400493295,1.7761269815444225,6.492394365330318
NLD,-2.13432351772218,-7.507779356674973,-5.373455838952708,9.34116705071582,0.5194779343026426,3.4154275665734986,2.8959496322708134,9.375126876435536,19.053954923910453,-33.71611216304041,-52.77006708695096,8.911332402875892,24.697586177952477,-7.583978112282466,-32.281564290234776,9.020004406256556
USA,5.982913656329799,2.1874398708317813,-3.795473785497919,17.932254401615136,-3.039101292825535,10.68167935646852,13.720780649293957,18.8587307785872,8.058472307944669,-18.677072162128525,-26.735544470073208,14.975481486018667,-1.8476928585944847,3.563188289679829,5.410881148274427,15.697333594168564
CHL,5.735647378833278,2.141716921648822,-3.593930457184314,7.312468707651192,1.0972067796251963,6.944075460323631,5.846868680698336,7.405637198665206,9.312519233037165,-9.675498407619273,-18.988017640656352,6.424162863016655,0.4249975993825501,4.115583505668496,3.690585906286017,6.074611881390843
PRT,-2.4512995820059587,-2.832642208384982,-0.3813426263791228,6.788085984187601,-4.264971581335601,3.8480228408917583,8.112994422227516,6.209373451026784,6.685265958349817,-15.37336438197508,-22.058630340324825,7.7428010019354705,-1.002366044496739,-4.032911319832351,-3.030545275335641,7.078767070255174
